ID,COUNTRY_ID,NAME,ADDRESS,POSTAL_CODE,CITY,PROVINCE,COUNTRY,EMAIL,WEBPAGE,BALLPARK_ID,PRESIDENT,SECRETARY,TREASURER,GOVERNANCE_PERSON,CLUB_LATITUDE,CLUB_LONGITUDE,STADIUM_LATITUDE,STADIUM_LONGITUDE
DOD,IC,Dodgers,Camino Burgado s/n,38400,Puerto de la Cruz,Canarias,Spain,,,,Néstor Pérez Suárez,Miguel Muñoz,,,28.4059532242403,-16.5691013387813,28.4061115044193,-16.5687738495669
ATL,IC,Atlanta,Camino Burgado s/n,38400,Puerto de la Cruz,Canarias,Spain,,,,Néstor Pérez Suárez,Miguel Muñoz,,,28.4059532242403,-16.5691013387813,28.4061115044193,-16.5687738495669
TAM,IC,Tampa Bay,Camino Burgado s/n,38400,Puerto de la Cruz,Canarias,Spain,,,,Néstor Pérez Suárez,Miguel Muñoz,,,28.4059532242403,-16.5691013387813,28.4061115044193,-16.5687738495669
ORI,IC,Orioles,Camino Burgado s/n,38400,Puerto de la Cruz,Canarias,Spain,,,,Néstor Pérez Suárez,Miguel Muñoz,,,28.4059532242403,-16.5691013387813,28.4061115044193,-16.5687738495669
AA,AT,ASAK Athletics,Badgasse 27,4800,Attnang-Puchheim,,Austria,,https://athleticsbaseball.at/,,Sebastian Libiseller,Martin Libiseller,Alex Lughofer,Rainer L. Krankl,48.0180667122617,13.7306182085939,48.0182320266678,13.73063698264
BB,AT,Schwechat Blue Bats,Franz Schuster Str. 5,2320,Schwechat,,Austria,info@bluebats.at,https://bluebats.at/,,Phil Weller,Peter Christof-Dirry,Astrid Mikeska,Karin Stephan,48.1265880262584,16.467635922806,48.1265503914734,16.4684935343726
DD,AT,Diving Ducks Wiener Neustadt,Zehnergürtel 155,2700,Wiener Neustadt,,Austria,,http://divingducks.com/,,Dr. Jürgen SCHEICHER,Alexandra ASTNER,Mag. Daniela VEVERA,Mara BENCKENDORFF MSc.,47.8073761402886,16.2129766213523,47.8069644787903,16.2129723942427
DOI,AT,Dornbirn Indians (DOI),Forachstraße 106a ,6850,Dornbirn ,,Austria,info@indians.at,https://www.indians.at/,,Stefan Intemann,DI Peter Luger MSc.,Mag. Holger Neyer,Wolfgang Pschorr,47.4345779030438,9.72899083930261,47.4347525263385,9.72921541893106
DI,AT,Dornbirn Indians (DI),Forachstraße 106a ,6850,Dornbirn ,,Austria,info@indians.at,https://www.indians.at/,,Stefan Intemann,DI Peter Luger MSc.,Mag. Holger Neyer,Wolfgang Pschorr,47.4345779030438,9.72899083930261,47.4347525263385,9.72921541893106
IN,AT,Dornbirn Indians (IN),Forachstraße 106a ,6850,Dornbirn ,,Austria,info@indians.at,https://www.indians.at/,,Stefan Intemann,DI Peter Luger MSc.,Mag. Holger Neyer,Wolfgang Pschorr,47.4345779030438,9.72899083930261,47.4347525263385,9.72921541893106
FC,AT,Feldkirch Cardinals,Sägerstraße,6800,Feldkirch,,Austria,,https://www.cardinals.at/,,Achim Feifel,Patrizia Frohner,Eva-Maria Allgäuer,Ian Breitenfelder,47.2599253232399,9.58162514432317,47.2600776814298,9.58117047213895
GH,AT,Traiskirchen Grasshoppers,Badgasse 18,2514,Traiskirchen,,Austria,info@grasshoppers.cc,https://www.grasshoppers.cc/,,,,,,48.0143920804549,16.3025651264162,48.0146518201236,16.3024239720904
HB,AT,Hard Bulls,Seestraße 64,6971,Hard,,Austria,,https://www.hardbulls.com/?b=100326&c=NL,,Andreas Rudigier,Marcel Winder,Lisa-Marie Boss,Wilfried Brun,47.4883292197844,9.68077278348174,47.4881500160096,9.68022078543899
VM,AT,Vienna Metrostars (VM),Aspernallee 3,1020,Wien,,Austria,,https://www.viennametrostars.at/en/Home.htm,,Walter Herzog,Hubert Weiser Sr.,Erhard Rauch,Markus Schiller,48.1943186903406,16.4404438797586,48.1942831577603,16.4394796858246
MS,AT,Vienna Metrostars (MS),Aspernallee 3,1020,Wien,,Austria,,https://www.viennametrostars.at/en/Home.htm,,Walter Herzog,Hubert Weiser Sr.,Erhard Rauch,Markus Schiller,48.1943186903406,16.4404438797586,48.1942831577603,16.4394796858246
VW,AT,Vienna Wanderers,Spenadlwiese,1020,Wien,,Austria,,http://www.wanderers.at/,,,,,,48.2088144191636,16.4024456546856,48.208956943398,16.4047749333006
AND,BE,Andenne Black Bears,Rue sous Meuse de la Déportation,5300,Namêche,Namur,Belgium,david.delvenne@skynet.be,https://www.andenne-baseball.be/,,,,,,50.4702224167058,5.00041431244836,50.4702224167058,5.00041431244836
ANT,BE,Antwerp Eagles,Eglantierlaan 66,2610,Wilrijk,Antwerpen,Belgium,secretariaat@antwerpeagles.com,http://www.antwerpeagles.com/,,Peter Van Ackeren,Nick Van Den Bosch,Gert Van Den Berg,,51.1843016476454,4.39730832724277,51.1843016476454,4.39730832724277
BER,BE,Berendrecht Bears,Steenovenstraat 1,2040,Berendrecht,Antwerpen,Belgium,john.hoirelbeke@skynet.be,http://www.bsc-bears.be/,,John Hoirelbeke,Daniella Pauwels,Viviane Schuerewegen,,51.3520864806142,4.32311878365702,51.3563575330606,4.35707141666301
BEV,BE,Beveren Lions,Klapperstraat 103,9120,Beveren,Oost-Vlaanderen,Belgium,info@beverenlions.be,http://www.beverenlions.be/,,Jo Van Der Herten,Jean-pierre Bosman,Jakob Van Poucke,,51.2117926163615,4.24061454028545,51.2117926163615,4.24061454028545
BIN,BE,Binche Guardians,Cité Des Espinois 1/z,7020,Mons,Hainaut,Belgium,sebastien.murer@lfbbs.be,https://baseballbinche.be/,,,,,,50.4863850721177,3.95808648587077,50.4152214435802,4.19619102148016
BOR,BE,Borgerehout Squirrels,Vosstraat 109,2140,Borgerhout,Antwerpen,Belgium,secretaris@borgerhoutsquirrels.be,http://www.borgerhoutsquirrels.be/,,Yannick Gontier,Sigrid Gontier,,,51.1946353464494,4.45246672066417,51.1942802951908,4.4520966267921
BRA,BE,Braaschaat Braves,Bijsterveld 3,2930,Brasschaat,Antwerpen,Belgium,info@brasschaatbraves.be,http://www.brasschaatbraves.be/,,,,,,51.3293816097935,4.50426917479224,51.3293816097935,4.50426917479224
BRG,BE,Brugge Braves,Geralaan 50,8310,Brugge,Oost-Vlaanderen,Belgium,brugge.braves@gmail.com,http://www.brugge-braves.be/,,Erwin Warrinnier,Filip Moerman,,,51.2214608757739,3.24989356187292,51.2214608757739,3.24989356187292
BRI,BE,Braine Black Rickers,"Rue Landuyt, 2",1440,Braine-le-Château,Walloon Brabant,Belgium,info@black-rickers.be,https://www.black-rickers.be/,,,,,,50.6850447642547,4.27436222260532,50.6850447642547,4.27436222260532
BRU,BE,Brussels Kangaroos,"Avenue J.F. De Becker, 64",1200,Woluwé-Saint-Lambert,Bruxelles,Belgium,secretary@brusselskangaroos.be,https://brusselskangaroos.be/,,,,,,50.844063351221,4.45446108097263,50.8445743090247,4.45301646198388
CHI,BE,Chicaboos Stabroek (CHI),Hasenpad 1,2940,Stabroek,Antwerpen,Belgium,info@chicaboos.be,http://www.chicaboos.be/,,Dirk De Cock,Frank De Nijs,Evi De Nijs,,51.3389698691823,4.38496474805032,51.3389698691823,4.38496474805032
STA,BE,Chicaboos Stabroek (STA),Hasenpad 1,2940,Stabroek,Antwerpen,Belgium,info@chicaboos.be,http://www.chicaboos.be/,,Dirk De Cock,Frank De Nijs,Evi De Nijs,,51.3389698691823,4.38496474805032,51.3389698691823,4.38496474805032
DEU,BE,Deurne Spartans,Ruimtevaartlaan 22,2100,Deurne,Antwerpen,Belgium,info@spartans.be,http://www.spartans.be/,,Luc Van Hove,Nicole Van Den Broek,,,51.1936340306567,4.4575758581659,51.1936780086446,4.45691445479696
GEN,BE,Gent Knights,Oude Scheldeweg 2,9050,Gentbrugge,Oost-Vlaanderen,Belgium,info@gentknights.be,http://gentknights.be/,,Kevin Devos,Annelies Willekens,Leen Polfliet,,51.0416570731683,3.77807766304638,51.0416570731683,3.77807766304638
