"CLUB_ID","COUNTRY_ID","CREBY","CRE","LUBY","LU"
"AA","AT","C##BASEBALL",15/06/2024,"",
"ACA","IT","C##BASEBALL",15/06/2024,"",
"AMS","NL","C##BASEBALL",15/06/2024,"",
"AND","BE","C##BASEBALL",15/06/2024,"",
"ANT","BE","C##BASEBALL",15/06/2024,"",
"ANT","ES","C##BASEBALL",15/06/2024,"",
"AST","ES","C##BASEBALL",15/06/2024,"",
"ATL","IT","C##BASEBALL",15/06/2024,"",
"BB","AT","C##BASEBALL",15/06/2024,"",
"BBC","IT","C##BASEBALL",15/06/2024,"",
"BCN","ES","C##BASEBALL",15/06/2024,"",
"BER","BE","C##BASEBALL",15/06/2024,"",
"BEV","BE","C##BASEBALL",15/06/2024,"",
"BIN","BE","C##BASEBALL",15/06/2024,"",
"BMB","GB","C##BASEBALL",15/06/2024,"",
"BOL","IT","C##BASEBALL",15/06/2024,"",
"BOR","BE","C##BASEBALL",15/06/2024,"",
"BOZ","IT","C##BASEBALL",15/06/2024,"",
"BRA","BE","C##BASEBALL",15/06/2024,"",
"BRE","IT","C##BASEBALL",15/06/2024,"",
"BRG","BE","C##BASEBALL",15/06/2024,"",
"BRI","BE","C##BASEBALL",15/06/2024,"",
"BRU","BE","C##BASEBALL",15/06/2024,"",
"CAG","IT","C##BASEBALL",15/06/2024,"",
"CAM","ES","C##BASEBALL",15/06/2024,"",
"CAN","BE","C##BASEBALL",15/06/2024,"",
"CAN","IT","C##BASEBALL",15/06/2024,"",
"CAP","ES","C##BASEBALL",15/06/2024,"",
"CAS","IT","C##BASEBALL",15/06/2024,"",
"CER","IT","C##BASEBALL",15/06/2024,"",
"CHI","BE","C##BASEBALL",15/06/2024,"",
"COD","IT","C##BASEBALL",15/06/2024,"",
"COL","IT","C##BASEBALL",15/06/2024,"",
"CRO","IT","C##BASEBALL",15/06/2024,"",
"DD","AT","C##BASEBALL",15/06/2024,"",
"DEU","BE","C##BASEBALL",15/06/2024,"",
"DI","AT","C##BASEBALL",15/06/2024,"",
"DKI","NL","C##BASEBALL",15/06/2024,"",
"DOI","AT","C##BASEBALL",15/06/2024,"",
"DRA","IT","C##BASEBALL",15/06/2024,"",
"DRI","ES","C##BASEBALL",15/06/2024,"",
"ELL","GB","C##BASEBALL",15/06/2024,"",
"EUR","NL","C##BASEBALL",15/06/2024,"",
"EXA","GB","C##BASEBALL",15/06/2024,"",
"FC","AT","C##BASEBALL",15/06/2024,"",
"FEN","ES","C##BASEBALL",15/06/2024,"",
"FIO","IT","C##BASEBALL",15/06/2024,"",
"GEN","BE","C##BASEBALL",15/06/2024,"",
"GH","AT","C##BASEBALL",15/06/2024,"",
"GOD","IT","C##BASEBALL",15/06/2024,"",
"GRE","BE","C##BASEBALL",15/06/2024,"",
