Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
AICHER,Kai,IN,4,0,2,0,0,0,0,2,0.500,0.500,0.500,1.000,0,0,1,0,0,0,0,0
ALZINGER,Richard,MS,108,20,35,4,0,1,19,42,0.324,0.389,0.408,0.797,11,7,17,1,4,0,2,0
AMON,Florian,DD,36,9,6,0,0,0,5,6,0.167,0.167,0.295,0.462,7,0,6,1,1,0,1,0
ASHBY,Kyle,GH,91,23,39,5,1,5,22,61,0.429,0.670,0.514,1.184,13,4,12,0,1,0,4,0
ASTL,Paul,HB,3,0,0,0,0,0,0,0,0.000,0.000,0.500,0.500,3,0,3,0,0,0,0,0
ASTNER,Felix,DD,64,11,13,4,0,0,8,17,0.203,0.266,0.301,0.567,5,4,7,0,0,1,5,1
ASTNER,Moritz,DD,35,5,10,1,0,0,6,11,0.286,0.314,0.375,0.689,4,1,11,0,0,1,2,0
BERNACKI,Christoph,GH,4,0,0,0,0,0,1,0,0.000,0.000,0.200,0.200,1,0,1,1,0,0,0,0
BICKEL,Lukas,HB,49,10,12,6,0,2,9,24,0.245,0.490,0.409,0.899,13,2,10,0,2,0,1,0
BOLLENBERGER,Philipp,DD,5,0,1,0,1,0,0,3,0.200,0.600,0.200,0.800,0,0,2,0,0,0,0,0
BOONSTRA,Bernd,VW,16,1,1,1,0,0,1,2,0.063,0.125,0.063,0.188,0,0,5,1,0,1,0,0
BRANDT,David,HB,96,24,27,9,0,3,29,45,0.281,0.469,0.390,0.859,12,7,20,2,3,0,16,3
BRAUNER,Jacob,DD,11,3,2,0,0,0,0,2,0.182,0.182,0.357,0.539,1,2,6,0,0,0,0,0
BRENNER,Phillip,BB,74,16,24,4,0,4,25,40,0.324,0.541,0.405,0.946,9,1,19,2,0,0,2,0
BÖHLER,Hubert,HB,84,7,16,0,0,0,11,16,0.190,0.190,0.324,0.514,3,14,15,1,1,2,1,0
CAMPREGHER,Pascal,HB,17,3,4,0,0,0,2,4,0.235,0.235,0.350,0.585,3,0,7,2,0,0,1,1
CHRISTOF,Benedict,BB,27,1,2,1,0,0,2,3,0.074,0.111,0.107,0.218,0,1,9,0,0,0,1,0
CHRISTOF,Sebastian,BB,21,2,3,1,0,0,0,4,0.143,0.190,0.217,0.407,2,0,9,4,0,0,0,0
CLAUSS,Eric,GH,35,4,3,0,0,0,0,3,0.086,0.086,0.158,0.244,3,0,13,1,0,0,0,0
CLAUSS,Jacob,GH,39,6,10,1,0,0,0,11,0.256,0.282,0.356,0.638,4,2,18,0,0,1,3,1
DEMIC,Maksim,VW,13,0,1,0,0,0,1,1,0.077,0.077,0.077,0.154,0,0,9,0,0,1,0,0
DIAZ MELIAN,Vicente Luis,BB,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
DITTRICH,Felix,MS,115,17,38,8,2,0,20,50,0.330,0.435,0.425,0.860,14,5,19,3,0,2,0,0
