Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ALCALA QUIJIJE,Jorman Javier,BOK,14,3,9,0,0,0,3,9,0.643,0.643,0.737,1.380,4,1,1,0,0,0,1,1
ALFONSO,Alex,AST,11,3,3,2,0,0,2,5,0.273,0.455,0.467,0.922,4,0,5,0,0,0,0,0
ALZINGER,Richard,MS,9,2,3,1,0,0,0,4,0.333,0.444,0.455,0.899,2,0,2,0,0,0,1,0
AMON,Florian,DD,4,1,1,0,0,0,0,1,0.250,0.250,0.250,0.500,0,0,2,0,0,0,0,0
ANIĆ,Sven,BOK,13,1,1,1,0,0,2,2,0.077,0.154,0.077,0.231,0,0,6,0,0,2,0,0
ANOUAR,Saad,MON,4,0,1,0,0,0,1,1,0.250,0.250,0.250,0.500,0,0,1,0,0,0,0,0
ANTONAC,Yoan,MPT,18,4,5,3,0,1,4,11,0.278,0.611,0.316,0.927,1,0,6,0,0,0,0,0
ARGUINZONES OCANTO,Johiner Alfonso,DEU,13,2,5,1,0,0,5,6,0.385,0.462,0.400,0.862,1,0,3,0,1,0,1,1
ASTNER,Felix,DD,13,1,2,0,0,0,0,2,0.154,0.154,0.267,0.421,0,2,0,0,0,0,1,0
ASTNER,Moritz,DD,3,0,1,0,0,0,0,1,0.333,0.333,0.333,0.666,0,0,0,0,0,0,0,0
BESOLI,Killian,MON,11,1,1,1,0,0,1,2,0.091,0.182,0.167,0.349,0,1,2,0,0,0,1,0
BORGES,Joel,MAR,16,7,9,3,0,0,8,12,0.563,0.750,0.600,1.350,3,0,0,1,1,0,0,0
BRAUNER,Jacob,DD,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
BROSSIER,Paolo,MPT,19,7,8,2,0,3,7,19,0.421,1.000,0.478,1.478,1,2,2,0,1,0,1,0
BUSTAMANTE,Daniel,DEU,15,3,3,1,0,0,0,4,0.200,0.267,0.200,0.467,0,0,6,0,0,1,1,0
CASAUBON PEE,Baptiste,MON,1,0,0,0,0,0,0,0,0.000,0.000,0.500,0.500,1,0,1,0,0,0,0,0
CAYONES,Exicardo,AST,18,4,7,0,0,0,2,7,0.389,0.389,0.522,0.911,5,0,5,1,0,0,0,0
COLOMES - LE PICHON,Clément,MPT,15,3,4,0,0,0,2,4,0.267,0.267,0.313,0.580,1,0,5,0,0,0,0,0
