Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
AUGSBURGER,Aron Ramon,BAR,12,0,2,1,0,0,1,3,0.167,0.250,0.167,0.417,0,0,2,0,0,0,0,0
BALLARDINI,Lino,HOB,9,2,1,0,0,0,0,1,0.111,0.111,0.385,0.496,4,0,3,0,0,0,0,0
BRUCE,Alexander Addison,BAR,16,3,6,1,0,0,3,7,0.375,0.438,0.444,0.882,1,1,0,0,0,0,2,0
BRÄNDLI,Simon,BAR,14,1,2,1,0,0,1,3,0.143,0.214,0.294,0.508,3,0,4,0,0,1,3,1
BRÜDERLI,Nils,BAR,13,0,2,0,0,0,4,2,0.154,0.154,0.333,0.487,4,0,4,0,1,0,1,0
BUNDI,Fabio Nico,BAR,10,2,2,0,1,0,2,4,0.200,0.400,0.429,0.829,4,0,3,0,0,0,0,1
BÄR,Friedrich,BAR,5,0,0,0,0,0,0,0,0.000,0.000,0.286,0.286,1,1,5,0,0,0,1,0
BÖRJES,Sam,RAT,14,2,3,0,0,0,1,3,0.214,0.214,0.250,0.464,1,0,2,1,1,0,0,1
CASEY,David,MBI,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
CUEVAS,Jamie,MBI,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
DE BRAUWER,Zion,HOB,16,6,4,0,0,0,0,4,0.250,0.250,0.368,0.618,2,1,2,0,0,2,2,1
DE QUINT,Dennis,HOB,18,6,6,1,0,0,3,7,0.333,0.389,0.368,0.757,1,0,5,1,0,0,0,0
DEL VALLE DIAZ,Elvis,BAR,6,1,1,0,0,0,0,1,0.167,0.167,0.167,0.334,0,0,2,0,0,0,0,0
DELZOPPO,Grant,LDM,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
DESMEDT,Kevin,HOB,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
DIX,Jamie,LDM,15,3,5,0,0,0,2,5,0.333,0.333,0.444,0.777,1,2,3,1,0,0,2,0
DONNELLY,Gareth Edward,MBI,13,2,2,0,0,0,0,2,0.154,0.154,0.313,0.467,3,0,1,0,0,1,0,0
EDMONDS,Jordan,LDM,15,2,4,0,0,0,1,4,0.267,0.267,0.313,0.580,1,0,6,0,0,0,1,0
FARRELL,Leo,MBI,13,2,2,2,0,0,2,4,0.154,0.308,0.353,0.661,4,0,8,0,0,0,1,0
FINARELLI,Trajan,MBI,9,1,2,0,0,0,1,2,0.222,0.222,0.222,0.444,0,0,3,1,0,0,0,0
FISCHER,Nicholas Robin,BAR,15,4,5,0,0,0,1,5,0.333,0.333,0.353,0.686,1,0,4,0,1,1,0,0
FLAHERTY,Thomas,LDM,13,2,2,0,0,0,1,2,0.154,0.154,0.353,0.507,2,2,2,1,0,0,1,1
GALLAHAR-HALL,Fionn,MBI,13,3,3,1,0,0,1,4,0.231,0.308,0.412,0.720,3,1,4,0,0,0,1,0
GOFFAUX,Benjamin,HOB,20,12,12,2,0,0,9,14,0.600,0.700,0.667,1.367,3,1,1,0,0,1,4,2
GONDOBINTORO,Sean,LDM,15,2,3,0,0,0,3,3,0.200,0.200,0.250,0.450,1,0,3,0,0,0,0,1
GRAVES,Kyle,BAR,12,5,5,1,1,0,4,8,0.417,0.667,0.500,1.167,0,2,3,0,0,0,1,0
HÖGLUND,Hans,RAT,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
HÖGLUND,Kalle,RAT,15,0,5,1,0,0,2,6,0.333,0.400,0.375,0.775,0,1,3,0,0,0,0,0
JANSSENS,Wesley,HOB,18,3,8,0,0,0,5,8,0.444,0.444,0.524,0.968,3,0,0,2,0,1,3,1
JERFSTEN,Olle,RAT,10,2,0,0,0,0,0,0,0.000,0.000,0.231,0.231,1,2,5,0,0,1,0,0
JOHNSON,Benjamin,RAT,17,3,4,0,1,0,2,6,0.235,0.353,0.300,0.653,1,1,1,1,1,1,2,0
JOHNSON,Daniel,RAT,18,4,7,2,0,0,4,9,0.389,0.500,0.476,0.976,2,1,1,0,0,0,2,0
JOHNSON,Jan-Mikael,RAT,14,1,4,0,0,0,2,4,0.286,0.286,0.286,0.572,0,0,3,0,0,0,1,1
JOHNSON,Joel,RAT,18,2,5,2,0,0,6,7,0.278,0.389,0.318,0.707,2,0,4,1,2,0,2,1
KELLEY,Patrick Marley,MBI,15,3,4,0,0,0,2,4,0.267,0.267,0.313,0.580,1,0,0,0,0,0,1,0
KELLY III,James Francis,MBI,7,0,1,0,0,0,0,1,0.143,0.143,0.250,0.393,1,0,6,0,0,0,0,0
KELLY,James Ian,MBI,15,1,6,1,0,0,1,7,0.400,0.467,0.438,0.905,1,0,1,0,0,0,1,0
KÄCK,Albin,RAT,9,4,3,1,0,0,0,4,0.333,0.444,0.538,0.982,4,0,3,0,0,2,0,1
LEWIS,Rob,HOB,17,0,4,0,0,0,4,4,0.235,0.235,0.333,0.568,3,0,2,0,1,1,0,0
LINDELL,Tommy,RAT,20,2,7,0,0,0,1,7,0.350,0.350,0.350,0.700,0,0,2,0,0,0,0,1
LUTZ,Tiago,BAR,4,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
MESSER,Chris,LDM,11,0,1,0,0,0,0,1,0.091,0.091,0.333,0.424,2,2,3,0,0,1,0,1
MINFORD,Rich,LDM,15,0,2,0,0,0,1,2,0.133,0.133,0.278,0.411,2,1,2,1,0,0,0,0
MITCHELL,Patrick,MBI,10,1,4,0,0,0,1,4,0.400,0.400,0.538,0.938,3,0,2,0,0,0,0,0
MONTAG,Benjamin,BAR,5,0,1,0,0,0,0,1,0.200,0.200,0.429,0.629,1,1,3,0,0,0,1,0
NORDSELL,Elias,RAT,11,4,4,0,0,0,1,4,0.364,0.364,0.417,0.781,1,0,0,0,0,0,0,0
POWER,Brendan,LDM,13,1,3,0,0,0,0,3,0.231,0.231,0.375,0.606,3,0,3,0,0,0,1,0
RIZZI,Lucas,HOB,16,4,6,1,0,1,2,10,0.375,0.625,0.474,1.099,1,2,1,0,0,1,0,0
ROTHER,Casey,BAR,2,1,2,1,0,0,0,3,1.000,1.500,1.000,2.500,0,0,0,0,0,0,1,1
SAVOLDELLI,Cee-Jay Eduard,BAR,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
SCHNIDER,Marc Manuel Bernhard,BAR,9,1,2,0,0,0,0,2,0.222,0.222,0.222,0.444,0,0,4,0,0,0,0,0
STEFAN,Jakub,BAR,9,1,1,0,0,0,0,1,0.111,0.111,0.111,0.222,0,0,4,0,0,0,0,0
STOR,Anders,RAT,3,1,1,0,0,0,0,1,0.333,0.333,0.333,0.666,0,0,2,0,0,0,0,0
STROMAN,Zach,LDM,14,2,0,0,0,0,1,0,0.000,0.000,0.176,0.176,3,0,6,0,0,0,0,0
SWEATLAND,Daniel Joseph,MBI,13,0,5,1,0,0,3,6,0.385,0.462,0.471,0.933,3,0,1,0,1,0,1,0
TILIAKOS,Vegas,HOB,13,4,2,0,0,0,1,2,0.154,0.154,0.313,0.467,3,0,3,0,0,1,0,0
UNDA,Luis,HOB,23,7,7,0,0,0,2,7,0.304,0.304,0.360,0.664,1,1,2,0,0,0,1,0
VALENCIA DOMINGUEZ,Geremias Jesus,LDM,16,2,5,1,0,1,2,9,0.313,0.563,0.389,0.952,2,0,4,1,0,0,2,1
VERSPREET,Xander,HOB,18,7,13,1,0,2,17,20,0.722,1.111,0.739,1.850,3,1,0,0,1,1,0,0
VONDERSCHMITT,Kevin Patrick,BAR,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
WILSON,Dustin,RAT,4,0,2,1,0,0,2,3,0.500,0.750,0.625,1.375,2,1,0,0,1,0,0,0
WOODBURNE,Daniel John,MBI,16,1,2,0,0,0,1,2,0.125,0.125,0.118,0.243,0,0,3,0,1,0,0,0
