Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
Perez,Eliezer,WILDF,29,17,18,3,4,0,16,29,,,,,5,1,1,0,2,0,0,0
Bermudez,Jose,WILDF,32,12,18,3,0,4,16,33,,,,,1,0,0,0,0,0,2,0
Gonzalez,Dianyel,WILDF,36,19,19,4,4,3,20,40,,,,,5,0,1,1,2,0,2,1
Napoles,Mario,WILDF,35,16,17,5,4,1,14,33,,,,,4,1,2,1,0,0,1,0
Blanco,Jorge,WILDF,25,16,12,2,1,1,8,19,,,,,8,1,1,0,1,0,3,0
Molina,Noel,WILDF,26,11,10,3,0,1,8,16,,,,,3,2,3,0,2,0,1,0
Rueda,Jose,MARIN,10,3,8,2,0,0,6,10,,,,,1,0,0,0,1,0,0,0
D`Amico,Eliezer,MARIN,12,7,9,5,1,2,10,22,,,,,0,0,0,0,0,0,0,0
Perez,Cleiben,MARIN,10,6,7,1,0,0,5,8,,,,,3,0,0,0,0,0,0,0
Casadiego,Jesus,MARIN,9,3,6,0,0,1,5,9,,,,,0,0,0,0,0,0,0,0
Rojas,Argenis,LEONE,11,4,7,3,0,0,6,10,,,,,2,0,0,0,1,0,0,0
Espaillat,Albert,MARIN,8,2,5,2,0,0,5,7,,,,,0,1,0,1,0,0,1,0
Izquierdo,Lazaro,WILDF,15,5,9,2,0,0,8,11,,,,,2,0,0,0,0,0,0,0
Arguello,Brayan,LEONE,5,3,3,0,1,0,2,5,,,,,0,0,0,0,0,0,0,0
Sarante,Emmanuel,LEONE,26,12,15,3,3,1,6,27,,,,,4,0,3,0,0,0,0,0
Moreno,Daniel,WILDF,21,14,12,6,2,3,11,31,,,,,6,2,0,0,1,0,0,0
Gomez,Yosbel,MARIN,7,2,4,0,0,1,5,7,,,,,2,0,0,0,1,0,0,0
Cardenas,Alexis,LEONE,7,5,4,2,1,1,6,11,,,,,2,2,0,0,0,0,0,0
Lebron,Ronny,MARIN,23,12,13,2,4,0,10,23,,,,,3,0,0,0,1,0,0,0
Suarez,Yeislandy,WILDF,29,9,16,4,0,0,13,20,,,,,0,0,0,0,2,0,2,0
Caraballo,Manuel,MARIN,11,9,6,2,2,0,7,12,,,,,2,1,0,1,0,0,1,0
Gomez,Emilio,MARIN,11,3,6,2,0,1,5,11,,,,,1,0,0,0,1,0,2,0
