Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
Montenegro,Maikel,CENTR,19,10,10,3,1,2,7,21,,,,,0,0,1,0,0,0,1,0
Trujillo,Anderson,CENTR,20,6,9,3,1,3,8,23,,,,,2,0,1,0,0,0,0,0
Garcia,Albert,ANGEL,19,7,8,3,0,1,7,14,,,,,3,0,1,0,0,0,1,0
Linares,Jorge,ANGEL,17,3,7,1,0,0,4,8,,,,,1,0,0,0,1,0,1,0
Riera,Gino,TITAN,14,6,5,1,0,2,6,12,,,,,5,0,1,0,0,0,0,0
Duharte,David,CENTR,17,5,6,2,0,1,4,11,,,,,4,0,2,0,1,0,0,0
De Souza,Jorge,HALCO,18,0,6,2,0,0,0,8,,,,,1,0,3,0,0,0,0,0
Imeno,Ictiandro,CENTR,18,2,6,1,0,0,1,7,,,,,3,0,1,0,0,0,0,0
Toboso,Idonis,ANGEL,25,6,8,6,0,0,3,14,,,,,0,0,0,0,0,0,0,0
Rosales,Armando,TITAN,19,4,6,0,0,2,7,12,,,,,0,0,1,0,3,0,0,0
Saavedra,Kevin,CENTR,19,4,6,1,0,4,7,19,,,,,3,0,0,0,0,0,0,0
Romero,Yandis,TITAN,19,4,6,2,0,1,4,11,,,,,0,0,0,0,1,0,0,0
Hernandez,Angel,ANGEL,16,6,5,0,1,2,6,13,,,,,4,0,1,0,0,0,1,0
Alvarez,Guillen,CENTR,20,5,6,0,0,2,2,12,,,,,0,0,0,0,0,0,0,0
Cruz,Alfonso,HALCO,17,1,5,2,0,0,2,7,,,,,1,0,1,1,1,0,0,0
Moya,Jose,ANGEL,21,2,6,3,0,1,5,12,,,,,3,0,2,0,0,0,0,0
Carrandi,Kelvys,TITAN,19,3,5,2,0,0,4,7,,,,,0,0,0,0,0,0,0,0
Gonzalez,Jeann,ANGEL,19,7,5,0,0,1,1,8,,,,,3,0,1,0,0,0,0,0
Sanchez,Alberto,CENTR,18,4,4,0,0,1,3,7,,,,,1,0,1,0,0,0,1,0
Reque,Jesus,TITAN,15,7,3,1,0,0,1,4,,,,,3,0,5,0,0,0,2,1
Rodriguez,Orlando,CENTR,11,1,6,1,0,0,2,7,,,,,2,0,0,0,0,0,0,0
Andres Lopez,Abner,TITAN,16,4,8,2,0,1,4,13,,,,,2,0,0,0,0,0,0,0
Salazar,Johan,ANGEL,14,5,7,3,0,1,7,13,,,,,2,0,2,0,0,0,1,0
Martinez,Rafael,ANGEL,12,2,6,2,0,0,1,8,,,,,0,0,0,0,1,0,1,0
Toledo,Yunior,CENTR,4,1,2,1,0,1,2,6,,,,,0,0,0,0,0,0,0,0
Lara,Jose,ANGEL,2,1,1,0,0,0,0,1,,,,,1,0,0,0,0,0,0,0
