Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
AGUILERA ZAYAS,Paris,RCH,89,12,13,4,0,0,6,17,0.146,0.191,0.240,0.431,11,0,31,1,0,0,0,2
AHRENS,Vincent,NEP,103,20,28,7,1,0,24,37,0.272,0.359,0.402,0.761,22,3,17,6,4,1,1,1
AUSSEMS,Jesse,NEP,79,14,17,3,0,0,17,20,0.215,0.253,0.330,0.583,12,2,23,2,1,6,0,0
BEERMAN,Jamie,DKI,63,16,15,2,0,1,7,20,0.238,0.317,0.355,0.672,11,1,9,1,1,0,9,1
BEKKER,Lucas,UVV,94,22,17,1,0,0,13,18,0.181,0.191,0.389,0.580,27,5,19,5,0,3,3,1
BELJAARDS,Duncan,PIO,60,10,18,1,1,0,9,21,0.300,0.350,0.348,0.698,3,2,11,0,1,1,1,1
BENTURA,Railison,TWI,137,25,41,11,1,0,24,54,0.299,0.394,0.377,0.771,17,2,16,3,3,2,12,4
BERKEL,Nathan,RCH,69,6,16,3,0,0,8,19,0.232,0.275,0.284,0.559,3,2,16,0,0,1,4,3
BERKENBOSCH,Kenny,AMS,89,17,24,9,0,2,16,39,0.270,0.438,0.370,0.808,16,0,9,1,3,0,0,0
BLIJLEVEN,Mart,RCH,55,4,11,0,0,0,6,11,0.200,0.200,0.333,0.533,9,2,17,2,0,1,5,1
BLOAT,Kilian,UVV,101,24,29,10,1,2,21,47,0.287,0.465,0.411,0.876,17,5,18,2,1,0,9,2
BOERMANS,Jens,TWI,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
BONEVACIA,Arthur,NEP,109,18,41,6,0,0,21,47,0.376,0.431,0.474,0.905,21,1,11,2,2,2,0,0
BRACACESCU,Mihai,AMS,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
BRENK,Eric,HCA,22,4,6,1,0,0,7,7,0.273,0.318,0.385,0.703,4,0,2,0,0,0,2,0
BRODSO,Tye,PIO,4,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,3,0,0,0,0,0
BROOKS,Denzel,HCA,105,22,26,4,2,0,12,34,0.248,0.324,0.368,0.692,18,2,18,2,0,1,9,5
BULTHUIS,Parker,UVV,31,7,6,0,0,0,5,6,0.194,0.194,0.390,0.584,9,1,12,1,0,1,0,0
BUN,Luuk,TWI,116,18,29,5,1,0,18,36,0.250,0.310,0.343,0.653,14,3,19,1,1,1,1,1
BURGER,Jordy,UVV,48,8,9,1,0,0,7,10,0.188,0.208,0.333,0.541,10,1,8,0,1,1,3,1
BURLESON,Miles,PIO,1,0,0,0,0,0,0,0,0.000,0.000,0.500,0.500,1,0,1,0,0,0,0,0
CALMES,Nigel,HCA,6,1,1,0,0,0,2,1,0.167,0.167,0.143,0.310,0,0,2,0,1,0,1,0
CAROLINA,Rayshelon,NEP,95,23,26,2,2,1,18,35,0.274,0.368,0.415,0.783,20,3,14,0,0,1,17,1
CLEMENSIA,Taylor,QUI,103,19,26,5,0,4,15,43,0.252,0.417,0.368,0.785,20,0,31,0,2,0,0,0
CLOTIDA,Jisjar,QUI,37,7,10,0,0,0,2,10,0.270,0.270,0.341,0.611,4,0,6,2,0,1,0,0
COLLINS,Darnel,NEP,20,5,7,0,0,0,2,7,0.350,0.350,0.462,0.812,5,0,4,0,1,0,1,1
COLLINS,Darryl,NEP,71,15,21,1,0,0,13,22,0.296,0.310,0.376,0.686,9,2,4,2,3,3,6,0
CREMER,Jules,AMS,97,26,28,5,1,0,14,35,0.289,0.361,0.373,0.734,10,3,17,1,0,0,7,2
DE BOER,Olivier,QUI,3,0,1,0,0,0,0,1,0.333,0.333,0.333,0.666,0,0,2,0,0,0,0,0
DE CUBA,Quintin,AMS,67,11,21,4,0,0,13,25,0.313,0.373,0.473,0.846,19,3,9,0,2,1,2,4
DE LEPPER,René,TWI,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
DE VREEDE,Bodhi,PIO,40,4,2,0,0,0,4,2,0.050,0.050,0.208,0.258,8,0,17,2,0,0,0,1
DIAZ,Christian,NEP,111,26,39,9,0,2,28,54,0.351,0.486,0.400,0.886,11,0,8,0,3,1,0,1
DIRKSEN,Kevin,NEP,83,14,21,2,1,0,12,25,0.253,0.301,0.386,0.687,13,5,11,7,0,0,1,0
DITERS,Raff,PIO,82,11,23,3,0,1,9,29,0.280,0.354,0.365,0.719,11,1,27,3,2,0,3,1
DOMETILIA,Jerson,QUI,52,15,13,2,0,0,2,15,0.250,0.288,0.350,0.638,4,4,7,1,0,0,2,2
DRAIJER,Victor,HCA,99,20,29,6,0,1,17,38,0.293,0.384,0.440,0.824,24,2,23,4,0,0,2,1
DUMITRESCU,Michael,PIO,54,10,18,4,2,1,11,29,0.333,0.537,0.373,0.910,3,1,12,0,1,0,3,0
DUNLOP,Tijani,RCH,60,8,15,4,0,0,2,19,0.250,0.317,0.348,0.665,9,0,15,1,0,1,1,0
ERNESTINA,Joshua,QUI,88,11,22,0,1,0,2,24,0.250,0.273,0.333,0.606,11,0,23,1,0,3,6,2
ESKES,Bodie,DKI,17,2,2,0,0,0,0,2,0.118,0.118,0.250,0.368,3,0,7,0,0,0,2,0
EUSTACIA,Sigmar,RCH,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
FINNEGAN,Aidan,DKI,47,7,7,0,0,0,0,7,0.149,0.149,0.231,0.380,4,1,14,2,0,0,0,0
FRANK,Dion,RCH,102,15,29,4,0,2,13,39,0.284,0.382,0.381,0.763,13,3,24,2,0,3,5,3
FRANKA,Amarensio,DKI,119,21,31,4,0,0,12,35,0.261,0.294,0.341,0.635,8,8,24,3,3,4,13,4
GARCIA,Terrence,TWI,99,19,34,6,1,1,16,45,0.343,0.455,0.450,0.905,17,3,18,1,1,0,0,1
GIJSBERTHA,Jaison,PIO,37,2,8,0,0,0,8,8,0.216,0.216,0.275,0.491,3,0,3,0,0,0,0,0
GOINS,Julian,HCA,57,11,14,2,0,0,7,16,0.246,0.281,0.411,0.692,11,5,15,0,0,2,1,1
GONZALEZ GARAY,Luis,QUI,23,2,6,0,0,2,6,12,0.261,0.522,0.250,0.772,0,0,6,0,1,0,0,0
GROß,Simon,TWI,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
GUZMAN,Aldrich,RCH,102,26,22,7,1,4,18,43,0.216,0.422,0.394,0.816,26,4,39,3,0,1,4,1
HANSEN,Jurian,UVV,74,17,21,3,0,0,14,24,0.284,0.324,0.486,0.810,18,12,20,0,1,4,9,1
HATMA,Enrique,QUI,95,16,31,7,0,6,31,56,0.326,0.589,0.365,0.954,6,1,18,0,2,0,0,1
HEEMSKERK,Terrance,PIO,123,22,23,2,1,0,3,27,0.187,0.220,0.268,0.488,13,1,21,3,1,4,2,1
HEIJNSDIJK,Jaspar,UVV,1,0,0,0,0,0,0,0,0.000,0.000,0.500,0.500,1,0,1,0,0,0,0,0
HEILIGERS,Daniel,PIO,24,2,8,1,1,0,0,11,0.333,0.458,0.429,0.887,2,2,8,0,0,0,0,0
HELMS,Allard,UVV,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
HELMS,Thijs,UVV,83,12,19,2,0,0,11,21,0.229,0.253,0.371,0.624,19,1,18,1,2,1,0,2
