Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ALBERTELLI,Federico,LDC,3,1,0,0,0,0,0,0,0.000,0.000,0.250,0.250,1,0,2,0,0,0,0,0
ANDREI,Apostoaei,SHB,19,2,4,0,0,1,2,7,0.211,0.368,0.250,0.618,1,0,4,0,0,0,1,0
APOSTOL,Jesus,EXA,9,4,3,0,0,0,0,3,0.333,0.333,0.538,0.871,3,1,3,0,0,0,3,0
AVILA,Elbis,SHB,5,1,1,0,0,0,0,1,0.200,0.200,0.500,0.700,2,1,2,0,0,0,0,0
BAEZ AYBAR,Nguyen,VET,4,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
BANAGALE,Mike,LDM,8,0,1,0,0,0,0,1,0.125,0.125,0.125,0.250,0,0,0,0,0,0,0,0
BARRETT,Joshua,LDM,7,2,1,0,0,0,1,1,0.143,0.143,0.250,0.393,1,0,3,0,0,0,1,0
BARRETT,Michael,LDM,23,6,9,0,0,0,3,9,0.391,0.391,0.417,0.808,1,0,6,0,0,0,6,0
BATHO,Charlie,SHB,4,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,4,0,0,0,0,0
BEDARD,David,LDC,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
BOBADILLA,Jose,BMB,38,0,10,1,0,0,3,11,0.263,0.289,0.300,0.589,1,1,10,0,0,0,2,0
BOURGEOIS,Owen,BMB,19,3,8,0,0,0,5,8,0.421,0.421,0.455,0.876,2,0,7,0,1,0,6,0
CALZADO,Aneury,VET,25,8,9,0,0,0,3,9,0.360,0.360,0.484,0.844,6,0,4,0,0,0,7,0
CEDENO,Roger,BMB,43,3,10,0,1,1,8,15,0.233,0.349,0.250,0.599,1,0,6,0,0,0,1,0
CEDEÑO,Leo,LDC,28,6,10,0,0,1,6,13,0.357,0.464,0.419,0.883,2,1,5,1,0,0,3,0
CHARLES,Carlson,VET,20,4,5,1,0,0,2,6,0.250,0.300,0.348,0.648,1,2,5,1,0,0,2,0
CHESTERTON,Richard,EXA,27,7,7,2,0,0,2,9,0.259,0.333,0.355,0.688,3,1,3,0,0,0,2,0
CHIRA,Angel,EXA,12,6,7,1,0,1,2,11,0.583,0.917,0.722,1.639,5,1,3,0,0,0,5,0
DEACON,Alex,SHB,9,3,2,0,0,0,1,2,0.222,0.222,0.385,0.607,3,0,2,0,1,0,0,0
DEAN,Louis,LDM,16,3,3,0,0,0,2,3,0.188,0.188,0.222,0.410,1,0,5,0,1,0,4,0
DEERING,Ian,LDC,6,1,1,0,0,1,1,4,0.167,0.667,0.286,0.953,1,0,2,0,0,0,0,0
DELZOPPO,Grant,LDM,10,1,5,0,0,1,4,8,0.500,0.800,0.545,1.345,1,0,1,0,0,0,1,0
DIAZ,Juan,EXA,34,12,10,2,0,0,9,12,0.294,0.353,0.442,0.795,8,1,4,0,0,0,8,1
DIX,Jamie,LDM,23,3,7,0,0,0,2,7,0.304,0.304,0.448,0.752,4,2,6,0,0,0,2,0
DLUHOS,Vladimir,BMB,3,0,0,0,0,0,0,0,0.000,0.000,0.250,0.250,1,0,0,0,0,0,0,0
EDMONDS,Jordan,LDM,16,2,3,3,0,0,3,6,0.188,0.375,0.278,0.653,2,0,3,0,0,0,1,0
ESCALONA,Giovanni,EXA,9,2,3,0,0,0,1,3,0.333,0.333,0.400,0.733,1,0,2,0,0,0,1,0
FIGUEREO ALMONTE,Julio Cesar,LDC,36,9,15,1,0,2,10,22,0.417,0.611,0.500,1.111,5,1,4,0,0,0,0,1
FIORENTINO,Michael,LDM,26,9,3,0,0,0,4,3,0.115,0.115,0.324,0.439,5,3,2,1,0,0,2,0
FLAHERTY,Thomas,LDM,17,6,8,1,0,0,1,9,0.471,0.529,0.526,1.055,2,0,2,0,0,0,3,0
FRENCH,Tim,SHB,15,3,1,0,0,0,1,1,0.067,0.067,0.222,0.289,2,1,4,0,0,0,1,0
FROMETA,Luis,SHB,28,3,12,3,0,0,8,15,0.429,0.536,0.467,1.003,0,2,5,1,0,0,0,0
FURST,Matt,SHB,5,1,0,0,0,0,0,0,0.000,0.000,0.286,0.286,1,1,0,0,0,0,0,0
GONDOBINTORO,Sean,LDM,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
GONZÁLEZ,Jorge Luis,VET,3,2,0,0,0,0,0,0,0.000,0.000,0.400,0.400,2,0,1,0,0,0,0,0
GREEN,James,LDM,7,1,1,0,0,0,1,1,0.143,0.143,0.333,0.476,2,0,5,0,0,0,0,0
GUEVARA,Jonny,BMB,31,5,6,1,0,0,3,7,0.194,0.226,0.212,0.438,1,0,7,0,1,0,2,0
GUSTAFSON,Erik Javier,BMB,11,1,3,1,0,0,1,4,0.273,0.364,0.467,0.831,4,0,3,0,0,0,3,0
GÁLVEZ RODRÍGUEZ,Adonis jose,EXA,31,8,14,3,0,0,9,17,0.452,0.548,0.471,1.019,2,0,5,0,1,0,8,0
HAYWOOD,Junior,BMB,10,0,0,0,0,0,0,0,0.000,0.000,0.091,0.091,0,1,3,0,0,0,0,0
HURTADO,Ambiorix,BMB,5,0,1,0,0,0,0,1,0.200,0.200,0.200,0.400,0,0,1,0,0,0,0,0
HYDE,Ben,BMB,8,0,1,0,0,0,1,1,0.125,0.125,0.125,0.250,0,0,1,0,0,0,0,0
ISHIHARA,Tasuku,LDC,14,0,4,1,0,0,1,5,0.286,0.357,0.286,0.643,0,0,5,0,0,0,0,0
JAKUTIS,Evaldas,VET,7,2,5,0,0,0,1,5,0.714,0.714,0.714,1.428,0,0,1,0,0,0,0,0
JANULEVICIUS,Giedrius,VET,5,2,2,0,0,0,1,2,0.400,0.400,0.571,0.971,2,0,1,0,0,0,0,0
JIMENEZ,Gian,VET,11,1,2,1,0,0,1,3,0.182,0.273,0.308,0.581,1,1,3,0,0,0,1,0
JIMENEZ,Jes,VET,6,2,2,0,0,0,3,2,0.333,0.333,0.500,0.833,2,0,1,0,0,0,3,0
KATINAS,Vilmantas,VET,31,8,6,1,0,0,3,7,0.194,0.226,0.359,0.585,6,2,11,0,0,0,6,0
KIDO,Kenta,LDC,27,9,7,2,0,0,1,9,0.259,0.333,0.375,0.708,4,1,5,0,0,0,2,0
KUSZEWSKI,Maxymus,LDM,3,0,0,0,0,0,1,0,0.000,0.000,0.250,0.250,1,0,1,0,0,0,0,0
LAWLER,Dylan,BMB,37,8,11,1,1,0,0,14,0.297,0.378,0.381,0.759,5,0,9,2,0,0,1,0
LAWN,Spencer,SHB,22,2,6,0,0,0,2,6,0.273,0.273,0.273,0.546,0,0,5,0,0,0,3,0
LEE,Cameron,LDC,4,1,1,1,0,0,2,2,0.250,0.500,0.250,0.750,0,0,1,0,0,0,0,0
LOPEZ,Jose,BMB,24,3,8,3,0,0,4,11,0.333,0.458,0.407,0.865,3,0,6,1,0,0,1,0
LORENZO,Arley,EXA,12,1,2,0,0,0,1,2,0.167,0.167,0.231,0.398,1,0,5,0,0,0,1,0
MAMBRU FELIPE,Jeurys Lewin,LDC,14,0,2,0,0,0,4,2,0.143,0.143,0.250,0.393,2,0,3,1,0,0,0,0
MARRIOTT,Josh,LDC,29,6,13,2,0,1,9,18,0.448,0.621,0.484,1.105,2,0,6,0,0,0,1,0
MARTE BATISTA,Kendry,EXA,21,6,4,0,0,1,6,7,0.190,0.333,0.393,0.726,7,0,5,0,0,0,7,1
MARTIN,Luke,SHB,25,5,4,2,0,0,3,6,0.160,0.240,0.250,0.490,2,1,8,0,0,0,3,0
MARTINEZ,Franklin,EXA,13,4,1,0,0,0,0,1,0.077,0.077,0.400,0.477,7,0,3,0,0,0,1,0
MCLAUGHLIN,Ryan,LDM,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,1,0,0,0,0
MENCIA DE LA CRUZ,Elvin,VET,18,4,3,1,0,0,2,4,0.167,0.222,0.250,0.472,2,0,7,0,0,0,2,0
MESSER,Chris,LDM,12,5,5,0,0,1,5,8,0.417,0.667,0.533,1.200,3,0,1,0,0,0,4,0
MINFORD,Rich,LDM,8,4,4,0,0,0,1,4,0.500,0.500,0.636,1.136,2,1,1,1,0,0,1,0
MORAN,Daniel,SHB,32,6,11,3,0,0,4,14,0.344,0.438,0.417,0.855,1,3,9,0,0,0,3,0
