Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
AINETO,Cristian,ANT,18,4,3,0,0,0,5,3,0.167,0.167,0.250,0.417,1,1,2,0,0,2,2,0
ALBES,Ander,NAV,31,8,8,1,0,0,2,9,0.258,0.290,0.303,0.593,1,1,6,0,0,0,2,0
ALCALÁ,Diego,SBO,39,8,9,1,0,0,1,10,0.231,0.256,0.302,0.558,4,0,7,0,0,1,0,0
ALFONSO,Alex,AST,5,0,1,0,0,0,0,1,0.200,0.200,0.333,0.533,1,0,3,0,0,0,0,0
ALVARADO,Carlos,INA,46,11,11,3,0,0,5,14,0.239,0.304,0.345,0.649,8,0,6,1,1,0,2,0
AMADOR,Jaime,SBO,27,7,3,0,0,0,0,3,0.111,0.111,0.333,0.444,9,0,9,1,0,2,0,1
ARCE,Mikel,IRA,7,2,1,1,0,0,0,2,0.143,0.286,0.455,0.741,4,0,4,0,0,0,0,0
ARISTU,Martín,IRA,7,0,1,0,0,0,0,1,0.143,0.143,0.143,0.286,0,0,4,0,0,0,0,0
ARRESE,Pablo,IRA,13,0,2,0,0,0,1,2,0.154,0.154,0.214,0.368,1,0,4,2,0,0,0,1
ARZA,David,NAV,43,8,11,2,0,2,6,19,0.256,0.442,0.347,0.789,6,0,7,1,0,0,3,1
ARZA,Marcos,NAV,42,13,19,4,0,1,11,26,0.452,0.619,0.571,1.190,8,5,6,0,1,0,1,1
AUCIELLO,Kreisber,INA,56,12,18,5,0,2,18,29,0.321,0.518,0.361,0.879,4,0,10,1,1,1,1,0
BAETA,José,ANT,14,5,2,0,0,0,1,2,0.143,0.143,0.333,0.476,3,1,2,1,0,0,0,0
BASTIDAS COLMENARES,Andres Alfonzo,MIR,16,5,8,1,1,0,4,11,0.500,0.688,0.556,1.244,2,0,1,0,0,1,3,0
BERMÚDEZ,Samuel,BCN,45,8,9,0,1,0,1,11,0.200,0.244,0.379,0.623,9,4,6,1,0,0,1,1
BLANCO,Miguel,SBO,42,6,10,1,0,0,5,11,0.238,0.262,0.385,0.647,9,1,11,1,0,1,2,0
BORDANOBA,Joan,SBO,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
BORGES,Joel,MAR,53,12,23,3,0,1,13,29,0.434,0.547,0.545,1.092,11,2,6,1,0,0,0,0
BRACHO,Yovel,ANT,23,4,5,0,0,0,2,5,0.217,0.217,0.308,0.525,3,0,8,0,0,0,2,0
BRUN,Mauro,MIR,5,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
BRUN,Tristán,MIR,23,3,3,1,0,0,2,4,0.130,0.174,0.259,0.433,4,0,11,0,0,0,0,1
BURGUILLOS,José,VIL,7,1,1,0,0,0,1,1,0.143,0.143,0.250,0.393,1,0,3,0,0,0,0,0
BÁDENAS,Lluis,BCN,40,10,10,0,0,0,2,10,0.250,0.250,0.404,0.654,9,2,12,1,1,2,1,1
CABALLERO,Yoel,INA,53,18,20,3,3,1,14,32,0.377,0.604,0.485,1.089,8,4,9,0,1,0,8,1
CABELLO,JOSE,SBO,34,6,13,3,0,0,11,16,0.382,0.471,0.500,0.971,7,2,2,0,1,0,0,0
CALVO,Lucas,IRA,35,0,6,1,0,0,3,7,0.171,0.200,0.250,0.450,1,3,12,0,1,0,2,0
CARBONELL,Luis,TOR,11,0,3,1,0,0,1,4,0.273,0.364,0.333,0.697,1,0,0,1,0,0,0,0
CARDINALE,Carlos,IRA,43,6,13,2,0,0,2,15,0.302,0.349,0.333,0.682,2,0,6,3,0,0,5,0
CARMONA,Christopher,NAV,8,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,5,0,0,1,1,0
CASTELL,Mario,SBO,34,7,12,2,0,0,4,14,0.353,0.412,0.532,0.944,12,1,4,1,0,1,1,1
CASTILLO,Alejandro,AST,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
CASTILLO,Jesús,TOR,46,10,14,2,0,0,2,16,0.304,0.348,0.385,0.733,4,2,8,0,0,0,6,4
CATALÁN,Miguel,VIL,29,2,5,0,0,0,4,5,0.172,0.172,0.351,0.523,1,7,7,1,0,1,0,0
CAYONES,Exicardo,AST,41,5,9,3,0,0,4,12,0.220,0.293,0.365,0.658,10,0,12,0,1,0,3,0
CAÑO,Unai,NAV,1,0,1,0,0,0,0,1,1.000,1.000,1.000,2.000,0,0,0,0,0,0,0,0
CENTENO,Luis,INA,45,12,17,3,1,1,7,25,0.378,0.556,0.472,1.028,7,1,18,0,0,0,4,3
CHAMBERS,Allen,TOR,10,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,4,1,0,0,0,0
CHUECA,Héctor,MIR,2,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
CLAVIJO,Yoreibert,TOR,18,5,5,1,0,0,0,6,0.278,0.333,0.350,0.683,2,0,2,0,0,0,0,0
COLÓN,Pedro,NAV,32,5,8,0,0,1,4,11,0.250,0.344,0.385,0.729,6,1,9,0,0,0,1,1
COMPRÉS,Luís,TOR,38,4,5,0,0,0,6,5,0.132,0.132,0.217,0.349,4,1,17,2,3,0,2,1
CORDIDO,Cesar,TOR,29,0,11,0,0,0,6,11,0.379,0.379,0.457,0.836,5,0,4,0,1,0,0,0
CORREA,Leopoldo,INA,50,16,21,6,0,3,17,36,0.420,0.720,0.524,1.244,10,2,2,1,1,0,0,0
CORTORREAL,Teudis,TOR,22,3,6,0,0,0,3,6,0.273,0.273,0.385,0.658,3,1,5,0,0,0,0,0
COSTALES,Pablo,ANT,43,10,10,4,1,0,7,16,0.233,0.372,0.352,0.724,9,0,11,0,2,1,4,2
CRUZ,Rafael,MAR,2,2,0,0,0,0,0,0,0.000,0.000,0.333,0.333,1,0,0,0,0,0,0,0
