Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ADAMS,Ella,BEV,35,8,8,1,0,1,7,12,0.229,0.343,0.357,0.700,4,3,7,0,0,2,2,0
ANDRIES,Tiana,GEN,21,2,5,0,0,0,1,5,0.238,0.238,0.238,0.476,0,0,4,0,0,0,2,1
ARDAEN,Fien,GEN,83,6,17,1,0,0,7,18,0.205,0.217,0.250,0.467,2,3,8,0,0,1,7,2
ARTIGES,Jillian,MSG,40,8,10,0,0,0,0,10,0.250,0.250,0.318,0.568,3,1,8,0,0,2,3,0
BAETENS,Ellen,GEN,27,3,0,0,0,0,0,0,0.000,0.000,0.069,0.069,2,0,14,1,0,0,7,0
BAILLY,Laura,GEN,70,11,24,0,0,0,4,24,0.343,0.343,0.395,0.738,5,1,6,0,0,0,3,0
BANCHELLI,Claudia,HOB,98,27,35,7,5,0,41,52,0.357,0.531,0.492,1.023,26,0,8,0,0,0,5,0
BAUFAYS,Camille,MSG,23,6,7,1,0,0,5,8,0.304,0.348,0.320,0.668,1,0,3,0,1,0,1,0
BAUGNIES,Camille,MSG,67,17,25,1,0,1,11,29,0.373,0.433,0.440,0.873,6,2,13,0,0,4,3,0
BEGUIN,Ysaline,MSG,34,11,12,1,2,0,8,17,0.353,0.500,0.371,0.871,1,0,8,0,0,2,1,0
BELHALOUMI,Maya,MSG,83,20,25,5,1,0,16,32,0.301,0.386,0.429,0.815,17,3,15,0,2,7,5,3
BOERMANS,Lisa,ANT,9,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,6,0,0,0,0,0
BOERMANS,Lynn,ANT,89,15,31,4,4,0,24,43,0.348,0.483,0.400,0.883,7,2,7,0,2,2,9,1
BRANDSMA,Eline,BEV,11,0,4,1,0,0,3,5,0.364,0.455,0.364,0.819,0,0,0,0,0,0,1,0
CALDERÓN MARTINEZ,Ester,MER,84,15,22,3,1,0,13,27,0.262,0.321,0.303,0.624,3,2,15,0,0,1,1,0
CALEEN,Kaitlyn,BEV,88,37,36,5,0,3,23,50,0.409,0.568,0.542,1.110,25,3,6,0,2,0,15,1
CAÑIZO,Marina,HOB,102,34,33,5,0,0,14,38,0.324,0.373,0.431,0.804,16,4,11,1,1,4,6,1
CLAES,Themis,ANT,13,1,2,0,0,0,2,2,0.154,0.154,0.143,0.297,0,0,4,1,1,0,0,0
CURRIE,Cadie,MER,6,3,3,1,0,0,2,4,0.500,0.667,0.571,1.238,1,0,1,0,0,0,0,0
DASSY,Louise,MSG,64,17,28,3,1,0,35,33,0.438,0.516,0.507,1.023,8,1,6,1,0,1,4,0
DE BAERE,Chloë,ANT,21,6,6,1,0,1,4,10,0.286,0.476,0.375,0.851,2,1,3,0,0,0,0,0
DE GRAEVE,Sara,BEV,109,31,38,6,2,1,20,51,0.349,0.468,0.419,0.887,12,2,10,0,1,1,12,1
DE HOUWER,Candice,GEN,19,0,4,0,0,0,0,4,0.211,0.211,0.318,0.529,2,1,6,1,0,0,1,1
DE JAEGHER,Gwendy,HOB,50,9,16,2,1,0,14,20,0.320,0.400,0.417,0.817,7,2,5,1,1,0,0,0
