Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ANDRIES,Tiana,GEN,46,32,31,4,0,1,13,38,0.674,0.826,0.717,1.543,7,0,0,0,0,0,26,0
ARDAEN,Fien,GEN,83,42,36,9,4,2,33,59,0.434,0.711,0.510,1.221,12,1,5,0,0,0,18,0
ART,Amandine,BRU,13,4,4,0,0,0,1,4,0.308,0.308,0.526,0.834,6,0,3,0,0,0,2,1
BAETENS,Ellen,GEN,41,16,11,0,0,0,12,11,0.268,0.268,0.348,0.616,4,1,8,0,0,0,14,0
BAUWENS,Ellen,GEN,50,26,23,0,1,1,30,28,0.460,0.560,0.559,1.119,13,2,4,0,3,0,11,0
BERGER,Aurélie,SER,71,29,21,4,2,0,11,29,0.296,0.408,0.433,0.841,17,1,4,0,1,0,16,0
BRABANT,Coline,BRI,12,5,6,0,0,0,6,6,0.500,0.500,0.667,1.167,1,5,3,0,0,0,3,0
BRUYNSEELS,Ellen,HEI,40,16,14,2,0,0,8,16,0.350,0.400,0.567,0.967,19,1,9,0,0,0,12,0
BRUYNSEELS,Lore,HEI,16,3,5,1,0,1,3,9,0.313,0.563,0.389,0.952,2,0,4,0,0,0,2,0
CAMBIE,Jolien,GEN,11,6,3,0,0,0,3,3,0.273,0.273,0.333,0.606,1,0,4,0,0,0,4,0
CHASSEUR,Charlotte,SER,57,14,13,0,0,0,9,13,0.228,0.228,0.323,0.551,5,3,15,0,0,0,2,0
CHIKH,Norine,SER,68,44,31,7,4,0,15,46,0.456,0.676,0.575,1.251,18,1,2,0,0,0,37,0
COOK,Olivia,BRU,14,8,3,1,0,0,3,4,0.214,0.286,0.542,0.828,10,0,5,0,0,0,1,0
CORDOBA-DIAZ,Sabrina,BRI,9,2,2,0,0,0,1,2,0.222,0.222,0.417,0.639,2,1,4,0,0,0,2,0
CORNIL,Joëlle,BRU,12,4,4,0,0,0,3,4,0.333,0.333,0.471,0.804,3,1,0,0,1,1,2,1
CUAZ,Laura,SER,23,7,9,0,1,0,5,11,0.391,0.478,0.481,0.959,4,0,0,0,0,0,1,0
DAENE,Christine,SER,76,28,22,4,0,0,20,26,0.289,0.342,0.438,0.780,19,1,14,0,0,0,9,0
DE CARITAT,Diane,BRU,18,5,11,0,2,1,10,18,0.611,1.000,0.708,1.708,6,0,0,0,0,2,2,1
DE HOUWER,Candice,GEN,41,10,10,2,0,0,13,12,0.244,0.293,0.367,0.660,7,1,5,0,0,0,8,0
DE MUNNYNCK,Ruth,BRU,35,9,13,0,0,0,6,13,0.371,0.371,0.476,0.847,6,1,10,0,0,0,6,0
DECARPENTRIE,Adeline,BRI,39,13,17,3,2,0,19,24,0.436,0.615,0.560,1.175,10,1,3,0,0,0,4,1
