Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ABATE,Brian,RON,13,4,5,2,1,1,4,12,0.385,0.923,0.438,1.361,2,0,2,0,1,1,0,0
ACCORSI,Luca,ATL,11,2,1,0,0,0,2,1,0.091,0.091,0.412,0.503,5,1,3,0,0,0,0,0
ACOSTA MACUMA,Edgar Eduardo,REG,11,3,2,0,0,0,2,2,0.182,0.182,0.357,0.539,2,1,3,0,0,0,2,0
ADELMI,Ivan,CAN,22,4,8,1,0,0,8,9,0.364,0.409,0.517,0.926,3,4,4,0,0,0,3,0
ADORNI,Tommaso,CRO,24,4,9,2,1,0,10,13,0.375,0.542,0.516,1.058,7,0,5,0,0,0,1,0
AGRETTI,Filippo,BOL,27,3,6,1,1,0,4,9,0.222,0.333,0.323,0.656,3,1,5,0,0,0,0,0
ALFIERI,Leonardo,COL,24,4,7,1,1,0,7,10,0.292,0.417,0.357,0.774,2,1,6,0,1,0,2,0
ALFINITO MONTECCHI,Simone,REG,21,3,7,0,0,0,4,7,0.333,0.333,0.417,0.750,2,1,5,0,0,0,0,0
ALOMA HERRERA,Jorge Enrique,GRO,19,3,4,1,0,0,3,5,0.211,0.263,0.444,0.707,7,1,2,0,0,0,1,2
ALVAREZ BELLO,Luis Honorio,RSM,20,2,5,1,0,1,5,9,0.250,0.450,0.400,0.850,3,2,3,2,0,0,1,0
AMBROSINO,Paolino Junior,NET,26,4,7,1,0,1,6,11,0.269,0.423,0.387,0.810,4,1,4,1,0,0,4,0
AMBROSIONI,Lorenzo,MIL,14,1,0,0,0,0,0,0,0.000,0.000,0.125,0.125,1,1,10,0,0,0,0,0
ANDREINI,Samuele,COL,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
ANDRES TURINO,Danny,CAG,23,3,5,1,0,0,1,6,0.217,0.261,0.308,0.569,2,1,1,2,0,0,0,0
ANGIOI,Filippo,CAG,18,1,4,0,0,0,1,4,0.222,0.222,0.263,0.485,1,0,6,0,0,0,0,0
ANGIOI,Gabriele,PAR,28,8,8,1,0,0,4,9,0.286,0.321,0.375,0.696,2,2,5,0,0,0,0,0
ANGULO GAMEZ,Oscar David,RSM,22,2,6,3,0,0,4,9,0.273,0.409,0.346,0.755,3,0,5,0,1,1,0,0
ANNUNZIATA NINO,Andres Antonio,NET,4,2,2,0,0,0,1,2,0.500,0.500,0.500,1.000,0,0,1,0,0,0,0,0
ARIANI,Jonathan,PAU,15,0,0,0,0,0,0,0,0.000,0.000,0.063,0.063,1,0,7,0,0,0,0,0
ARIANI,Jordan,PAU,4,0,0,0,0,0,0,0,0.000,0.000,0.200,0.200,1,0,3,0,0,0,0,0
ARMIGLIATI,Matteo,SEN,10,0,0,0,0,0,0,0,0.000,0.000,0.091,0.091,1,0,2,0,0,0,0,0
ASCANIO MENDEZ,Manuel Josè,PAR,25,3,9,3,0,0,5,12,0.360,0.480,0.407,0.887,2,0,6,1,0,0,1,0
