Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ADELINA,Kayleigh,QUI,59,12,14,0,1,0,13,16,0.237,0.271,0.319,0.590,6,2,5,0,2,0,3,0
ADRIAANSZ-TUK,Karin,OGZ,102,22,35,6,0,6,33,59,0.343,0.578,0.466,1.044,25,1,14,4,3,4,0,0
ADRIAANSZ,Desiree,OGZ,78,13,27,0,1,0,6,29,0.346,0.372,0.407,0.779,8,0,18,0,0,3,0,2
ARMIROTTO,Noa,OGZ,92,26,31,6,2,2,14,47,0.337,0.511,0.425,0.936,12,2,8,1,0,2,5,1
ARP,Laura,QUI,76,9,12,2,0,0,6,14,0.158,0.184,0.247,0.431,9,0,22,0,0,1,4,0
BARBÉ,Renée,PIO,12,0,0,0,0,0,0,0,0.000,0.000,0.077,0.077,1,0,5,0,0,0,0,0
BEEKVELDT,Yindi,OLY,78,21,23,3,4,3,14,43,0.295,0.551,0.356,0.907,7,1,23,0,1,0,2,0
BEERS,Brenda,OLY,142,60,60,10,10,1,23,93,0.423,0.655,0.503,1.158,22,2,23,1,1,1,27,4
BEZEMS,Kelly,ROE,37,11,6,2,0,0,2,8,0.162,0.216,0.244,0.460,4,0,18,0,0,0,1,1
BEZEMS,Maudy,ROE,47,14,9,0,1,0,7,11,0.191,0.234,0.291,0.525,7,0,14,0,1,4,1,1
BOERSMA,Tenley,SPA,52,17,14,3,0,0,5,17,0.269,0.327,0.350,0.677,7,0,6,0,1,2,3,0
BOLAND,Ailleen,AMS,5,0,0,0,0,0,0,0,0.000,0.000,0.167,0.167,0,1,1,0,0,0,0,0
BOMBA,Angelica,QUI,122,21,26,1,4,0,14,35,0.213,0.287,0.259,0.546,7,2,19,1,4,2,4,2
BOONTJES,Anouk,AMS,32,4,6,0,0,0,2,6,0.188,0.188,0.212,0.400,1,0,14,0,0,2,0,0
BRINKS,Demi,AMS,22,3,5,0,0,0,4,5,0.227,0.227,0.292,0.519,2,0,6,1,0,3,0,0
CHARLES,Damishah,QUI,44,8,13,3,2,0,6,20,0.295,0.455,0.367,0.822,5,0,3,2,0,0,2,0
CLARIJS,Lizzie,TTT,123,36,43,4,8,1,41,66,0.350,0.537,0.453,0.990,25,0,17,0,2,2,4,0
CORNELL,Sarah,AMS,54,8,15,2,2,1,5,24,0.278,0.444,0.281,0.725,1,0,12,0,2,0,0,0
CROUWEL,Marijn,OGZ,34,8,9,4,0,0,8,13,0.265,0.382,0.282,0.664,2,0,3,0,3,0,0,1
DE BOER-ESMEIJER,Vera,QUI,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
DE BOER,Else-Fieke,QUI,50,9,10,1,2,1,9,18,0.200,0.360,0.286,0.646,4,2,20,0,0,4,2,0
DE GREEF,Melissa,OGZ,8,2,2,0,0,0,1,2,0.250,0.250,0.400,0.650,2,0,3,0,0,0,0,0
DE GROOT,Merel,PIO,63,4,6,0,0,0,4,6,0.095,0.095,0.149,0.244,4,0,33,0,0,2,0,0
DE GROOT,Puk,TTT,8,6,2,0,0,0,1,2,0.250,0.250,0.400,0.650,2,0,5,0,0,0,1,0
DE GROOT,Robin,PIO,33,2,6,0,1,0,1,8,0.182,0.242,0.182,0.424,0,0,12,0,0,2,0,1
DE JONGE,Babs,OGZ,121,22,42,4,1,0,20,48,0.347,0.397,0.388,0.785,7,1,11,0,0,2,0,0
DE VRIES,Lisa,ROE,98,20,29,3,0,0,13,32,0.296,0.327,0.410,0.737,18,1,22,0,0,14,3,1
DE WEERT,Ginger,TTT,4,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
DEN DUIJN,Sterre,ROE,41,15,19,0,2,0,10,23,0.463,0.561,0.551,1.112,7,1,3,0,0,1,3,0
DIRKSZ,Quilen,OLY,110,23,39,5,2,0,31,48,0.355,0.436,0.450,0.886,19,1,7,1,1,5,5,1
DONKERS,Kim,ROE,94,19,34,3,1,0,16,39,0.362,0.415,0.402,0.817,6,1,3,0,1,5,1,0
DRIJVERS,Charlotte,ROE,33,4,7,1,0,0,5,8,0.212,0.242,0.289,0.531,3,1,4,0,1,0,0,0
DRIJVERS,Sietske,AMS,100,20,31,5,3,0,17,42,0.310,0.420,0.384,0.804,12,0,13,1,0,1,7,3
ELSJAN,Hayden,TTT,4,2,2,0,0,0,0,2,0.500,0.500,0.500,1.000,0,0,0,0,0,0,0,1
EVERS,Sarah,OGZ,8,2,2,0,0,0,0,2,0.250,0.250,0.250,0.500,0,0,4,0,0,0,0,0
FELIX,Amy,PIO,70,3,12,2,3,0,3,20,0.171,0.286,0.192,0.478,2,0,19,0,1,0,3,0
FLANEGIN,Riangela,SPA,89,35,41,9,5,5,38,75,0.461,0.843,0.576,1.419,30,1,11,0,5,0,2,1
FRANKA,Onaisha,ROE,92,14,27,3,2,0,17,34,0.293,0.370,0.343,0.713,6,1,31,0,0,2,3,0
FRANKA,Shomayra,ROE,1,0,1,0,0,0,0,1,1.000,1.000,1.000,2.000,0,0,0,0,0,0,0,0
GROOT,Stacy,AMS,103,14,32,5,1,0,14,39,0.311,0.379,0.385,0.764,12,1,13,1,1,7,3,5
HAEN,Charlotte,ROE,6,0,1,0,0,0,0,1,0.167,0.167,0.286,0.453,1,0,1,0,0,0,0,0
HENKS,Rachel,SPA,3,0,1,1,0,0,0,2,0.333,0.667,0.333,1.000,0,0,1,0,0,0,0,0
HICKS,Zoe,SPA,66,13,25,3,1,0,18,30,0.379,0.455,0.411,0.866,5,0,6,0,2,1,4,3
HOOIJER,Iris,AMS,66,15,14,4,2,0,11,22,0.212,0.333,0.293,0.626,8,0,19,0,1,3,2,0
HOP,Lisa,OLY,118,39,47,6,2,6,46,75,0.398,0.636,0.490,1.126,19,6,14,1,4,2,21,1
HORSTEN,Bo,ROE,28,7,1,1,0,0,0,2,0.036,0.071,0.069,0.140,1,0,14,0,0,0,1,0
HORSTEN,Kim,ROE,8,5,0,0,0,0,0,0,0.000,0.000,0.333,0.333,4,0,7,0,0,0,0,0
HUIJBEN,Jacky,ROE,11,0,1,0,0,0,0,1,0.091,0.091,0.167,0.258,1,0,7,0,0,1,0,0
HUIJZERS,Kelsey,PIO,53,1,15,1,0,0,1,16,0.283,0.302,0.356,0.658,6,0,8,1,0,0,0,0
JANSEN,Annemiek,TTT,136,43,54,18,3,3,29,87,0.397,0.640,0.488,1.128,21,3,10,0,0,1,7,2
JANSEN,Annick,OGZ,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
JONES,Kimberly,SPA,112,39,41,6,0,0,14,47,0.366,0.420,0.437,0.857,12,2,13,1,0,1,6,2
JONG LOY,Uchenna,AMS,34,3,9,1,2,0,5,14,0.265,0.412,0.359,0.771,4,1,9,2,0,0,0,0
KARDIJK,Elyke,PIO,21,1,2,0,0,0,0,2,0.095,0.095,0.208,0.303,3,0,13,0,0,0,0,0
KETELAARS,Gini,ROE,15,0,2,0,0,0,1,2,0.133,0.133,0.235,0.368,2,0,9,0,0,1,0,0
