Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ARGUINZONES OCANTO,Johiner Alfonso,DEU,3,2,1,0,0,1,2,4,0.333,1.333,0.500,1.833,0,1,0,0,0,0,0,0
BALLARDINI,Lino,HOB,5,1,2,0,0,0,2,2,0.400,0.400,0.571,0.971,2,0,1,0,0,0,0,0
BEYENS,Brian,HOB,2,1,1,0,0,0,0,1,0.500,0.500,0.667,1.167,1,0,0,0,0,0,0,0
BUERMS,Lieven,HOB,11,5,3,0,1,0,3,5,0.273,0.455,0.438,0.893,4,0,1,0,1,0,0,0
CAPPAERT,Zeb,GRE,8,0,0,0,0,0,0,0,0.000,0.000,0.273,0.273,3,0,5,0,0,0,1,0
CELIE,Kenny,DEU,22,6,3,1,0,0,2,4,0.136,0.182,0.269,0.451,4,0,3,1,0,0,0,0
CHAIBUB CORONEL,Tony Alberto,DEU,10,3,1,0,0,0,2,1,0.100,0.100,0.182,0.282,1,0,1,0,0,0,0,0
CLAES,Wesley,CHI,14,2,2,0,0,0,1,2,0.143,0.143,0.235,0.378,2,0,3,0,1,0,0,0
CNOPS,Wout,DEU,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
COPPENS,Tom,GRE,4,1,0,0,0,0,0,0,0.000,0.000,0.333,0.333,2,0,2,0,0,0,1,0
DAELMAN,Jorne,GRE,10,1,1,0,0,0,0,1,0.100,0.100,0.100,0.200,0,0,5,0,0,0,1,0
DE BRAUWER,Zion,HOB,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
DE CLOEDT,Jelle,CHI,12,2,4,0,0,0,2,4,0.333,0.333,0.333,0.666,0,0,4,0,0,0,0,0
DE QUINT,Dennis,HOB,14,6,5,1,0,1,6,9,0.357,0.643,0.526,1.169,5,0,3,0,0,0,0,0
DE TELDER,Tony,DEU,0,1,0,0,0,0,0,0,0.000,0.000,1.000,1.000,1,0,0,0,0,0,0,0
DE VRIENDT,Morris,DEU,22,11,12,4,1,0,8,18,0.545,0.818,0.630,1.448,3,2,2,0,0,0,2,0
DE VRIENDT,Nick,DEU,17,7,5,0,1,0,2,7,0.294,0.412,0.333,0.745,1,0,4,0,0,0,0,0
DEGROOTE,Ivan,HOB,13,2,2,0,0,0,2,2,0.154,0.154,0.267,0.421,2,0,6,0,0,0,1,0
GELDOF,Dean,GRE,9,2,2,0,0,0,0,2,0.222,0.222,0.417,0.639,2,1,2,0,0,0,1,1
GUERRA ARTEAGA,Juan Carlos,DEU,9,3,1,0,0,0,0,1,0.111,0.111,0.200,0.311,1,0,3,0,0,0,0,0
JANSSEN,Drew,CHI,7,5,4,1,0,0,1,5,0.571,0.714,0.700,1.414,3,0,3,0,0,0,0,0
JANSSEN,Tom,CHI,9,1,1,1,0,0,0,2,0.111,0.222,0.111,0.333,0,0,6,0,0,0,0,0
JANSSENS,Wesley,HOB,9,9,7,2,1,1,6,14,0.778,1.556,0.867,2.423,5,1,1,0,0,1,1,0
JASPE AQUILAR,Néstor Adolfo,CHI,3,0,1,1,0,0,0,2,0.333,0.667,0.500,1.167,1,0,0,0,0,0,0,0
JAVIER,Enrique,CHI,17,1,6,1,0,1,6,10,0.353,0.588,0.400,0.988,2,0,1,0,1,0,2,0
KORTLEVEN,Rudi,CHI,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
MARQUEZ,Alexis,CHI,12,2,2,0,0,1,1,5,0.167,0.417,0.167,0.584,0,0,3,0,0,0,0,0
MOSTAERT,Nando,DEU,23,9,12,1,0,3,12,22,0.522,0.957,0.577,1.534,3,0,4,0,0,0,2,0
PEETERS,Jamie,GRE,16,4,3,1,0,1,3,7,0.188,0.438,0.381,0.819,5,0,6,0,0,0,0,0
PRIETO BURGOS,Frank Alejandro,CHI,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
RAMAROJAONA,Serge,GRE,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,3,0,0,0,0,0
RIZZI,Lucas,HOB,10,6,3,1,0,2,9,10,0.300,1.000,0.533,1.533,4,1,1,0,0,0,0,0
ROEF,Axl,HOB,3,1,0,0,0,0,1,0,0.000,0.000,0.250,0.250,1,0,2,0,0,0,0,0
SELIS,Steve,CHI,6,3,1,0,0,0,0,1,0.167,0.167,0.375,0.542,2,0,2,0,0,0,0,0
SELLICAERTS,Jarno,HOB,13,7,6,2,0,0,3,8,0.462,0.615,0.500,1.115,0,1,3,0,0,0,1,0
SELLICAERTS,Yorrid,HOB,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,2,0
SOMERLINCK,Michael,HOB,3,3,0,0,0,0,0,0,0.000,0.000,0.667,0.667,4,2,2,0,0,0,0,0
VAN AARSEN,Kristof,DEU,21,11,10,1,0,6,15,29,0.476,1.381,0.607,1.988,7,0,2,1,0,0,0,0
VAN DE POEL,Kevin,GRE,20,3,4,0,0,2,4,10,0.200,0.500,0.200,0.700,0,0,11,0,0,0,0,0
VAN DE POEL,Rob,GRE,1,0,0,0,0,0,0,0,0.000,0.000,0.500,0.500,1,0,1,0,0,0,0,0
VAN DEN BOSCH,Dave,DEU,16,3,6,1,1,0,8,9,0.375,0.563,0.412,0.975,1,0,4,0,0,0,1,0
VAN DEN BRANDEN,Kenny,HOB,8,1,3,0,1,0,3,5,0.375,0.625,0.375,1.000,0,0,4,0,0,0,0,0
VAN DER LINDEN,Don,GRE,18,1,5,1,0,0,3,6,0.278,0.333,0.435,0.768,5,0,5,0,0,0,0,0
VAN DER LINDEN,Lukas,GRE,16,4,7,1,1,0,3,10,0.438,0.625,0.526,1.151,3,0,2,0,0,0,0,0
VAN DER VORST,David,CHI,16,5,4,0,0,2,5,10,0.250,0.625,0.400,1.025,4,0,4,0,0,0,1,0
VAN GENECHTEN,Joseph,GRE,8,1,0,0,0,0,1,0,0.000,0.000,0.273,0.273,3,0,4,1,0,0,0,0
VAN LANDUYT,Ruben,HOB,6,1,2,0,2,0,4,6,0.333,1.000,0.556,1.556,3,0,3,0,0,0,0,0
VAN NUFFEL,Jeroen,DEU,19,5,7,1,0,1,5,11,0.368,0.579,0.429,1.008,2,0,1,1,0,0,0,0
VAN SELM,Hendrik,GRE,3,1,0,0,0,0,0,0,0.000,0.000,0.400,0.400,1,1,1,0,0,0,1,0
VAN THIJS,Aldrich,CHI,7,0,1,0,0,0,1,1,0.143,0.143,0.250,0.393,1,0,3,0,0,0,0,0
VANDAELE,Joeni,GRE,15,1,2,0,1,0,2,4,0.133,0.267,0.188,0.455,1,0,10,0,0,1,0,0
VANHOVE,Lex,CHI,4,1,2,0,1,0,0,4,0.500,1.000,0.500,1.500,0,0,2,0,0,0,0,0
VERELST,Wesley,DEU,11,2,2,0,1,1,2,7,0.182,0.636,0.357,0.993,3,0,3,0,0,0,0,0
VERHAEGEN,Arvid,CHI,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
VERSPREET,Xander,HOB,16,8,8,1,0,4,10,21,0.500,1.313,0.556,1.869,1,1,3,0,0,0,0,0
VERVLOET,Kevin,CHI,15,6,5,0,1,2,7,13,0.333,0.867,0.450,1.317,4,0,3,1,1,0,0,0
VINCK,Matthieu,GRE,10,0,1,0,0,0,1,1,0.100,0.100,0.182,0.282,1,0,4,0,0,1,0,0
VISCHSCHOONMAKER,Connor,GRE,16,2,4,0,0,0,0,4,0.250,0.250,0.333,0.583,1,1,10,0,0,0,0,0
VOJTECH,Kasper,CHI,6,0,1,0,0,0,0,1,0.167,0.167,0.167,0.334,0,0,2,0,0,0,0,0
VRIJDERS,Ewout,DEU,16,4,4,1,0,0,2,5,0.250,0.313,0.333,0.646,2,0,5,0,0,0,0,0
WITVROUWEN,Tim,CHI,18,0,1,0,0,0,0,1,0.056,0.056,0.105,0.161,1,0,5,0,0,0,0,0
