Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ABRY,Yves,ANT,17,4,3,1,0,0,3,4,0.176,0.235,0.333,0.568,4,0,4,0,0,0,0,0
ADAMS,Dave,DEU,3,1,3,1,0,0,0,4,1.000,1.333,1.000,2.333,0,0,0,0,0,0,1,0
ADRIAENSEN,Jayden,TBS,16,4,3,1,0,0,2,4,0.188,0.250,0.409,0.659,4,2,7,0,0,0,11,0
AELBRECHT,Nick,DEU,22,18,13,3,1,1,6,21,0.591,0.955,0.679,1.634,6,0,2,0,0,0,4,0
ALLISON,Blaine,HEI,3,3,1,1,0,0,2,2,0.333,0.667,0.600,1.267,2,0,1,0,0,0,1,0
ALLISON,Blaine,TBS,12,8,6,0,1,3,7,17,0.500,1.417,0.684,2.101,7,0,2,0,0,0,9,0
ALMAO MOGOLLON,Samuel,BRU,7,2,2,0,1,0,0,4,0.286,0.571,0.444,1.015,1,1,2,0,0,0,1,0
AUDENAERT,Sven,CHI,7,5,2,0,0,0,3,2,0.286,0.286,0.667,0.953,7,1,2,0,0,0,1,0
BAERT,Vic,CHI,9,4,2,0,0,1,3,5,0.222,0.556,0.462,1.018,4,0,5,0,0,0,1,0
BARBIER,Jasper,CHI,4,2,1,0,0,0,0,1,0.250,0.250,0.571,0.821,2,1,2,0,0,0,5,0
BETTIO,Kerim,GRE,15,9,9,2,1,2,9,19,0.600,1.267,0.750,2.017,9,0,1,0,0,0,1,0
BOECKX,Kurt,HEI,6,1,0,0,0,0,0,0,0.000,0.000,0.250,0.250,2,0,2,0,0,0,0,0
BOLJAU,Jonas,CHI,1,1,0,0,0,0,0,0,0.000,0.000,0.667,0.667,1,1,0,1,0,0,0,0
BOSMANS,Hans,HEI,12,1,0,0,0,0,0,0,0.000,0.000,0.250,0.250,2,2,6,1,0,0,2,0
BUONSENSO,Antonella,ANT,9,0,0,0,0,0,1,0,0.000,0.000,0.250,0.250,3,0,3,0,0,0,0,0
CAPPAERT,Zeb,GRE,4,0,1,0,0,0,0,1,0.250,0.250,0.400,0.650,1,0,0,0,0,0,0,0
CARIS ALIAS REYNDERS,Alexander,ANT,1,0,0,0,0,0,0,0,0.000,0.000,0.667,0.667,1,1,1,0,0,0,0,0
