Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ABADIA,Nahia,NAV,44,9,11,0,0,0,3,11,0.250,0.250,0.340,0.590,6,0,12,0,0,2,2,1
ACOSTA,Daniela,VIL,29,5,8,2,3,0,4,16,0.276,0.552,0.313,0.865,1,1,2,0,1,0,2,0
AGUILAR,Elisa,FEN,27,6,13,0,0,0,1,13,0.481,0.481,0.517,0.998,2,0,2,0,0,1,2,0
ALCAZAR,Carmen,FEN,29,6,11,1,1,0,4,14,0.379,0.483,0.419,0.902,2,0,8,0,0,2,2,0
ALCÁNTARA,Alejandrina,RIV,52,23,25,4,2,3,19,42,0.481,0.808,0.569,1.377,9,3,9,0,1,0,13,1
ALONSO,Claudia,IRA,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
ANDUEZA,Carla,IRA,62,11,23,0,3,2,13,35,0.371,0.565,0.426,0.991,4,2,8,0,0,0,2,2
ANDUEZA,Rebeca,IRA,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
ARAIZ,Irene,IRA,47,12,8,1,1,0,3,11,0.170,0.234,0.328,0.562,9,2,16,0,0,2,0,1
ARANES,Olivia,ANT,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
AREVALO,Ainhoa,RIV,2,4,0,0,0,0,3,0,0.000,0.000,0.600,0.600,2,1,0,0,0,1,1,1
ASTRAIN,Iranzu,IRA,48,4,7,2,2,1,6,16,0.146,0.333,0.255,0.588,6,1,19,0,0,2,0,1
BARANDIARAN,Ane,RIV,4,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
BARRERAS,Claudia,OBB,3,1,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0,0,2,0,1,0,0,0
BARRERAS,Lidia,OBB,30,5,5,1,1,0,3,8,0.167,0.267,0.212,0.479,1,1,7,0,1,3,4,0
