Player,First name,Team, AB, R, H,2B,3B,HR,RBI,TB,  AVG, SLG%,  OB%,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
REINA,ROINEL,TAM,1,0,1,1,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0
GONZALEZ,DAYAN,DOD,14,5,7,1,0,1,2,11,0.5,0.786,0.5,0,0,0,3,0,0,0,2,1
COLOMBO,GABRIELE,ORI,39,11,19,8,0,2,19,33,0.487,0.846,0.615,0,13,0,5,1,0,0,5,1
TOVAR,GABRIEL,ORI,25,7,12,0,3,0,10,18,0.48,0.72,0.649,0,10,2,5,0,0,0,5,1
MENDOZA,RICARDO,ATL,31,14,14,3,0,5,18,32,0.452,1.032,0.595,0,11,0,4,0,0,0,3,0
AZCUY,JOSHUA,TAM,20,13,9,2,3,2,11,23,0.45,1.15,0.593,0,5,2,3,0,0,0,6,1
MARTIN,ANSELMI,DOD,37,12,15,0,1,0,11,17,0.405,0.459,0.566,0,13,2,8,0,1,0,4,1
NIEMEYER,FINN,ORI,45,15,17,7,2,0,10,28,0.378,0.622,0.517,0,11,2,5,0,0,0,5,1
ASCANIO,CARLOS,TAM,32,11,12,3,1,0,6,17,0.375,0.531,0.512,0,8,1,12,0,0,0,5,1
CRUZ,RAFAEL,DOD,30,7,11,2,2,0,5,17,0.367,0.567,0.558,0,8,5,8,0,0,2,9,1
ARAYA,C,ATL,22,5,8,4,0,0,8,12,0.364,0.545,0.4,0,1,1,3,1,1,0,1,0
MILANO,MANUEL,TAM,45,17,15,3,1,0,5,20,0.333,0.444,0.464,0,9,2,9,1,0,0,18,3
MADRIGAL,ORIC,ATL,39,16,13,1,1,0,3,16,0.333,0.41,0.48,0,10,1,8,1,0,0,3,1
GAMBERA,ANDREA,ORI,22,6,7,0,1,0,1,9,0.318,0.409,0.318,0,0,0,10,1,0,0,0,0
CASTILLO,ALEJANDRO,TAM,41,12,13,5,0,0,8,18,0.317,0.439,0.44,0,9,0,7,1,0,0,5,2
NARANJO,GABRIEL,ORI,38,8,12,2,0,0,5,14,0.316,0.368,0.409,0,6,0,8,0,0,0,3,2
RODRIGUEZ,RAINER,ATL,26,11,8,3,0,0,2,11,0.308,0.423,0.471,0,6,2,7,0,0,0,11,1
TORRES,C,ORI,47,13,14,3,0,0,7,17,0.298,0.362,0.421,0,9,1,4,0,0,0,1,1
GARCIA,LUISFER,TAM,27,4,8,2,0,0,2,10,0.296,0.37,0.412,0,4,2,3,3,1,0,0,0
RODRIGUEZ,KEVIN,TAM,17,1,5,0,0,0,4,5,0.294,0.294,0.409,0,0,4,8,0,1,0,1,1
ROJAS,ANGEL,DOD,39,9,11,4,0,0,3,15,0.282,0.385,0.404,0,6,2,12,0,0,0,4,1
SPECK,JURI,DOD,33,5,9,1,0,0,5,10,0.273,0.303,0.368,0,5,0,10,0,0,0,5,1
CARRASCO,FREIONIL,DOD,15,2,4,2,0,0,1,6,0.267,0.4,0.267,0,0,0,7,0,0,0,0,0
GAMBERA,DAVIDE,DOD,31,5,8,3,1,0,4,13,0.258,0.419,0.378,0,4,2,7,1,0,0,5,1
QUINTANA,SAMUEL,ATL,39,8,10,5,1,0,8,17,0.256,0.436,0.408,0,9,1,9,0,0,0,1,4
ALONSO,RAFAEL,DOD,36,7,9,4,0,0,6,13,0.25,0.361,0.449,0,13,0,9,0,0,0,5,0
CARDINALES,CARLOS,DOD,53,11,13,2,1,0,12,17,0.245,0.321,0.322,0,4,2,4,2,0,0,6,3
LARA,PEDRO,TAM,34,6,8,0,1,0,5,10,0.235,0.294,0.378,0,7,2,4,1,2,0,0,1
VARGAS,DIEGO,ATL,17,3,4,0,0,0,3,4,0.235,0.235,0.364,0,4,0,5,0,1,0,0,0
DE LOS SANTOS,GUARIN,ATL,22,4,5,1,1,0,1,8,0.227,0.364,0.414,0,7,0,8,0,0,0,5,3
GORTEMULDER,PEPIJN,TAM,28,3,6,4,0,0,5,10,0.214,0.357,0.281,0,2,1,7,1,1,0,1,2
MOLENMAN,SEM OUDE,TAM,20,5,4,1,0,1,1,8,0.2,0.4,0.385,0,5,1,7,0,0,0,1,1
COLLAZO,JESUS,DOD,16,5,3,1,0,0,3,4,0.188,0.25,0.409,0,6,0,10,0,0,0,2,1
VRANA,ROMAN,DOD,16,0,3,0,0,0,3,3,0.188,0.188,0.278,0,1,1,9,0,0,0,0,0
INFANTE,RAIMOND,TAM,33,4,6,2,0,1,5,11,0.182,0.333,0.308,0,4,2,8,2,0,0,0,1
SWAAK,BLUE,ORI,11,8,2,0,0,0,1,2,0.182,0.182,0.609,0,10,2,3,0,0,0,2,0
GANASSI,DAVIDE,DOD,17,3,3,0,0,0,1,3,0.176,0.176,0.263,0,2,0,11,0,0,1,3,1
FRANCO,JOAN KELLY,ATL,29,1,5,1,1,0,3,8,0.172,0.276,0.226,0,2,0,15,0,0,0,0,0
WALO,SEBASTIAN,TAM,35,2,6,2,0,0,1,8,0.171,0.229,0.237,0,3,0,16,0,0,0,1,1
BENCOMO,JOSE ANGEL,ATL,24,3,4,1,0,0,5,5,0.167,0.208,0.355,0,6,1,6,0,0,0,4,0
CHINEA,PABLO,TAM,18,4,3,0,0,0,3,3,0.167,0.167,0.286,0,2,1,10,1,0,0,1,0
MONTIEL,DANIEL,ORI,18,3,3,1,0,1,4,7,0.167,0.389,0.318,0,4,0,6,0,0,0,0,0
LAMONJCA,MIRKO,ORI,25,4,4,0,1,0,2,6,0.16,0.24,0.192,0,1,0,12,0,0,0,0,0
BALICE,ALEX,ATL,25,3,4,0,0,0,0,4,0.16,0.16,0.323,0,4,2,12,0,0,0,5,1
OTAL TORO,ALEXANDER,ORI,7,0,1,0,0,0,0,1,0.143,0.143,0.143,0,0,0,5,0,0,0,0,0
EVIAN ROMERO,JORGE,ATL,22,4,3,0,1,0,2,5,0.136,0.227,0.269,0,2,2,6,0,0,0,1,0
MERKELBACK,BENNETT,TAM,17,2,2,0,0,0,0,2,0.118,0.118,0.348,0,6,0,11,0,0,0,0,1
PEREZ,MIGUEL,DOD,24,3,2,0,0,0,2,2,0.083,0.083,0.241,0,5,0,10,0,0,0,4,0
ALBERTINI,DANIELE,ORI,15,3,1,0,0,0,0,1,0.067,0.067,0.333,0,6,0,9,1,0,0,0,1
PERUZZO,MATIS,ATL,17,1,1,0,0,0,2,1,0.059,0.059,0.111,0,1,0,10,0,0,0,0,0
KOCH,TOBIAS,ORI,21,1,1,0,0,0,1,1,0.048,0.048,0.13,0,2,0,11,0,0,1,0,0
REGAL,CARLOS,ORI,22,1,1,0,0,0,2,1,0.045,0.045,0.16,0,3,0,11,0,0,0,0,0
ROCCO,RUBERTI,ORI,20,4,0,0,0,0,0,0,0,0,0.13,0,3,0,16,0,0,0,2,0
ZIRONI,MAICOL,ORI,17,3,0,0,0,0,4,0,0,0,0.19,0,2,2,9,0,0,1,0,1
VALDIVIA,MARCEL,DOD,14,3,0,0,0,0,0,0,0,0,0.176,0,2,1,12,0,0,0,1,0
ROLDAN,VALDIVIA,ATL,11,1,0,0,0,0,0,0,0,0,0.083,0,0,1,5,0,0,0,2,1
ANTON,WILDER,ATL,10,1,0,0,0,0,0,0,0,0,0.286,0,4,0,8,0,0,0,0,0
BONGE,JAN,DOD,9,3,0,0,0,0,0,0,0,0,0.4,0,6,0,7,0,0,0,3,1
BORLONI,MATTEO,ATL,8,0,0,0,0,0,0,0,0,0,0.111,0,1,0,4,0,0,0,0,0
BONGE,JUAN,ATL,3,2,0,0,0,0,0,0,0,0,0.571,0,4,0,2,0,0,0,1,0
ZAMBRANO,ABRAHAM,DOD,3,2,0,0,0,0,0,0,0,0,0.5,0,3,0,3,0,0,0,0,0
FRANCO,YANCARLO,ATL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
