SURNAME,First name,Team,AB, R, H,2B,3B,HR,RBI,TB, AVG, SLG%, OB%,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
COLOMBO,GABRIELE,ORI,24,8,15,8,0,1,15,26,0.625,1.083,0.719,1.802,8,0,2,0,0,0,4,1
MENDOZA,RICARDO,ATL,18,12,10,2,0,5,16,27,0.556,1.5,0.704,2.204,9,0,2,0,0,0,3,0
ARAYA,C,ATL,8,2,4,2,0,0,5,6,0.5,0.75,0.444,1.194,0,0,0,1,1,0,0,0
GONZALEZ,DAYAN,DOD,11,4,5,0,0,1,2,8,0.455,0.727,0.455,1.182,0,0,3,0,0,0,2,1
AZCUY,JOSHUA,TAM,20,13,9,2,3,2,11,23,0.45,1.15,0.593,1.743,5,2,3,0,0,0,6,1
CRUZ,RAFAEL,DOD,22,4,9,2,1,0,4,13,0.409,0.591,0.594,1.185,5,5,5,0,0,2,7,1
TOVAR,GABRIEL,ORI,16,4,6,0,1,0,7,8,0.375,0.5,0.524,1.024,5,0,3,0,0,0,2,0
GAMBERA,ANDREA,ORI,14,5,5,0,0,0,1,5,0.357,0.357,0.357,0.714,0,0,6,0,0,0,0,0
RODRIGUEZ,RAINER,ATL,14,9,5,2,0,0,1,7,0.357,0.5,0.571,1.071,5,2,2,0,0,0,8,1
NIEMEYER,FINN,ORI,31,9,11,5,1,0,6,18,0.355,0.581,0.459,1.04,6,0,5,0,0,0,3,1
MADRIGAL,ORIC,ATL,26,13,9,0,1,0,1,11,0.346,0.423,0.514,0.937,9,0,6,1,0,0,2,1
CASTILLO,ALEJANDRO,TAM,24,9,8,3,0,0,5,11,0.333,0.458,0.467,0.925,6,0,4,0,0,0,4,2
MARTIN,ANSELMI,DOD,24,9,8,0,0,0,5,8,0.333,0.333,0.556,0.889,10,2,4,0,0,0,4,1
QUINTANA,SAMUEL,ATL,25,6,8,3,1,0,8,13,0.32,0.52,0.485,1.005,8,0,4,0,0,0,1,2
CARDINALES,CARLOS A,DOD,35,9,11,1,1,0,11,14,0.314,0.4,0.385,0.785,3,1,2,2,0,0,5,3
MILANO,MANUEL,TAM,29,10,9,3,1,0,2,14,0.31,0.483,0.444,0.927,6,1,5,1,0,0,9,2
MOLENMAN,SEM OUDE,TAM,13,3,4,1,0,1,1,8,0.308,0.615,0.471,1.086,3,1,5,0,0,0,1,1
ASCANIO,CARLOS,TAM,24,9,7,2,1,0,3,11,0.292,0.458,0.469,0.927,7,1,11,0,0,0,4,0
NARANJO,GABRIEL,ORI,24,5,7,1,0,0,3,8,0.292,0.333,0.346,0.679,2,0,6,0,0,0,2,2
TORRES,C,ORI,31,6,9,1,0,0,5,10,0.29,0.323,0.371,0.694,4,0,4,0,0,0,1,0
ROJAS,ANGEL,DOD,25,6,7,2,0,0,2,9,0.28,0.36,0.438,0.798,5,2,9,0,0,0,4,1
LARA,PEDRO,TAM,18,4,5,0,1,0,3,7,0.278,0.389,0.48,0.869,6,1,2,1,0,0,0,1
CARRASCO,FREIONIL,DOD,11,2,3,2,0,0,1,5,0.273,0.455,0.273,0.728,0,0,5,0,0,0,0,0
RODRIGUEZ,KEVIN,TAM,11,0,3,0,0,0,3,3,0.273,0.273,0.467,0.74,0,4,6,0,0,0,0,1
DE LOOS SANTOS,GUARIN,ATL,15,3,4,1,1,0,1,7,0.267,0.467,0.421,0.888,4,0,6,0,0,0,4,3
SPECK,JURI,DOD,19,3,5,0,0,0,4,5,0.263,0.263,0.3,0.563,1,0,6,0,0,0,2,1
ALONSO,RAFAEL,DOD,24,6,6,3,0,0,2,9,0.25,0.375,0.455,0.83,9,0,9,0,0,0,4,0
GARCIA,LUISFER,TAM,16,2,4,1,0,0,1,5,0.25,0.313,0.316,0.629,2,0,2,1,1,0,0,0
LAMONJCA,MIRKO,ORI,16,2,4,0,1,0,1,6,0.25,0.375,0.25,0.625,0,0,7,0,0,0,0,0
VARGAS,DIEGO,ATL,12,2,3,0,0,0,2,3,0.25,0.25,0.438,0.688,4,0,4,0,0,0,0,0
MONTIEL,DANIEL,ORI,8,2,2,1,0,0,1,3,0.25,0.375,0.5,0.875,4,0,5,0,0,0,0,0
GAMBERA,DAVIDE,DOD,18,3,4,2,0,0,3,6,0.222,0.333,0.3,0.633,1,1,5,0,0,0,2,0
GANASSI,DAVIDE,DOD,14,1,3,0,0,0,1,3,0.214,0.214,0.214,0.428,0,0,9,0,0,0,1,1
VRANA,ROMAN,DOD,11,0,2,0,0,0,2,2,0.182,0.182,0.25,0.432,1,0,5,0,0,0,0,0
BALICE,ALEX,ATL,17,3,3,0,0,0,0,3,0.176,0.176,0.364,0.54,3,2,6,0,0,0,3,1
FRANCO,JOAN KELLY,ATL,23,1,4,1,0,0,3,5,0.174,0.217,0.24,0.457,2,0,11,0,0,0,0,0
BENCOMO,JOSE ANGEL,ATL,18,3,3,1,0,0,4,4,0.167,0.222,0.4,0.622,6,1,5,0,0,0,3,0
WALO,SEBASTIAN,TAM,20,0,3,1,0,0,1,4,0.15,0.2,0.227,0.427,2,0,10,0,0,0,1,0
EVIAN ROMERO,JORGE,ATL,14,2,2,0,1,0,1,4,0.143,0.286,0.294,0.58,1,2,3,0,0,0,0,0
MERKELBACK,BENNETT,TAM,14,2,2,0,0,0,0,2,0.143,0.143,0.4,0.543,6,0,9,0,0,0,0,1
OTAL TORO,ALEXANDER,ORI,7,0,1,0,0,0,0,1,0.143,0.143,0.143,0.286,0,0,5,0,0,0,0,0
SWAAK,BLUE,ORI,7,5,1,0,0,0,1,1,0.143,0.143,0.6,0.743,6,2,3,0,0,0,1,0
PEREZ,MIGUEL,DOD,17,2,2,0,0,0,2,2,0.118,0.118,0.211,0.329,2,0,5,0,0,0,3,0
INFANTE,RAIMOND,TAM,20,0,2,1,0,0,2,3,0.1,0.15,0.182,0.332,1,1,6,1,0,0,0,1
COLLAZO,JESUS,DOD,10,4,1,0,0,0,2,1,0.1,0.1,0.4,0.5,5,0,7,0,0,0,2,1
KOCH,TOBIAS,ORI,12,1,1,0,0,0,1,1,0.083,0.083,0.214,0.297,2,0,8,0,0,0,0,0
GORTEMULDER,PEPIJN,TAM,15,1,1,1,0,0,2,2,0.067,0.133,0.167,0.3,2,0,4,1,1,0,1,0
PERUZZO,MATIS,ATL,15,1,1,0,0,0,2,1,0.067,0.067,0.125,0.192,1,0,8,0,0,0,0,0
ROCCO,RUBERTI,ORI,17,3,0,0,0,0,0,0,0,0,0.15,0.15,3,0,14,0,0,0,2,0
REGAL,CARLOS,ORI,13,0,0,0,0,0,0,0,0,0,0.188,0.188,3,0,8,0,0,0,0,0
ZIRONI,MAICOL,ORI,12,2,0,0,0,0,1,0,0,0,0.2,0.2,1,2,8,0,0,0,0,1
ALBERTINI,DANIELE,ORI,10,2,0,0,0,0,0,0,0,0,0.333,0.333,5,0,6,1,0,0,0,1
VALDIVIA,MARCEL,DOD,10,3,0,0,0,0,0,0,0,0,0.231,0.231,2,1,9,0,0,0,1,0
ROLDAN,VALDIVIA,ATL,9,1,0,0,0,0,0,0,0,0,0.1,0.1,0,1,4,0,0,0,2,0
ANTON,WILDER,ATL,7,1,0,0,0,0,0,0,0,0,0.222,0.222,2,0,6,0,0,0,0,0
CHINEA,PABLO,TAM,7,1,0,0,0,0,1,0,0,0,0.125,0.125,1,0,5,1,0,0,0,0
BONGE,JAN,DOD,6,2,0,0,0,0,0,0,0,0,0.4,0.4,4,0,5,0,0,0,1,0
BORLONI,MATTEO,ATL,5,0,0,0,0,0,0,0,0,0,0.167,0.167,1,0,3,0,0,0,0,0
ZAMBRANO,ABRAHAM,DOD,3,2,0,0,0,0,0,0,0,0,0.5,0.5,3,0,3,0,0,0,0,0
BONGE,JUAN,ATL,3,2,0,0,0,0,0,0,0,0,0.571,0.571,4,0,2,0,0,0,1,0
SERRA,DIEGO,ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIGUEL,LUIS,ATL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
