Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
Morales,Felipe,RED,13,6,11,1,0,2,6,18,,,,,0,0,0,0,0,0,1,0
Major,Max,GREEN,7,4,5,3,0,0,1,8,,,,,4,1,1,0,0,0,0,0
Calliste,Jerinyo,AQUA,5,4,3,2,0,1,4,8,,,,,5,0,2,0,0,0,1,0
Matsuoka,Shuma,WHITE,9,3,5,1,0,1,4,9,,,,,2,0,2,0,0,0,0,0
Nesnal,Aaron,GREEN,10,4,5,3,0,1,6,11,,,,,0,1,2,0,1,0,0,0
Blesing,Felix,RED,10,1,5,1,0,0,0,6,,,,,0,0,2,0,0,0,0,0
Liam hegen,Cooper,WHITE,4,2,2,1,0,0,1,3,,,,,5,0,1,0,0,0,0,0
Schwarcha,Matthes,RED,9,7,4,0,0,2,3,10,,,,,4,1,3,0,0,0,1,0
Hopfensperger,Thomas,RED,10,5,4,2,0,1,2,9,,,,,4,0,1,0,0,0,0,0
Galindo,Jhoan,AQUA,10,5,4,1,0,0,0,5,,,,,2,0,4,0,0,0,0,0
Topper,Charlie,AQUA,5,1,2,1,0,0,1,3,,,,,1,0,1,0,0,0,0,0
Kmiecik,Alex,AQUA,5,2,2,0,0,0,3,2,,,,,3,0,1,0,0,0,0,0
Diaz,Jiaquin,AQUA,8,5,3,2,0,0,1,5,,,,,2,0,1,0,0,0,1,0
Obemdoerfer,Kilian,WHITE,8,3,3,2,0,1,5,8,,,,,2,0,2,0,0,0,0,0
Milburn,Liam,AQUA,11,2,3,1,0,1,7,7,,,,,0,0,4,0,0,0,0,0
Cameron,Mason,RED,12,3,3,0,0,1,6,6,,,,,0,0,1,0,0,0,1,0
Hruby,Tomas,GREEN,8,2,2,0,0,1,4,5,,,,,2,0,5,0,0,0,1,0
Egan,Carter,RED,8,2,2,0,0,1,4,5,,,,,1,0,4,0,0,0,0,0
Iliev,Albert,GREEN,4,0,1,0,0,0,0,1,,,,,2,0,1,1,0,0,0,0
Gilstrap,Truett,RED,4,1,1,0,0,0,0,1,,,,,2,0,1,0,0,0,0,1
Vailand,Robert,GREEN,9,3,2,0,0,0,0,2,,,,,2,0,6,0,0,0,1,0
Minks,Johan,GREEN,5,1,1,0,0,0,2,1,,,,,3,0,3,0,0,0,0,0
Zvonar,Tomas,GREEN,5,1,1,0,0,0,1,1,,,,,1,0,2,0,0,0,0,0
