Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
Parisi,Andrea,ROYAL,12,10,9,2,0,4,10,23,,,,,1,0,1,0,0,0,0,0
Chelladura,Valentine,GOLD,7,2,4,1,0,1,4,8,,,,,0,0,2,0,0,0,0,0
de Cesaris,Tiziano,ROYAL,9,7,5,1,0,1,1,9,,,,,6,0,1,0,0,0,1,1
Ciscato,Samuele,ROYAL,9,4,5,0,0,2,5,11,,,,,3,0,3,0,0,0,0,0
Koppel,Karl,ORANG,10,4,5,0,0,1,5,8,,,,,2,0,0,0,0,0,1,1
Guidotti,Riccardo,ROYAL,6,4,3,0,0,1,2,6,,,,,1,0,1,0,0,0,0,0
Kulkami,Alex,GOLD,6,2,3,1,0,0,0,4,,,,,1,0,3,0,0,0,0,1
Jean Rodriguez,Erik,GOLD,6,4,3,2,0,1,4,8,,,,,2,0,1,0,1,0,2,0
Vastag,Adalberto,GOLD,7,3,3,2,0,1,2,8,,,,,1,0,1,0,0,0,1,0
Brauch,Mona,BLACK,7,2,3,2,0,0,2,5,,,,,0,0,4,0,0,0,0,0
Holzhey,Moritz,BLACK,5,2,2,2,0,0,0,4,,,,,1,0,2,0,0,0,0,0
Rojas,Diego,ORANG,8,5,3,1,0,0,1,4,,,,,4,0,1,0,0,0,0,1
Benelli,Serse,ROYAL,8,4,3,1,0,0,4,4,,,,,4,0,0,0,1,0,1,1
Van der Wens,Krijn,GOLD,11,3,4,0,0,3,6,13,,,,,0,1,3,0,0,0,1,1
Schumacher,Milos,BLACK,9,2,3,2,0,0,1,5,,,,,1,0,0,0,0,0,0,0
Beaujon,Nicolas,ORANG,6,2,2,2,0,0,1,4,,,,,2,0,3,0,0,0,0,0
Karam,Noah,GOLD,6,1,2,1,0,1,1,6,,,,,0,0,3,0,0,0,0,0
Borgardt,Rafael,BLACK,6,5,2,0,0,0,0,2,,,,,2,0,2,0,0,0,1,1
Alfonso,Angel,ORANG,3,1,1,0,0,0,0,1,,,,,3,0,2,0,0,0,0,0
Swart,Tito,ORANG,3,1,1,0,0,0,0,1,,,,,3,0,2,0,0,0,1,0
Barbera,Sebastian,ROYAL,10,5,3,1,0,1,5,7,,,,,2,0,2,0,1,0,1,0
Korkmaz,Tim,BLACK,7,2,2,1,0,0,1,3,,,,,2,1,3,0,0,0,0,0
Salcedo,Maikel,GOLD,7,2,2,0,0,0,2,2,,,,,0,0,2,0,0,0,1,0
Henrik Rosenberg,Leo,BLACK,7,2,2,1,0,1,3,6,,,,,0,0,3,0,0,0,0,0
Jonathan Kampf,Ben,BLACK,4,3,1,1,0,0,2,2,,,,,2,0,0,0,0,0,1,0
Deguine,Matheo,BLACK,9,3,2,0,0,1,2,5,,,,,0,0,4,0,0,0,0,0
De Poi,Nicolo,ROYAL,10,7,2,0,0,1,5,5,,,,,3,0,2,0,0,0,0,0
Zuccon,Paolo,ROYAL,5,1,1,1,0,0,3,2,,,,,3,0,1,0,0,0,0,1
ten Dam,Jens,ORANG,5,0,1,0,0,0,1,1,,,,,4,0,2,0,0,0,0,1
Ruesing,Henri,BLACK,5,1,1,1,0,0,1,2,,,,,1,0,1,0,0,0,0,0
Montes,Diego,ORANG,6,2,1,0,0,0,0,1,,,,,2,0,3,0,0,0,1,0
Meermeyer,Robin,BLACK,6,1,1,0,0,0,1,1,,,,,1,1,3,0,0,0,0,0
Franco Bimbatti,Gian,GOLD,6,0,1,1,0,0,0,2,,,,,1,0,2,0,0,0,0,0
Figueredo,Josner,GOLD,6,0,1,0,0,0,1,1,,,,,1,0,0,0,0,0,0,0
Zunno,Francesco,ROYAL,7,1,1,0,0,0,0,1,,,,,2,1,4,0,0,0,0,1
Rudolph,Ben,ORANG,7,1,1,1,0,0,1,2,,,,,6,0,1,1,0,0,0,0
Sademe,Markus,ORANG,7,0,0,0,0,0,0,0,,,,,2,0,7,0,0,0,0,1
Fernandez,Thomas,GOLD,7,0,0,0,0,0,0,0,,,,,0,0,5,0,0,0,0,0
Gonzalez,Martin,ORANG,6,0,0,0,0,0,0,0,,,,,4,0,3,0,0,0,0,0
Pidun,Santino,BLACK,5,0,0,0,0,0,0,0,,,,,1,1,4,0,0,0,0,0
Gonzalez,Alejandro,GOLD,3,1,0,0,0,0,0,0,,,,,3,0,2,0,0,0,0,0
Stepanek,Dominik,GOLD,2,2,0,0,0,0,0,0,,,,,4,0,0,0,0,0,0,0
Barragan,Andres,BLACK,4,1,1,1,0,0,2,2,,,,,1,0,1,0,0,0,0,0
Gonzalez,Marco,BLACK,5,1,1,0,0,0,0,1,,,,,0,0,4,0,0,0,0,0
Inkinen,Timo,GOLD,5,1,1,0,0,0,0,1,,,,,0,0,2,0,0,0,0,0
Fisher,Louis,GOLD,5,1,0,0,0,0,0,0,,,,,0,0,1,0,0,0,0,0
Kortman,Julien,ORANG,4,0,0,0,0,0,0,0,,,,,0,0,2,0,0,0,0,0
Carrasco,Tomas,ORANG,4,0,0,0,0,0,0,0,,,,,1,0,4,0,0,0,0,0
Ferraro,Pietro,ROYAL,4,0,0,0,0,0,0,0,,,,,0,0,1,0,0,0,0,0
Doskocil,Jan,GOLD,4,1,0,0,0,0,0,0,,,,,1,0,1,0,0,0,1,0
Boelke,Jonas,BLACK,4,0,0,0,0,0,1,0,,,,,1,0,1,0,0,0,0,0
Macor,Daniele,ROYAL,2,0,0,0,0,0,1,0,,,,,2,0,1,0,0,0,0,0
Matos,Manuel,ORANG,1,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0
Sassi,Lorenzo,ROYAL,1,1,0,0,0,0,1,0,,,,,1,1,1,0,0,0,0,0
Schroder,Ford,BLACK,1,0,0,0,0,0,0,0,,,,,1,0,0,1,0,0,0,0
