Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
Benelli,Serse,ROYAL,2,2,2,1,0,0,2,3,,,,,2,0,0,0,0,0,0,0
De Poi,Nicolo,ROYAL,2,4,2,0,0,2,2,8,,,,,2,0,0,0,0,0,0,0
Pidun,Santino,BLACK,2,0,2,1,0,0,1,3,,,,,0,0,0,0,0,0,0,0
Ciscato,Samuele,ROYAL,4,2,3,0,0,2,5,9,,,,,0,0,1,0,0,0,0,0
Egan,Carter,RED,3,1,2,0,0,1,2,5,,,,,0,0,0,0,0,0,0,0
Milburn,Liam,AQUA,3,1,2,0,0,0,2,2,,,,,0,1,0,0,0,0,0,0
Macor,Daniele,ROYAL,3,1,2,1,0,0,2,3,,,,,0,0,0,0,0,0,0,0
Schwarcke,Matthes,RED,3,2,2,0,0,1,3,5,,,,,0,1,0,0,0,0,0,0
Rudolph,Ben,ORANG,3,2,2,1,0,0,1,3,,,,,1,0,0,0,0,0,0,0
Morales,Felipe,RED,4,0,2,2,0,0,2,4,,,,,1,0,0,0,0,0,0,0
Chelladura,Valentine,GOLD,2,0,1,0,0,0,0,1,,,,,0,0,1,0,0,0,0,0
Figueredo,Josner,GOLD,2,0,1,0,0,0,0,1,,,,,0,0,1,0,0,0,0,0
Vastag,Adalberto,GOLD,2,0,1,0,0,0,1,1,,,,,2,0,0,0,0,0,0,0
Gilstrap,Truett,RED,2,1,1,0,0,0,0,1,,,,,0,0,1,0,0,0,0,0
Hruby,Tomas,GREEN,2,0,1,0,0,0,0,1,,,,,0,0,0,0,0,0,0,0
de Cesaris,Tiziano,ROYAL,2,2,1,0,0,1,2,4,,,,,2,0,1,0,0,0,0,0
Galindo,Jhoan,AQUA,2,1,1,0,0,0,0,1,,,,,1,1,0,0,0,0,0,1
Mercado,Robert,AQUA,2,0,1,1,0,0,1,2,,,,,0,0,1,0,0,0,0,0
Swart,Tito,ORANG,2,0,1,1,0,0,2,2,,,,,0,0,1,0,0,0,0,0
Linares,Camilo,AQUA,2,0,1,0,0,0,0,1,,,,,0,0,1,0,0,0,0,0
Ten Dam,Jens,ORANG,2,2,1,0,0,0,1,1,,,,,1,1,1,0,0,0,0,0
Schroder,Ford,BLACK,2,1,1,0,0,1,3,4,,,,,0,0,1,0,0,0,0,0
Deguine,Matheo,BLACK,2,1,1,0,0,0,0,1,,,,,0,0,1,0,0,0,0,0
