Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
Van d,Sander,GREY,3,2,2,1,0,0,0,3,,,,,2,1,0,0,0,0,1,0
Spies,Robin,GERMA,5,2,3,0,0,1,3,6,,,,,2,0,1,0,0,0,1,0
Hoyer,Jim,AQUA,7,4,4,1,0,1,3,8,,,,,3,2,1,0,0,0,3,0
Annunziata,Andres,NETRO,11,4,6,2,0,1,9,11,,,,,1,0,1,0,0,0,0,0
Azcuy,Joshua,AQUA,11,8,6,3,1,0,5,11,,,,,2,0,0,0,0,0,3,0
Lorenz,Noah,GERMA,10,3,5,3,0,0,3,8,,,,,2,0,2,0,0,0,0,0
Vicario,Jayvon,ORANG,10,2,5,0,0,0,1,5,,,,,3,1,0,0,0,1,1,0
Mazzanti,Riccardo,NETRO,10,6,5,2,0,0,3,7,,,,,3,0,2,0,0,0,1,0
Torres,Carlos,PURPL,6,3,3,1,0,0,0,4,,,,,2,1,1,0,0,0,1,0
Stockhaus,Pepe,GERMA,6,1,3,0,0,0,4,3,,,,,1,0,0,0,1,0,0,0
Garcia,Luisfer,PURPL,6,3,3,0,0,0,1,3,,,,,3,0,1,0,0,0,0,0
Skopek,David,GREEN,4,2,2,0,0,0,0,2,,,,,2,0,0,0,0,0,3,0
Carballosa,Cesar,AQUA,11,6,5,1,0,1,9,9,,,,,1,1,0,0,1,0,2,1
Fagerlund,Emil,BLACK,7,1,3,0,0,0,0,3,,,,,3,1,1,0,0,0,1,1
Gripp,Peter,BLACK,10,1,4,1,0,0,5,5,,,,,2,0,3,0,1,0,0,0
Carlos Villalob,Luis,AQUA,10,2,4,0,0,0,4,4,,,,,3,1,1,0,0,0,1,0
Fahrner,Sol,ORANG,10,5,4,2,0,0,2,6,,,,,6,0,2,0,0,0,0,0
Stroll,Felix,GERMA,8,3,3,2,0,0,1,5,,,,,2,1,1,0,0,0,0,0
Guerrero,Jordan,AQUA,11,5,4,2,0,0,0,6,,,,,0,1,2,0,0,0,2,0
Louisa,Sheadion,ORANG,12,4,4,3,0,0,3,7,,,,,4,0,2,0,0,0,3,0
Zimmermann,Malo,BLACK,9,2,3,1,0,0,4,4,,,,,0,0,2,0,0,0,2,0
Fermin,Kenny,BLACK,9,3,3,0,0,0,2,3,,,,,1,1,3,0,0,0,1,0
Czetmayer,David,GREEN,6,2,2,1,0,0,0,3,,,,,1,0,1,0,0,0,4,0
Suchon,Michal,GREEN,3,0,1,0,0,0,0,1,,,,,4,1,1,0,0,0,3,1
Niemeyer,Finn,GERMA,10,2,3,1,0,0,0,4,,,,,0,0,2,0,0,1,1,0
Gotz,Emilio,GERMA,7,0,2,0,0,0,2,2,,,,,3,0,0,0,0,0,1,0
Hermann,Sam,GREY,7,0,2,0,0,0,0,2,,,,,0,0,2,0,0,0,1,0
Ter Beest,Ruben,ORANG,7,7,2,1,0,0,0,3,,,,,6,1,4,0,0,0,2,0
Milano,Manuel,PURPL,7,3,2,1,0,0,1,3,,,,,1,0,3,0,0,0,1,0
Uttaro,Noah,SPAIN,11,2,3,0,0,0,1,3,,,,,2,0,1,0,0,0,1,0
Carr,Matthew,AQUA,12,5,3,1,0,0,1,4,,,,,3,0,4,0,0,0,0,0
Uttaro,Liam,SPAIN,8,1,2,1,0,0,1,3,,,,,0,2,3,0,0,0,0,0
Guiotto,Adriano,NETRO,8,3,2,1,0,0,1,3,,,,,1,0,1,0,0,1,3,0
Colombo,Gabriele,PURPL,8,3,2,1,0,0,4,3,,,,,1,0,2,0,0,0,0,0
Scholz,Hendrik,BLACK,8,1,2,0,0,0,2,2,,,,,1,1,2,0,0,0,1,0
Araya,Camilo,ORANG,8,1,2,0,1,0,4,4,,,,,4,0,3,0,0,1,1,2
Kubelka,Jan,GREEN,4,0,1,0,0,0,0,1,,,,,2,0,1,0,0,0,1,0
Chance,Javier,GREY,4,3,1,1,0,0,0,2,,,,,3,0,3,0,0,0,1,0
Pacheco,Angel,SPAIN,9,2,2,1,0,0,1,3,,,,,1,0,4,0,0,0,0,0
Barbona,Lorenzo,NETRO,9,5,2,1,0,0,0,3,,,,,4,0,2,0,0,0,2,0
Pleizi,Kenji,ORANG,10,0,2,1,0,0,2,3,,,,,0,0,7,0,0,0,0,0
Lindt,Simeon,BLACK,10,2,2,1,0,0,1,3,,,,,2,0,3,0,0,0,2,1
Willem,Lorenzo,ORANG,10,4,2,0,0,1,2,5,,,,,5,1,3,0,0,0,0,0
Tosun,Sinan,ORANG,10,3,2,0,0,0,2,2,,,,,1,0,2,0,1,0,0,0
Cruz,Rafael,PURPL,5,2,1,0,0,0,0,1,,,,,3,0,3,0,0,0,3,0
Noah Moser,Jules,GERMA,5,4,1,0,0,0,2,1,,,,,2,0,0,0,0,0,0,0
De Agrela,Zion,ORANG,5,3,1,0,0,0,0,1,,,,,1,1,1,0,0,1,0,0
Marin,Carlos,GREY,5,0,1,0,0,0,1,1,,,,,1,0,3,0,0,0,0,0
Walo,Sebastian,SPAIN,6,1,1,1,0,0,0,2,,,,,2,0,4,0,0,0,0,0
Marucci,Matteo,NETRO,6,0,1,0,0,0,0,1,,,,,3,2,1,0,0,0,0,0
Sola,Nestor,SPAIN,6,2,1,0,0,1,3,4,,,,,2,0,4,0,0,0,1,0
Greene,Isaac,PURPL,6,2,1,1,0,0,0,2,,,,,3,0,5,0,0,0,1,0
Mazzei,Franchesco,SPAIN,13,2,2,0,0,0,0,2,,,,,2,1,5,0,0,0,3,0
Zazza,Manuel,NETRO,7,3,1,0,0,1,4,4,,,,,3,0,1,0,2,0,0,0
Harpham,Ben,BLACK,8,2,1,1,0,0,2,2,,,,,5,0,3,0,0,0,0,0
Bisicchia,Cristiano,NETRO,8,0,1,0,0,0,0,1,,,,,2,0,4,0,0,0,0,0
Corneilles,Alejandro,SPAIN,9,1,1,0,0,0,2,1,,,,,0,0,5,0,1,0,0,0
Palencia,Manuel,SPAIN,9,0,1,0,0,0,1,1,,,,,3,0,1,0,0,0,1,0
Pulles,Ricardo,SPAIN,11,2,1,0,0,0,1,1,,,,,3,0,5,0,0,0,1,0
Visser,Tim,ORANG,9,0,0,0,0,0,1,0,,,,,0,0,3,0,0,0,0,1
Fierlbeck,Owen,GERMA,8,2,0,0,0,0,0,0,,,,,3,1,4,1,0,0,0,0
Gongora,Jorge,AQUA,7,0,0,0,0,0,0,0,,,,,1,0,1,0,0,0,0,2
Norgren,Kyran,GERMA,7,4,0,0,0,0,1,0,,,,,5,1,4,1,0,0,1,0
Castillo,Alejandro,GREY,7,2,0,0,0,0,0,0,,,,,1,0,1,0,0,0,1,0
Glanert,Johann,GERMA,6,0,0,0,0,0,0,0,,,,,0,0,2,0,0,0,0,0
Ruetti,Valerio,NETRO,6,2,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0
Vi,Alejandro,GREY,6,0,0,0,0,0,0,0,,,,,0,0,3,0,0,0,0,0
