Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ABDELOUAL,Laïla,AND,4,4,0,0,0,0,0,0,0.000,0.000,0.600,0.600,4,2,4,0,0,0,1,0
ADAMS,Owen,CAN,22,13,11,5,1,1,11,21,0.500,0.955,0.667,1.622,11,0,5,0,0,0,24,0
AHLSTRÖM,Lex,CAN,14,13,1,0,0,0,0,1,0.071,0.071,0.552,0.623,14,1,12,0,0,0,17,0
AHMAD,Mohebi Ghiyas,HEI,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
AKINSOLA,Olamide,BOR,6,2,3,1,0,0,1,4,0.500,0.667,0.625,1.292,2,0,3,0,0,0,2,0
ALARDIN,Elisabeth,BRU,0,0,0,0,0,0,0,0,0.000,0.000,1.000,1.000,1,0,0,0,0,0,0,0
ALLEGAERT,Josse,GEN,9,2,2,0,0,0,2,2,0.222,0.222,0.417,0.639,3,0,4,0,0,0,4,0
ALVAREZ ALARCON,Fabiana,BRI,13,2,1,0,0,0,0,1,0.077,0.077,0.250,0.327,3,0,11,0,0,0,5,1
AMORIN Y FERNANDEZ,Bastian,BRU,2,6,0,0,0,0,0,0,0.000,0.000,0.778,0.778,6,1,1,0,0,0,2,0
ANDRIES,Jasper,ZOT,12,6,3,0,1,0,1,5,0.250,0.417,0.500,0.917,6,0,8,0,0,0,11,0
ANTHONI,Sinne,BOR,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,3,0,0,0,0,0
ARMIROTTO,Kaj,BOR,39,26,30,8,6,1,43,53,0.769,1.359,0.816,2.175,10,0,5,0,0,0,30,1
AVARELLO,Adrien,AND,2,9,1,1,0,0,2,2,0.500,1.000,0.929,1.929,12,0,1,0,0,0,10,0
BAEYENS,Leon,BRA,5,2,0,0,0,0,1,0,0.000,0.000,0.286,0.286,2,0,2,0,0,0,0,0
BAGUET,Louise,GRE,9,2,1,0,0,0,0,1,0.111,0.111,0.429,0.540,5,0,8,0,0,0,5,0
BAIR,Bastien,SER,2,1,0,0,0,0,0,0,0.000,0.000,0.500,0.500,2,0,2,0,0,0,2,0
BELLOMO,Ines,NAM,5,1,0,0,0,0,0,0,0.000,0.000,0.375,0.375,2,1,4,0,0,0,3,0
BENEDET,Massimo,SER,15,5,7,4,0,0,4,11,0.467,0.733,0.556,1.289,3,0,6,0,0,0,11,0
BENJAMIN,Bauweraerts,BOR,23,15,6,2,0,0,16,8,0.261,0.348,0.564,0.912,15,1,6,0,0,1,19,0
BERNARD,Clément,BRI,5,1,3,0,1,0,4,5,0.600,1.000,0.750,1.750,2,1,2,0,0,0,5,0
BERNARD,Clément,BRI,1,5,0,0,0,0,0,0,0.000,0.000,0.875,0.875,5,2,1,0,0,0,8,0
BERNARD,Daniel,BIN,4,5,1,0,0,0,2,1,0.250,0.250,0.700,0.950,6,0,2,0,0,0,10,0
BEYENS,Jayden,HOB,21,11,8,4,3,1,10,21,0.381,1.000,0.517,1.517,1,6,4,0,1,0,3,0
BEZERRA DA SILVA,Cristian,BOR,3,1,0,0,0,0,0,0,0.000,0.000,0.500,0.500,1,2,3,0,0,0,0,1
BILLET,Liv,HEI,11,7,2,0,0,0,3,2,0.182,0.182,0.438,0.620,3,2,7,0,0,0,9,0
BODART,Tristan,AND,4,5,0,0,0,0,1,0,0.000,0.000,0.600,0.600,6,0,4,0,0,0,6,0
BOECKMANS,Charlot,GRE,2,0,1,0,0,0,2,1,0.500,0.500,0.800,1.300,3,0,1,0,0,0,3,3
BOECKMANS,Margot,GRE,12,9,1,0,0,0,1,1,0.083,0.083,0.560,0.643,12,1,9,0,0,0,14,0
BOGAERTS,Imke,MER,2,4,0,0,0,0,0,0,0.000,0.000,0.667,0.667,4,0,0,0,0,0,3,0
BOGAERTS,Imke,MER,4,1,1,0,0,0,1,1,0.250,0.250,0.500,0.750,2,0,0,0,0,0,2,0
BONAVENTURE,Barnabé,BRI,8,0,0,0,0,0,0,0,0.000,0.000,0.111,0.111,1,0,4,1,0,0,0,0
BOON,Juul,MER,2,1,0,0,0,0,1,0,0.000,0.000,0.500,0.500,1,1,1,0,0,0,0,0
BREUGELMANS,Davon,GRE,10,0,3,0,0,0,1,3,0.300,0.300,0.364,0.664,1,0,7,0,0,0,3,0
BRODEOUX,Elias,OOS,22,12,5,0,0,0,5,5,0.227,0.227,0.452,0.679,6,3,13,0,0,0,19,1
BUYTAERT,Tyben,WIE,1,2,0,0,0,0,2,0,0.000,0.000,0.857,0.857,6,0,1,0,0,0,1,0
CADIOU,Louis,BRU,17,16,8,0,0,0,10,8,0.471,0.471,0.667,1.138,10,0,6,0,0,0,23,0
