Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ADOLFO,Micker,DOM,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
ADRIANZA,Ehire,VEN,9,2,4,1,0,2,5,11,0.444,1.222,0.545,1.767,2,0,2,0,0,0,0,0
ALCÁNTARA,Arismendy,DOM,10,3,4,0,0,1,3,7,0.400,0.700,0.455,1.155,1,0,3,0,0,0,3,0
ALVAREZ,Andres,MEX,21,3,4,0,0,0,1,4,0.190,0.190,0.227,0.417,1,0,4,0,0,0,0,0
AMARISTA,Alexi,VEN,19,2,3,2,0,0,1,5,0.158,0.263,0.190,0.453,1,0,1,1,1,0,1,0
ARCIA,Francisco,VEN,8,2,3,0,0,0,2,3,0.375,0.375,0.500,0.875,1,1,2,0,0,0,0,0
ARRUEBARRUENA,Erisbel,CUB,13,0,2,0,0,0,0,2,0.154,0.154,0.154,0.308,0,0,5,0,0,0,0,0
BALDOQUIN,Roberto,CUB,2,0,0,0,0,0,0,0,0.000,0.000,0.333,0.333,1,0,0,0,0,0,0,0
BALDWIN,Drake,USA,9,2,1,0,0,0,1,1,0.111,0.111,0.200,0.311,1,0,2,0,0,0,0,0
BARRERA,Tres,MEX,6,2,1,0,0,1,1,4,0.167,0.667,0.286,0.953,1,0,2,0,0,0,0,0
BAZZANA,Travis,AUS,12,1,4,0,0,0,0,4,0.333,0.333,0.385,0.718,1,0,3,0,0,0,2,0
BOJARSKI,Ulrich,AUS,8,1,1,0,0,1,1,4,0.125,0.500,0.364,0.864,2,1,2,0,0,0,0,0
BOWEY,Jake,AUS,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
CAMARGO,Johan,PAN,9,1,2,1,0,0,0,3,0.222,0.333,0.300,0.633,1,0,2,0,0,0,0,0
CARTER,Chris,MEX,18,2,3,1,0,1,1,7,0.167,0.389,0.318,0.707,4,0,7,0,0,0,0,0
CASTILLO,Diego,VEN,19,1,5,3,0,0,4,8,0.263,0.421,0.250,0.671,0,0,5,1,1,1,0,1
CASTILLO,Luis,PAN,20,2,5,0,0,1,3,8,0.250,0.400,0.286,0.686,1,0,5,0,0,0,0,0
CEBALLOS,Sabin,PUR,18,3,7,2,0,2,5,15,0.389,0.833,0.476,1.309,2,1,6,0,0,0,0,0
CENTENO,Juan,PUR,9,0,1,0,0,0,0,1,0.111,0.111,0.333,0.444,2,1,3,0,0,0,0,1
CESPEDES,Ricardo,DOM,11,2,4,0,0,0,0,4,0.364,0.364,0.417,0.781,1,0,3,0,0,0,0,1
CHEN,Chen-Wei,TPE,10,2,2,0,0,1,4,5,0.200,0.500,0.200,0.700,0,0,1,0,0,0,0,0
CHEN,Chieh-Hsien,TPE,9,1,6,0,0,1,2,9,0.667,1.000,0.700,1.700,1,0,0,0,0,0,1,0
CHIANG,Kun-Yu,TPE,6,2,1,0,0,1,1,4,0.167,0.667,0.286,0.953,1,0,1,0,0,0,0,0
CHIU,Chih-Cheng,TPE,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
CHOI,Wonjun,KOR,9,1,2,0,0,0,2,2,0.222,0.222,0.222,0.444,0,0,4,1,0,0,1,0
CHU,Yu-Hsien,TPE,7,0,0,0,0,0,0,0,0.000,0.000,0.222,0.222,2,0,2,0,0,0,0,0
CLEMENTINA,Hendrik,NED,21,6,7,2,0,2,5,15,0.333,0.714,0.364,1.078,1,0,7,0,0,0,0,0
CORDERO,Andretty,DOM,13,0,2,1,0,0,0,3,0.154,0.231,0.154,0.385,0,0,3,1,0,0,0,0
CORTES,Carlos,PUR,19,1,7,2,0,0,3,9,0.368,0.474,0.400,0.874,1,0,2,0,0,0,0,0
CRAWFORD,Justin,USA,18,2,6,3,0,1,3,12,0.333,0.667,0.400,1.067,2,0,1,0,0,0,1,0
CROES,Dayson,NED,2,0,1,0,0,0,0,1,0.500,0.500,0.500,1.000,0,0,0,0,0,0,0,0
DE LEÓN,Michael,DOM,10,0,1,0,0,0,0,1,0.100,0.100,0.100,0.200,0,0,2,1,0,1,0,0
DESPAIGNE,Alfredo,CUB,12,1,4,0,0,0,1,4,0.333,0.333,0.385,0.718,1,0,3,1,0,0,0,0
DEVANNEY,Cam,USA,2,0,0,0,0,0,0,0,0.000,0.000,0.500,0.500,2,0,0,0,0,0,0,0
DEVERS,José,DOM,10,1,1,0,0,0,0,1,0.100,0.100,0.100,0.200,0,0,2,0,0,0,0,0
DIAZ,Randal,PUR,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,1,0,0,0,0
DIDDER,Ray-Patrick,NED,18,2,7,1,0,1,4,11,0.389,0.611,0.421,1.032,1,0,3,2,0,0,0,0
DRAKE,Yadir,CUB,10,2,4,0,0,1,3,7,0.400,0.700,0.538,1.238,3,0,3,1,0,0,0,0
ELKO,Tim,USA,6,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,4,0,0,0,0,0
EVANS,Phillip,MEX,17,1,1,0,0,0,0,1,0.059,0.059,0.158,0.217,2,0,4,0,0,0,0,0
FELIX,Edrick,PUR,5,0,1,0,0,0,1,1,0.200,0.200,0.200,0.400,0,0,3,0,0,0,0,0
FERRER,Jaime,PUR,8,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,3,0,0,0,0,0
FLORENTINO,Randy,DOM,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
FLORES,Ramon,VEN,12,2,3,3,0,0,2,6,0.250,0.500,0.400,0.900,3,0,1,0,0,0,0,1
GAITAN,Alonso,MEX,19,5,10,4,0,1,4,17,0.526,0.895,0.591,1.486,3,0,7,1,0,0,0,1
GENDA,Sosuke,JPN,3,1,1,0,0,1,1,4,0.333,1.333,0.333,1.666,0,0,1,0,0,0,0,0
GEORGE,Darryl,AUS,9,1,3,0,0,0,1,3,0.333,0.333,0.455,0.788,2,0,3,0,0,0,0,0
GLENDINNING,Robbie,AUS,10,3,3,0,0,1,1,6,0.300,0.600,0.462,1.062,2,1,4,1,0,0,1,1
GONZALES,Fernando,PAN,18,1,4,1,0,0,0,5,0.222,0.278,0.263,0.541,0,1,6,0,0,0,0,0
GONZÁLEZ,Pedro,DOM,7,1,1,0,0,0,0,1,0.143,0.143,0.250,0.393,1,0,2,0,0,0,0,0
GREGORIUS,Didi,NED,22,6,11,1,0,2,4,18,0.500,0.818,0.500,1.318,0,0,2,0,0,0,0,0
GUIBERT,Yoelkis,CUB,10,1,3,0,0,1,3,6,0.300,0.600,0.417,1.017,2,0,3,0,0,0,0,0
GUTIERREZ,Kelvin,DOM,13,1,3,0,1,0,2,5,0.231,0.385,0.333,0.718,2,0,3,1,0,0,1,0
HALL,Alex,AUS,11,1,3,0,1,0,0,5,0.273,0.455,0.273,0.728,0,0,3,0,0,0,0,0
HANSON,Alen,DOM,4,0,1,0,0,0,0,1,0.250,0.250,0.400,0.650,1,0,2,1,0,1,0,0
HELDER,Eugene,NED,8,1,2,0,0,0,0,2,0.250,0.250,0.250,0.500,0,0,1,1,0,0,0,0
HERNANDEZ,Luis,PUR,2,1,0,0,0,0,0,0,0.000,0.000,0.333,0.333,1,0,0,0,0,0,0,0
HINOJOSA,C.J.,MEX,5,0,1,0,0,0,0,1,0.200,0.200,0.333,0.533,0,1,0,0,0,0,0,0
HONG,Changki,KOR,11,2,2,0,0,0,1,2,0.182,0.182,0.357,0.539,3,0,2,0,0,0,0,0
JOHNSON,Termarr,USA,13,6,5,0,0,1,2,8,0.385,0.615,0.529,1.144,4,0,3,0,0,0,0,0
KEMP,Dwayne,NED,13,5,4,2,0,1,3,9,0.308,0.692,0.400,1.092,1,1,1,0,0,0,0,0
KENNELLY,Tim,AUS,11,1,1,0,0,0,1,1,0.091,0.091,0.231,0.322,1,1,5,0,0,0,0,0
KIM,Doyeong,KOR,12,3,4,2,0,2,6,12,0.333,1.000,0.385,1.385,1,0,3,0,0,0,1,0
KIM,Juwon,KOR,2,0,0,0,0,0,0,0,0.000,0.000,0.333,0.333,0,1,1,0,0,0,0,0
KIM,Wheejip,KOR,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
KIYOMIYA,Kotaro,JPN,6,1,1,0,0,0,0,1,0.167,0.167,0.167,0.334,0,0,1,0,0,0,0,0
KOZONO,Kaito,JPN,12,1,4,0,0,0,1,4,0.333,0.333,0.385,0.718,1,0,1,0,0,0,2,1
KUREBAYASHI,Kotaro,JPN,10,1,4,0,0,0,2,4,0.400,0.400,0.400,0.800,0,0,2,0,0,0,0,0
KURIHARA,Ryoya,JPN,8,1,3,1,0,0,1,4,0.375,0.500,0.444,0.944,0,1,0,0,0,0,0,0
KUWAHARA,Masayuki,JPN,9,2,1,0,0,0,0,1,0.111,0.111,0.273,0.384,2,0,2,0,0,2,0,0
LEE,Juhyeong,KOR,6,0,1,0,0,0,0,1,0.167,0.167,0.167,0.334,0,0,4,0,0,0,0,0
LI,Kai-Wei,TPE,6,1,1,0,0,0,0,1,0.167,0.167,0.286,0.453,1,0,1,0,0,0,0,0
LIN,An-Ko,TPE,4,0,0,0,0,0,0,0,0.000,0.000,0.200,0.200,0,1,2,0,0,0,0,0
LIN,Chia-Cheng,TPE,8,0,1,0,0,0,0,1,0.125,0.125,0.125,0.250,0,0,3,1,0,0,0,0
LIN,Li,TPE,9,1,1,1,0,0,1,2,0.111,0.222,0.100,0.322,0,0,2,0,1,0,0,0
MACHADO,Dixon,VEN,1,0,1,0,0,0,1,1,1.000,1.000,1.000,2.000,0,0,0,0,0,0,0,0
MACIVER,Willie,USA,6,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,4,0,0,0,0,0
MAKI,Shugo,JPN,10,0,4,1,0,0,3,5,0.400,0.500,0.400,0.900,0,0,1,0,0,0,0,0
MARTINEZ,Ariel,CUB,11,0,1,0,0,0,0,1,0.091,0.091,0.231,0.322,1,1,2,1,0,0,0,0
MIESES,Luís,DOM,3,0,0,0,0,0,0,0,0.000,0.000,0.250,0.250,1,0,1,0,0,0,1,0
MONCADA,Yoan,CUB,7,0,1,0,0,0,0,1,0.143,0.143,0.250,0.393,0,1,3,0,0,0,0,0
MONTES,John,PUR,7,2,1,0,0,1,1,4,0.143,0.571,0.250,0.821,0,1,3,0,0,1,0,0
MOON,Bogyeong,KOR,11,1,2,1,0,0,0,3,0.182,0.273,0.182,0.455,0,0,6,0,0,0,0,0
MOORE,Logan,MEX,2,1,1,0,0,0,0,1,0.500,0.500,0.500,1.000,0,0,1,0,0,0,0,0
MORISHITA,Shota,JPN,7,6,5,2,0,1,5,10,0.714,1.429,0.727,2.156,3,0,0,0,1,0,0,0
