Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ABURTO,Enmanuel,NCA,16,1,6,1,1,0,1,9,0.375,0.563,0.444,1.007,0,2,3,1,0,0,1,0
AIBA,Kanta,JPN,17,0,3,1,0,0,4,4,0.176,0.235,0.333,0.568,3,1,3,0,0,0,1,0
ANTONIA,Donovan,NED,22,4,6,2,1,0,4,10,0.273,0.455,0.448,0.903,5,2,4,0,0,0,3,1
ARIMA,Ryo,JPN,14,2,3,0,0,0,0,3,0.214,0.214,0.214,0.428,0,0,4,1,0,0,0,0
ARMAS ROMERO,Gustavo Armando,COL,7,1,0,0,0,0,0,0,0.000,0.000,0.222,0.222,2,0,2,1,0,0,0,0
ARMSTRONG,Byron,AUS,7,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
ARROYO PADILLA,Carlos Andres,COL,18,3,3,1,0,0,2,4,0.167,0.222,0.400,0.622,7,0,1,0,0,0,0,1
BELTRAN MENDOZA,Nolan Andres,COL,18,3,3,1,0,0,3,4,0.167,0.222,0.375,0.597,5,1,2,0,0,0,2,0
BENNETT,Godwin,NCA,20,3,7,4,0,0,4,11,0.350,0.550,0.552,1.102,9,0,8,1,0,0,1,0
BONACI MARÍN,Brainer Alfredo,VEN,25,3,9,3,0,0,3,12,0.360,0.480,0.414,0.894,3,0,4,0,1,1,2,0
BORRERO BRICEÑO,Dario Andres,COL,23,4,7,1,0,1,3,11,0.304,0.478,0.370,0.848,3,0,3,1,1,0,1,0
BRICKHILL,Tyron Rory,RSA,11,0,1,0,0,0,0,1,0.091,0.091,0.231,0.322,1,1,6,0,0,0,0,0
BRITTON,Darren,NCA,7,2,2,0,0,0,0,2,0.286,0.286,0.444,0.730,0,2,1,1,0,0,3,0
BROOKES,Jamie Liam,RSA,12,0,1,0,1,0,2,3,0.083,0.250,0.154,0.404,1,0,8,1,0,0,0,0
BURKE,Chris,AUS,25,3,6,2,0,1,6,11,0.240,0.440,0.323,0.763,3,1,1,0,2,0,1,0
BURNS,Jake,AUS,6,2,1,0,0,0,1,1,0.167,0.167,0.286,0.453,1,0,4,0,0,0,1,0
CASTILLO BORJAS,Daniel Alejandro,VEN,17,5,4,1,0,0,3,5,0.235,0.294,0.440,0.734,6,1,6,1,1,1,2,1
CASTILLO SALAS,Lewis José,VEN,26,5,6,0,0,0,5,6,0.231,0.231,0.333,0.564,3,1,4,0,0,1,1,0
CASTRO,Edmerson,NCA,27,2,7,0,0,0,2,7,0.259,0.259,0.259,0.518,0,0,3,0,0,0,0,1
CAVILL,Blake,AUS,21,2,6,1,1,0,2,9,0.286,0.429,0.464,0.893,3,4,5,0,0,0,0,0
CHEN,Chiu-Teng,TPE,8,1,0,0,0,0,2,0,0.000,0.000,0.182,0.182,2,0,1,0,1,0,0,0
CHIU,Hsin,TPE,17,3,5,1,1,0,5,8,0.294,0.471,0.455,0.926,5,0,3,0,0,0,0,1
CHOI,Sungmin,KOR,17,3,3,0,0,0,0,3,0.176,0.176,0.364,0.540,4,1,3,0,0,3,1,0
CHU,Wei-Chi,TPE,7,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,3,0,0,0,0,0
CLARK,Wallace Ramsey,GBR,25,4,7,3,0,0,4,10,0.280,0.400,0.400,0.800,5,0,4,0,0,1,1,2
COCKRELL,Creedon,RSA,4,1,0,0,0,0,0,0,0.000,0.000,0.333,0.333,2,0,2,1,0,0,0,0
COLLINS,Charlie,GBR,18,4,5,1,0,0,3,6,0.278,0.333,0.350,0.683,1,1,4,1,0,0,4,0
COLLINS,Darryl,NED,20,3,6,0,1,0,7,8,0.300,0.400,0.375,0.775,3,0,1,0,1,0,0,1
COOKE,Bailey-Jay Malcolm,AUS,22,5,4,2,0,0,1,6,0.182,0.273,0.269,0.542,2,1,7,1,1,1,1,0
COSTIGAN,Kevin,RSA,8,0,1,0,0,0,0,1,0.125,0.125,0.125,0.250,0,0,5,0,0,0,0,0
CROUWEL,Matis,NED,2,1,0,0,0,0,1,0,0.000,0.000,0.600,0.600,2,1,1,0,0,0,0,0
DIAZ MORALES,Randal Gabriel,PUR,25,3,7,3,0,0,3,10,0.280,0.400,0.355,0.755,1,3,7,1,2,0,0,0
FELICIANO LOPEZ,Jandiel Jose,PUR,11,1,1,1,0,0,0,2,0.091,0.182,0.091,0.273,0,0,4,0,0,1,1,0
FELIX MORALES,Edrick,PUR,26,6,6,2,2,0,4,12,0.231,0.462,0.355,0.817,4,1,4,1,0,0,1,0
FIERENZI,Benjamin,AUS,17,4,4,0,0,0,2,4,0.235,0.235,0.364,0.599,3,1,2,0,1,0,1,0
FIGUEROA OTERO,Daniel Fernando,PUR,15,2,3,0,0,0,1,3,0.200,0.200,0.250,0.450,1,0,6,0,0,0,1,0
FLAHERTY,Michael James,GBR,13,2,4,1,0,0,2,5,0.308,0.385,0.333,0.718,1,0,3,0,1,0,0,0
GARCIA ARDILLA,Juan Sebastian,COL,14,0,3,1,0,0,2,4,0.214,0.286,0.353,0.639,2,1,3,0,0,0,0,0
GONZALEZ CARILLO,Luis Emilio,PUR,28,1,10,0,0,0,9,10,0.357,0.357,0.367,0.724,1,0,10,2,1,0,0,0
GONZALEZ,Luis,NCA,17,3,3,0,0,0,0,3,0.176,0.176,0.222,0.398,0,1,7,1,0,0,0,0
GREENSLADE,Corbin,RSA,19,3,4,0,0,0,2,4,0.211,0.211,0.286,0.497,1,1,4,1,0,0,0,0
GROBLER,Ethan,RSA,11,3,3,0,0,0,2,3,0.273,0.273,0.529,0.802,5,1,2,0,0,1,0,0
GUZMAN VELEZ,Angel Omar,PUR,8,0,1,1,0,0,0,2,0.125,0.250,0.300,0.550,2,0,1,0,0,1,0,0
HAYASHI,Takuma,JPN,4,1,2,1,0,0,1,3,0.500,0.750,0.714,1.464,3,0,0,0,0,0,0,1
HENAO ORTEGA,Jean Pierre,COL,18,2,7,1,0,0,4,8,0.389,0.444,0.450,0.894,2,0,4,0,0,0,1,0
HERNANDEZ ESTEVEZ,Luis Enrique,PUR,20,1,7,2,0,0,4,9,0.350,0.450,0.417,0.867,1,2,3,0,1,0,0,0
HERNÁNDEZ REINOSA,Luis Jóse,VEN,16,1,3,0,0,0,1,3,0.188,0.188,0.235,0.423,0,1,2,0,0,0,0,0
HO,Heng-Yu,TPE,18,2,4,1,0,0,4,5,0.222,0.278,0.300,0.578,2,0,7,0,0,0,2,1
HONG,Daein,KOR,7,1,0,0,0,0,1,0,0.000,0.000,0.364,0.364,3,1,2,0,0,3,0,0
HOU,Hangang,CHN,9,0,1,0,0,0,0,1,0.111,0.111,0.200,0.311,1,0,5,0,0,0,0,0
HU,Meng-Chih,TPE,3,2,0,0,0,0,0,0,0.000,0.000,0.400,0.400,2,0,1,0,0,0,0,0
HU,Tianyuan,CHN,23,2,5,4,0,0,4,9,0.217,0.391,0.379,0.770,5,1,6,0,0,2,0,0
HUANG,Bo-Rui,TPE,20,7,6,2,0,0,2,8,0.300,0.400,0.440,0.840,2,3,6,0,0,1,0,0
IDROGO SANABRIA,César Antonio,VEN,24,2,6,0,1,0,5,8,0.250,0.333,0.379,0.712,5,0,5,0,0,0,0,0
IMAZATO,Ryo,JPN,16,5,5,0,0,1,2,8,0.313,0.500,0.577,1.077,9,1,6,0,0,0,0,0
JAKOBUS,Marvin,NED,9,0,1,0,0,0,2,1,0.111,0.111,0.273,0.384,2,0,5,0,0,0,0,0
JAPHTA,Alex,RSA,5,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,5,0,0,0,0,0
JARABA LORDUY,Branlyn Michell,COL,13,1,2,0,0,0,0,2,0.154,0.154,0.214,0.368,1,0,6,0,0,0,0,0
JEONG,Anseok,KOR,19,2,5,0,0,0,2,5,0.263,0.263,0.333,0.596,2,0,7,0,0,1,3,0
JEONG,Daeseon,KOR,18,4,6,2,0,0,5,8,0.333,0.444,0.381,0.825,0,2,2,0,1,0,4,0
JOHNSTON,Andrew James,GBR,4,1,0,0,0,0,0,0,0.000,0.000,0.200,0.200,0,1,1,0,0,0,0,0
JOSEPHA,Jakey,NED,27,5,9,2,1,0,6,13,0.333,0.481,0.438,0.919,4,1,11,1,0,0,1,1
KANE,Aidan,GBR,14,2,3,1,0,0,0,4,0.214,0.286,0.267,0.553,1,0,5,0,0,0,0,0
KIM,Donghyun,KOR,20,2,3,1,0,0,2,4,0.150,0.200,0.182,0.382,0,1,4,0,1,1,0,0
KIM,Doohyun,KOR,10,0,4,1,0,0,3,5,0.400,0.500,0.500,1.000,2,1,1,2,1,1,2,1
KIM,Hyunjong,KOR,21,3,5,0,0,0,3,5,0.238,0.238,0.407,0.645,6,0,2,2,0,0,4,3
KIM,Jinhyung,KOR,10,1,0,0,0,0,0,0,0.000,0.000,0.231,0.231,3,0,3,0,0,0,0,0
KIM,Siang,KOR,16,3,5,1,0,0,3,6,0.313,0.375,0.455,0.830,0,5,3,0,1,0,0,0
KING,David William,GBR,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
KOYAMA,Shoki,JPN,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
KUIJPER,Sem,NED,12,2,5,0,0,0,0,5,0.417,0.417,0.417,0.834,0,0,3,0,0,0,0,0
LAI,Chun,TPE,3,1,0,0,0,0,0,0,0.000,0.000,0.250,0.250,1,0,2,0,0,0,0,0
LAMBDIN,Jacob Paul,GBR,14,2,2,1,0,0,1,3,0.143,0.214,0.400,0.614,6,0,3,0,0,0,1,0
LARACUENTE VILLAFANE,Harold,PUR,9,1,2,0,0,0,0,2,0.222,0.222,0.300,0.522,1,0,4,0,0,0,1,0
LEE,Junghyun,KOR,4,0,0,0,0,0,0,0,0.000,0.000,0.200,0.200,0,1,2,0,0,0,0,0
LEGITO,Raydley,NED,15,4,5,0,0,1,3,8,0.333,0.533,0.375,0.908,1,0,3,0,0,0,1,1
LEID,Benjamin John,GBR,10,4,3,0,0,0,1,3,0.300,0.300,0.417,0.717,2,0,2,0,0,0,0,0
LEYTON,Roger,NCA,15,0,1,0,0,0,1,1,0.067,0.067,0.125,0.192,1,0,1,2,0,0,0,0
LI,Yuyang,CHN,19,2,4,0,0,0,4,4,0.211,0.211,0.375,0.586,5,0,11,1,0,0,1,0
LIM,Sangwoo,KOR,11,2,0,0,0,0,2,0,0.000,0.000,0.133,0.133,2,0,4,0,2,0,1,0
LIN,Chia-Wei,TPE,20,4,6,2,1,0,4,10,0.300,0.500,0.444,0.944,5,1,8,0,1,0,1,1
LIN,Keyu,CHN,8,1,1,0,0,0,1,1,0.125,0.125,0.273,0.398,0,2,5,0,1,0,0,0
LIU,Chun-Wei,TPE,25,4,7,2,0,2,4,15,0.280,0.600,0.321,0.921,1,1,3,0,1,0,1,1
LOAISIGA,Derek,NCA,6,1,1,0,0,0,0,1,0.167,0.167,0.167,0.334,0,0,0,0,0,0,1,1
MAGUIRE,Solomon,AUS,22,6,5,1,0,2,9,12,0.227,0.545,0.320,0.865,2,1,7,0,0,0,3,0
MAREDI,Sylvester,RSA,4,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,4,0,0,0,0,0
MARITZ,Ruan,RSA,2,0,0,0,0,0,0,0,0.000,0.000,0.500,0.500,2,0,1,0,0,0,0,0
MARLIN,Gedionne,NED,19,6,7,2,0,1,7,12,0.368,0.632,0.409,1.041,2,0,6,0,1,1,1,0
MARTINEZ CANTILLO,Andrey Enrrique,COL,19,4,4,0,0,0,3,4,0.211,0.211,0.318,0.529,3,0,4,0,0,0,0,0
MARTÍNEZ HENRRIQUEZ,Pedro Miguel,VEN,20,6,7,1,0,0,2,8,0.350,0.400,0.517,0.917,8,0,5,1,1,0,1,0
MATAMOROS,Odlanyer,NCA,29,3,9,1,0,0,6,10,0.310,0.345,0.355,0.700,2,0,2,0,0,0,1,0
MEDINA HIDALGO,Gilbert José,VEN,12,4,4,1,0,0,6,5,0.333,0.417,0.467,0.884,3,0,2,0,0,0,0,0
MELFOR,Tilsaimy,NED,12,1,3,1,0,0,1,4,0.250,0.333,0.308,0.641,0,1,6,0,0,1,0,0
MERCER,Rayondre,GBR,20,4,5,1,0,0,2,6,0.250,0.300,0.333,0.633,2,1,2,0,1,0,1,0
MONTES TORRES,John Adrian,PUR,28,2,5,1,0,1,2,9,0.179,0.321,0.179,0.500,0,0,2,1,0,1,0,0
MORENO,Cristhian,NCA,18,2,4,1,0,0,1,5,0.222,0.278,0.300,0.578,1,1,3,0,0,0,1,0
MURAKAMI,Yuichiro,JPN,27,3,3,0,0,2,3,9,0.111,0.333,0.138,0.471,0,1,11,2,1,0,0,0
NICOLETTO,Cayden,AUS,14,2,4,1,0,0,1,5,0.286,0.357,0.375,0.732,2,0,4,2,0,0,0,0
NISHIMURA,Shinnosuke,JPN,21,4,8,1,1,1,9,14,0.381,0.667,0.440,1.107,3,0,4,0,1,0,0,0
NOGUCHI,Taishi,JPN,26,3,3,1,0,0,1,4,0.115,0.154,0.281,0.435,6,0,9,0,0,0,2,1
NOVEMBER,Josh Andre,RSA,20,4,6,0,0,0,1,6,0.300,0.300,0.481,0.781,7,0,5,0,0,0,0,0
NOVEMBER,Luke,RSA,19,2,7,2,0,0,3,9,0.368,0.474,0.478,0.952,2,2,2,1,0,0,0,1
NÚÑEZ DÍAZ,Moisés Enifre,VEN,6,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0,0,4,0,1,0,0,0
ORTEGA,Junior,NCA,23,5,6,0,0,0,2,6,0.261,0.261,0.292,0.553,0,1,5,0,0,2,5,0
ORTIZ CEBALLOS,Jankel Armando,PUR,11,5,2,1,0,1,3,6,0.182,0.545,0.250,0.795,1,0,3,0,0,1,1,0
PAIVA BEJARANO,Moises Alejandro,VEN,8,2,1,0,0,0,0,1,0.125,0.125,0.125,0.250,0,0,3,0,0,2,2,0
PEÑA NAVAS,Alexander Gabriel,VEN,24,4,6,1,0,0,3,7,0.250,0.292,0.333,0.625,3,0,6,1,0,1,0,0
PIETERSE,Cullen Jerry,RSA,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
PITERNELLA,Ruendrick,NED,17,3,3,0,0,0,1,3,0.176,0.176,0.364,0.540,5,0,6,0,0,0,0,0
PRETORIUS,Darian,RSA,23,2,6,1,0,1,5,10,0.261,0.435,0.292,0.727,1,0,6,0,0,0,0,0
PUERTA CHAVEZ,Jorge Luis,COL,26,2,8,1,0,0,2,9,0.308,0.346,0.333,0.679,1,0,1,0,0,0,0,0
QUANTOI,Chad Matthew,RSA,6,0,0,0,0,0,0,0,0.000,0.000,0.143,0.143,0,1,4,0,0,0,0,0
QUINN-IRONS,James Carmony,GBR,25,4,7,3,0,1,4,13,0.280,0.520,0.379,0.899,3,1,8,0,0,0,0,0
