Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ALZINGER,Richard,MS,27,57,55,1,1,0.982,0,0,0,,0,0
AMON,Florian,DD,15,11,8,2,1,0.909,0,0,0,,0,0
ASHBY,Kyle,GH,25,108,75,28,5,0.954,3,20,7,74.1,0,0
ASTL,Paul,HB,3,4,2,2,0,1.000,1,0,0,,0,0
ASTNER,Felix,DD,18,42,39,1,2,0.952,2,0,0,,0,0
ASTNER,Moritz,DD,17,31,11,17,3,0.903,5,0,0,,0,0
BERNACKI,Christoph,GH,2,2,1,0,1,0.500,0,0,0,,0,0
BICKEL,Lukas,HB,18,115,102,8,5,0.957,11,0,0,,0,0
BOLLENBERGER,Philipp,DD,3,6,6,0,0,1.000,1,0,0,,0,0
BRANDT,David,HB,25,86,79,6,1,0.988,2,0,0,,0,0
BRAUNER,Jacob,DD,16,3,3,0,0,1.000,0,0,0,,0,0
BRENNER,Phillip,BB,20,147,141,4,2,0.986,10,0,1,0.0,0,0
BÖHLER,Hubert,HB,35,105,82,19,4,0.962,7,10,0,100.0,3,0
CAMPREGHER,Pascal,HB,9,10,7,1,2,0.800,0,0,0,,0,0
CHRISTOF,Benedict,BB,14,46,39,6,1,0.978,1,9,2,81.8,2,0
CHRISTOF,Sebastian,BB,8,7,7,0,0,1.000,0,0,0,,0,0
CLAUSS,Eric,GH,14,24,23,0,1,0.958,0,4,0,100.0,0,0
CLAUSS,Jacob,GH,17,30,12,18,0,1.000,4,0,0,,0,0
CUENTAS CASTRO,Randy,IN,9,16,6,9,1,0.938,1,0,0,,0,0
DEMIC,Maksim,VW,4,6,1,4,1,0.833,1,0,0,,0,0
DITTRICH,Felix,MS,29,54,35,13,6,0.889,2,0,0,,0,0
DORFFNER,David,MS,1,1,1,0,0,1.000,0,0,0,,0,0
DUENAS,Omar,MS,13,16,4,12,0,1.000,0,0,1,0.0,0,0
ECKEL,Philipp,GH,20,72,23,39,10,0.861,4,0,0,,0,0
EISENHELD,David,BB,3,12,11,1,0,1.000,1,0,0,,0,0
ELLENBOGEN,Jonathan,VW,3,7,0,6,1,0.857,0,0,0,,0,0
FAULHABER,Julian,DD,28,231,221,9,1,0.996,11,0,0,,0,0
FERAK,Peter Jr.,MS,10,40,37,2,1,0.975,1,0,0,,0,0
FRÖHLICH,Niklas,GH,24,184,172,7,5,0.973,12,0,0,,0,0
GARCIA RIVERO,Arturo Enrique,BB,5,7,0,5,2,0.714,0,3,0,100.0,0,0
GAUTHIER,Robbie,IN,25,152,141,10,1,0.993,0,18,5,78.3,2,0
GIARRAPUTO,Stefano,MS,12,8,2,3,3,0.625,0,1,1,50.0,0,0
GNEIST,Vitus,DD,4,2,0,2,0,1.000,0,0,1,0.0,0,0
GUTHRIE,Roman,HB,21,79,62,14,3,0.962,2,20,5,80.0,4,0
HACKL,Mo,MS,34,79,23,49,7,0.911,2,0,0,,0,0
HACKL,Sammy,MS,29,187,149,33,5,0.973,10,7,2,77.8,0,0
HALPER,Lennard,VW,14,10,4,5,1,0.900,0,1,0,100.0,0,0
HAMILTON,Dustin Jeffrey,MS,8,11,8,3,0,1.000,0,0,0,,0,0
HELMIG,Anton,VW,8,27,10,15,2,0.926,3,0,0,,0,0
HERRERA GONZALEZ,Jose Antonio,BB,27,70,28,32,10,0.857,3,0,0,,0,0
HICKS,Chance,MS,1,1,0,0,1,0.000,0,0,0,,0,0
HILLIARD,Alex,MS,16,76,26,47,3,0.961,8,0,0,,0,0
HIRNSCHAL,Fabian,VW,20,92,25,55,12,0.870,6,0,0,,0,0
HOLDHAUS,Luca,DD,3,13,5,7,1,0.923,1,0,0,,0,0
HOLMES JR,Timothy Allen,VW,22,54,35,16,3,0.944,1,0,0,,0,0
HOSCHER,Christoph,VW,2,8,4,3,1,0.875,2,6,1,85.7,1,0
JAEGER,Nick,HB,10,22,20,1,1,0.955,1,0,0,,0,0
JÄGER,Marcel,IN,26,61,45,11,5,0.918,5,0,0,,0,0
JÄGER,Michael,IN,23,73,54,16,3,0.959,0,1,1,50.0,1,0
KERLE,Paul,IN,25,74,32,40,2,0.973,9,0,0,,0,0
KIEFER,Tobias,GH,2,6,2,4,0,1.000,1,0,0,,0,0
KIENBERGER,Alexander,DD,20,10,4,5,1,0.900,0,0,0,,0,0
KIRBY,D Joseph Limbert,HB,1,6,3,3,0,1.000,2,0,0,,0,0
KOTRBA,Sascha,BB,22,42,38,4,0,1.000,0,0,0,,0,0
KRESKA,Elias,DD,22,164,139,20,5,0.970,2,15,3,83.3,1,0
KRESKA,Jonas,DD,14,77,26,42,9,0.883,7,0,0,,0,0
KUMADA,Ryo,IN,4,2,1,1,0,1.000,1,0,0,,0,0
KUSH,Kyle,IN,26,132,41,87,4,0.970,18,0,0,,0,0
KÜNG,Patrick,HB,11,13,13,0,0,1.000,0,0,0,,0,0
LASTINGER,Andreas,MS,8,13,11,2,0,1.000,1,0,0,,0,0
LAZAR,Jakob,VW,23,51,46,2,3,0.941,0,0,0,,0,0
LEABOURN,Henry,DD,25,101,72,25,4,0.960,2,8,3,72.7,0,0
LETOUZÉ,Thierry,BB,13,3,1,1,1,0.667,0,2,0,100.0,0,0
LUGER,Maximilian,IN,14,3,1,2,0,1.000,0,0,0,,0,0
LÖFFLER,Dominik,MS,25,24,22,1,1,0.958,0,0,0,,0,0
MAIER,Levin,HB,4,2,0,2,0,1.000,0,0,0,,0,0
MC GARRY,Eoghan,DD,39,32,20,12,0,1.000,0,2,3,40.0,0,0
MC KENZIE,Quinn,BB,4,1,0,1,0,1.000,0,0,0,,0,0
MCCLELAND,Bryce John,BB,2,3,3,0,0,1.000,0,1,0,100.0,0,0
MCKEE,Tyson John,GH,31,27,14,11,2,0.926,2,3,0,100.0,0,0
MONOT,Maurice,VW,1,1,1,0,0,1.000,0,0,0,,0,0
MÄSER,Luca Eliah,HB,21,142,134,6,2,0.986,3,13,1,92.9,0,0
MÄSER,Yanik,HB,27,90,50,32,8,0.911,5,0,0,,0,0
MÜLLER,Maximilian,GH,16,21,17,3,1,0.952,0,0,0,,0,0
NIEDERL,Nicolas,BB,16,75,60,8,7,0.907,0,25,0,100.0,4,0
NÖBL,Leon,HB,2,1,1,0,0,1.000,0,0,0,,0,0
OBED,Ferdinand,IN,26,131,126,3,2,0.985,12,0,0,,0,0
OBERMAYER,Sascha,GH,13,17,17,0,0,1.000,0,0,0,,0,0
ORTIZ,Jose Alejandro,GH,7,24,20,4,0,1.000,2,0,0,,0,0
PALMA FERNANDEZ,Kelvis Alexander,HB,31,55,21,30,4,0.927,3,0,0,,0,0
PAMPERL,Willi,VW,2,1,0,0,1,0.000,0,0,0,,0,0
