Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ALCALA QUIJIJE,Jorman Javier,BOK,5,30,6,22,2,0.933,4,0,0,,0,0
ALZINGER,Richard,MS,3,7,7,0,0,1.000,0,0,0,,0,0
AMON,Florian,DD,2,2,2,0,0,1.000,0,0,0,,0,0
ANIĆ,Sven,BOK,5,7,6,1,0,1.000,0,0,0,,0,0
ANOUAR,Saad,MON,2,1,1,0,0,1.000,0,0,0,,0,0
ANTONAC,Yoan,MPT,7,22,20,2,0,1.000,5,0,0,,0,0
ARGUINZONES OCANTO,Johiner Alfonso,DEU,4,39,34,4,1,0.974,0,9,0,100.0,1,0
ASTNER,Felix,DD,4,7,7,0,0,1.000,0,0,0,,0,0
ASTNER,Moritz,DD,3,3,1,2,0,1.000,0,0,0,,0,0
BALBOA,Jorge,AST,2,2,0,2,0,1.000,0,0,0,,0,0
BESOLI,Killian,MON,4,6,6,0,0,1.000,0,0,0,,0,0
BORGES,Joel,MAR,5,35,30,5,0,1.000,0,2,1,66.7,0,0
BRAUNER,Jacob,DD,4,1,1,0,0,1.000,0,0,0,,0,0
BROSSIER,Paolo,MPT,6,10,9,1,0,1.000,1,0,0,,0,0
BUSTAMANTE,Daniel,DEU,4,4,3,1,0,1.000,1,0,0,,0,0
CASAUBON PEE,Baptiste,MON,2,2,2,0,0,1.000,0,0,0,,0,0
CAYONES,Exicardo,AST,5,7,6,1,0,1.000,1,0,0,,0,0
COLOMES - LE PICHON,Clément,MPT,5,5,5,0,0,1.000,0,0,0,,0,0
COOPMAN,Warren,MON,4,15,6,9,0,1.000,1,0,0,,0,0
DE FREITAS GUANIPA,Daniel Alexandro,BOK,5,4,4,0,0,1.000,0,0,0,,0,0
DE SAEDELEER,Roche Junior,DEU,3,8,2,5,1,0.875,0,0,0,,0,0
DECENA,Roibert,AST,6,8,8,0,0,1.000,0,0,0,,0,0
DIAZ,Jose,MAR,1,1,1,0,0,1.000,0,0,0,,0,0
DITTRICH,Felix,MS,5,6,5,1,0,1.000,0,0,0,,0,0
DO CARMO BARROS,Gabriel,MON,4,24,21,2,1,0.958,0,3,0,100.0,1,0
DONNELS,Tanner,AST,5,57,51,6,0,1.000,5,0,0,,0,0
DOPAZO,Juan,AST,4,1,1,0,0,1.000,0,0,0,,0,0
ELEGOET,Léo,MPT,1,5,5,0,0,1.000,0,1,0,100.0,0,0
FAULHABER,Julian,DD,4,37,34,3,0,1.000,2,0,0,,0,0
FEBLES,Emmanuel,AST,5,28,10,18,0,1.000,3,0,0,,0,0
FRANCO,Yancarlo,MAR,7,4,3,1,0,1.000,1,0,0,,0,0
FUNDORA BASNUEVA,Elio,DEU,3,20,19,1,0,1.000,0,0,0,,0,0
GALES,Slobodan,BOK,5,47,47,0,0,1.000,5,0,0,,0,0
GALICIA,Luis,AST,2,2,1,1,0,1.000,0,0,0,,0,0
GALVÁN,Lesther,MAR,5,3,3,0,0,1.000,0,0,0,,0,0
GARCIA TRONCOSO,Carlos Eduardo,BOK,2,3,1,2,0,1.000,0,0,0,,0,0
GERDEL NIETO,Anderson Denny,DEU,3,2,0,1,1,0.500,0,0,0,,0,0
GOJKOVIĆ,Kruno,BOK,6,12,10,2,0,1.000,0,0,0,,0,0
HACKL,Mo,MS,5,7,1,5,1,0.857,0,0,1,0.0,0,0
HACKL,Sammy,MS,2,8,4,3,1,0.875,1,0,0,,0,0
HERNANDEZ SARAO,Eder,DEU,4,2,2,0,0,1.000,0,0,0,,0,0
HERNÁNDEZ,Ricardo,AST,3,1,1,0,0,1.000,0,0,0,,0,0
HILLIARD,Alex,MS,4,24,12,12,0,1.000,3,0,0,,0,0
