Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
AUGSBURGER,Aron Ramon,BAR,3,10,10,0,0,1.000,0,0,0,,0,0
BALLARDINI,Lino,HOB,4,9,4,5,0,1.000,1,0,0,,0,0
BRUCE,Alexander Addison,BAR,6,11,4,6,1,0.909,1,0,0,,0,0
BRÄNDLI,Simon,BAR,4,12,12,0,0,1.000,0,0,0,,0,0
BRÜDERLI,Nils,BAR,4,35,34,1,0,1.000,3,0,0,,0,0
BUNDI,Fabio Nico,BAR,4,19,7,9,3,0.842,2,0,0,,0,0
BÄR,Friedrich,BAR,4,2,2,0,0,1.000,0,0,0,,0,0
BÖRJES,Sam,RAT,6,9,2,6,1,0.889,1,0,0,,0,0
CUEVAS,Jamie,MBI,3,4,2,2,0,1.000,0,0,0,,0,0
DE BRAUWER,Zion,HOB,5,22,8,11,3,0.864,2,0,0,,0,0
DE QUINT,Dennis,HOB,5,12,4,6,2,0.833,2,0,0,,0,0
DEL VALLE DIAZ,Elvis,BAR,4,1,1,0,0,1.000,0,0,0,,0,0
DELZOPPO,Grant,LDM,1,3,3,0,0,1.000,0,0,0,,0,0
DESMEDT,Kevin,HOB,3,2,1,1,0,1.000,0,0,0,,0,0
DIX,Jamie,LDM,4,10,4,6,0,1.000,1,0,0,,0,0
DONNELLY,Gareth Edward,MBI,4,18,5,12,1,0.944,0,0,0,,0,0
EDMONDS,Jordan,LDM,4,10,8,2,0,1.000,0,0,0,,0,0
FARRELL,Leo,MBI,5,15,14,0,1,0.933,0,0,0,,0,0
FINARELLI,Trajan,MBI,3,7,1,5,1,0.857,0,0,0,,0,0
FISCHER,Nicholas Robin,BAR,4,18,10,6,2,0.889,1,6,3,66.7,4,0
FLAHERTY,Thomas,LDM,6,20,8,7,5,0.750,0,0,0,,0,0
GALLAHAR-HALL,Fionn,MBI,4,10,9,1,0,1.000,0,0,0,,0,0
GOFFAUX,Benjamin,HOB,5,41,37,3,1,0.976,0,7,2,77.8,0,0
GONDOBINTORO,Sean,LDM,4,48,44,3,1,0.979,1,1,3,25.0,2,0
GRAVES,Kyle,BAR,3,6,6,0,0,1.000,0,0,0,,0,0
HENDRICKX,Zane,HOB,2,1,0,1,0,1.000,0,0,0,,0,0
HIMMELSBACH,Fynn Principato,BAR,2,1,0,1,0,1.000,0,0,0,,0,0
HÖGLUND,Kalle,RAT,5,30,28,2,0,1.000,6,0,0,,0,0
JANSSENS,Wesley,HOB,5,21,10,11,0,1.000,3,0,0,,0,0
JERFSTEN,Olle,RAT,6,8,1,4,3,0.625,1,0,0,,0,0
JOHNSON,Benjamin,RAT,7,31,17,14,0,1.000,6,0,0,,0,0
JOHNSON,Daniel,RAT,5,25,10,14,1,0.960,6,0,0,,0,0
JOHNSON,Jan-Mikael,RAT,5,3,3,0,0,1.000,0,0,0,,0,0
JOHNSON,Joel,RAT,6,6,5,1,0,1.000,0,0,0,,0,0
KELLEY,Patrick Marley,MBI,4,26,22,3,1,0.962,0,10,2,83.3,1,0
KELLY III,James Francis,MBI,2,4,4,0,0,1.000,0,0,0,,0,0
KELLY,James Ian,MBI,5,5,5,0,0,1.000,0,1,0,100.0,0,0
KÄCK,Albin,RAT,4,12,9,1,2,0.833,2,0,0,,0,0
LAWSON,Tosh,LDM,1,1,0,1,0,1.000,0,0,0,,0,0
LEWIS,Rob,HOB,5,38,34,4,0,1.000,4,0,0,,0,0
LINDELL,Tommy,RAT,5,8,8,0,0,1.000,0,0,0,,0,0
LUTZ,Tiago,BAR,2,4,0,2,2,0.500,0,0,0,,0,0
MARQVARDSEN,Povl Erik,RAT,3,2,1,1,0,1.000,0,0,0,,0,0
MESSER,Chris,LDM,6,3,0,2,1,0.667,0,0,0,,0,0
MINFORD,Rich,LDM,6,17,12,4,1,0.941,0,0,0,,0,0
MITCHELL,Patrick,MBI,5,10,8,2,0,1.000,0,0,2,0.0,0,0
MONTAG,Benjamin,BAR,5,7,3,3,1,0.857,0,0,1,0.0,0,0
NORDSELL,Elias,RAT,3,32,28,3,1,0.969,0,5,2,71.4,3,0
POWER,Brendan,LDM,4,17,5,10,2,0.882,0,0,0,,0,0
RIZZI,Lucas,HOB,6,3,3,0,0,1.000,0,0,0,,0,0
SAVOLDELLI,Cee-Jay Eduard,BAR,3,6,2,3,1,0.833,0,0,0,,0,0
SCHNIDER,Marc Manuel Bernhard,BAR,3,12,3,8,1,0.917,2,0,0,,0,0
STEFAN,Jakub,BAR,4,10,8,2,0,1.000,2,3,0,100.0,0,0
STOR,Anders,RAT,2,1,1,0,0,1.000,0,0,0,,0,0
STROMAN,Zach,LDM,4,19,15,1,3,0.842,1,0,0,,0,0
SWEATLAND,Daniel Joseph,MBI,4,14,6,6,2,0.857,0,0,0,,0,0
TILIAKOS,Vegas,HOB,4,10,10,0,0,1.000,0,2,0,100.0,0,0
UNDA,Luis,HOB,5,5,5,0,0,1.000,0,0,0,,0,0
UNUNGER,Pontus,RAT,2,2,1,1,0,1.000,0,0,0,,0,0
VALENCIA DOMINGUEZ,Geremias Jesus,LDM,4,6,5,1,0,1.000,0,0,0,,0,0
VAN LANDUYT,Ruben,HOB,2,2,1,1,0,1.000,1,0,0,,0,0
VAN NUFFEL,Ben,HOB,2,4,2,2,0,1.000,0,0,0,,0,0
VAN NUFFEL,Sam,HOB,2,2,1,1,0,1.000,0,0,0,,0,0
VERSPREET,Brendan,HOB,3,2,0,2,0,1.000,0,0,0,,0,0
VERSPREET,Xander,HOB,5,6,6,0,0,1.000,0,0,0,,0,0
WILSON,Dustin,RAT,3,9,6,2,1,0.889,0,4,1,80.0,0,0
WOODBURNE,Daniel John,MBI,7,25,22,3,0,1.000,0,0,0,,0,0
