Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
Perez,Eliezer,WILDF,,31,28,3,0,,2,0,0,,0,0
Pelaez,Yosvani,WILDF,,27,26,1,0,,1,0,0,,0,0
Napoles,Mario,WILDF,,15,15,0,0,,0,0,0,,0,0
Ozoria,Reinaldo,LEONE,,15,14,1,0,,2,3,0,,0,0
Izquierdo,Lazaro,WILDF,,15,5,10,0,,1,0,0,,0,0
Moreno,Daniel,WILDF,,14,12,2,0,,0,0,0,,0,0
Claude,Samuel,LEONE,,12,12,0,0,,0,0,0,,0,0
Jorrin,Yoandry,WILDF,,11,4,7,0,,1,0,0,,0,0
Sarante,Emmanuel,LEONE,,10,10,0,0,,0,0,0,,0,0
Rueda,Jose,MARIN,,10,10,0,0,,0,0,0,,0,0
Rojas,Argenis,LEONE,,9,9,0,0,,0,0,0,,0,0
Afonso,Carlos,LEONE,,9,5,4,0,,0,1,1,,0,0
Garcia,Erisbel,LEONE,,9,2,7,0,,0,0,0,,0,0
Martin,Luis,WILDF,,8,7,1,0,,1,0,0,,0,0
,Oleo,MARIN,,8,6,2,0,,0,0,0,,0,0
Perez,Cleiben,MARIN,,7,6,1,0,,0,0,0,,0,0
Pina,Angel,MARIN,,7,7,0,0,,0,0,0,,0,0
Espaillat,Albert,MARIN,,7,4,3,0,,2,0,0,,0,0
Bermudez,Jose,WILDF,,7,1,6,0,,0,6,0,,0,0
Caraballo,Manuel,MARIN,,6,3,3,0,,0,1,0,,0,0
Lebron,Roberto,MARIN,,6,3,3,0,,1,1,0,,0,0
Goicoechea,Jose,MARIN,,6,2,4,0,,1,1,0,,0,0
Godoy,Gelson,LEONE,,6,5,1,0,,0,4,1,,0,0
Molina,Noel,WILDF,,6,4,2,0,,1,0,0,,0,0
Ricardo,Reynaldo,LEONE,,5,5,0,0,,0,0,0,,0,0
Ayala,Adiel,WILDF,,5,5,0,0,,0,4,0,,0,0
Coronel,Moises,MARIN,,4,4,0,0,,0,1,0,,0,0
Alex Ozoria,Reni,LEONE,,4,4,0,0,,0,0,0,,0,0
A,LEIVA,LEONE,,4,3,1,0,,1,0,0,,0,0
Casadiego,Jesus,MARIN,,3,3,0,0,,0,0,0,,0,0
Bracho,Hislamar,MARIN,,3,3,0,0,,0,0,0,,0,0
Pinto,Ana,MARIN,,3,3,0,0,,0,4,0,,0,0
Vazquez,Yasmani,WILDF,,2,2,0,0,,0,0,0,,0,0
Rojas,Humberto,LEONE,,2,2,0,0,,0,0,0,,0,0
Lucena,Jose,MARIN,,1,0,1,0,,0,1,0,,0,0
Gomez,Yosbel,MARIN,,1,1,0,0,,0,0,0,,0,0
Blanco,Jorge,WILDF,,25,19,5,1,,0,0,0,,0,0
Pardillo,Yadir,MARIN,,16,15,0,1,,3,0,0,,0,0
Reguero,Yanniel,MARIN,,15,11,3,1,,0,0,0,,0,0
Lebron,Ronny,MARIN,,11,7,3,1,,1,0,0,,0,0
Alfonso,Jose,LEONE,,10,4,5,1,,2,0,0,,0,0
Gonzalez,Dianyel,WILDF,,27,12,12,3,,1,0,0,,0,0
Suarez,Yeislandy,WILDF,,8,1,6,1,,0,2,0,,0,0
Gomez,Emilio,MARIN,,8,3,4,1,,0,3,1,,0,0
Garcia,Rafael,LEONE,,7,2,4,1,,0,3,0,,0,0
Herrera,Jorge,MARIN,,5,2,2,1,,0,0,0,,0,0
,Amico,MARIN,,13,3,7,3,,1,0,0,,0,0
Cardenas,Alexis,LEONE,,4,1,2,1,,0,0,0,,0,0
Arguello,Brayan,LEONE,,4,3,0,1,,0,0,0,,0,0
Rodriguez,Arnaldo,LEONE,,3,1,1,1,,0,0,0,,0,0
Martines,Rosalba,LEONE,,3,2,0,1,,0,0,0,,0,0
Marrero,Edilson,LEONE,,3,0,1,2,,0,0,0,,0,0
Ahumada,Christian,WILDF,,0,0,0,0,,0,0,0,,0,0
Segovia,David,LEONE,,0,0,0,0,,0,0,0,,0,0
Hidalgo,Alexander,LEONE,,0,0,0,0,,0,5,0,,0,0
Nicolas,Denichel,WILDF,,0,0,0,0,,0,0,0,,0,0
