Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
Rodriguez,Orlando,CENTR,,22,22,0,0,,2,0,0,,0,0
Garcia,Danyluis,HALCO,,21,20,1,0,,1,0,0,,0,0
Gonzalez,Jeann,ANGEL,,20,9,11,0,,2,0,0,,0,0
Diaz,Lazaro,ANGEL,,16,11,5,0,,0,0,0,,0,0
De Sousa,Jhon,TITAN,,16,16,0,0,,1,0,0,,0,0
Chirino,Robert,TITAN,,15,15,0,0,,0,1,0,,0,0
Alvarez,Guillen,CENTR,,15,14,1,0,,0,0,0,,0,0
Reque,Jesus,TITAN,,14,13,1,0,,0,0,0,,0,0
Saavedra,Kevin,CENTR,,14,9,5,0,,1,2,0,,0,0
Sanchez,Alberto,CENTR,,12,11,1,0,,1,0,0,,0,0
Andres Lopez,Abner,TITAN,,12,8,4,0,,0,1,0,,0,0
Martinez,Rafael,ANGEL,,10,10,0,0,,0,0,0,,0,0
Perdomo,Jose,TITAN,,9,9,0,0,,0,0,0,,0,0
Romero,Yandis,TITAN,,8,6,2,0,,1,0,0,,0,0
Mambel,Osmer,CENTR,,7,7,0,0,,0,2,0,,0,0
De Souza,Jorge,HALCO,,6,5,1,0,,0,0,0,,0,0
A,MONERO,TITAN,,6,6,0,0,,0,0,0,,0,0
Carrero,Franklin,HALCO,,6,4,2,0,,0,3,0,,0,0
Lara,Jose,ANGEL,,5,5,0,0,,0,1,0,,0,0
Linares,Jorge,ANGEL,,4,1,3,0,,0,3,2,,0,0
Serrano,Robert,HALCO,,4,2,2,0,,1,0,0,,0,0
Toledo,Yunior,CENTR,,4,4,0,0,,0,0,0,,0,0
Vicente,Yadiel,CENTR,,2,2,0,0,,0,0,0,,0,0
Paez,Yendri,CENTR,,1,1,0,0,,0,0,0,,0,0
Imeno,Isdiel,CENTR,,1,1,0,0,,0,0,0,,0,0
J Aranguren,Nefeles,ANGEL,,1,1,0,0,,0,0,0,,0,0
Miranda,Mario,ANGEL,,1,1,0,0,,0,0,0,,0,0
Marin,Edilio,CENTR,,1,1,0,0,,0,5,1,,0,0
Hernandez,Yusber,TITAN,,1,0,1,0,,0,0,0,,0,0
Moreno,Sadiel,HALCO,,30,27,2,1,,0,0,0,,0,0
Garcia,Luisvany,HALCO,,25,22,2,1,,0,3,0,,0,1
Montenegro,Maikel,CENTR,,24,22,1,1,,0,5,1,,0,0
Carrandi,Kelvys,TITAN,,23,12,10,1,,2,0,0,,0,0
Moya,Jose,ANGEL,,44,42,0,2,,3,0,0,,0,0
Monero,Ardanis,ANGEL,,18,17,0,1,,0,0,0,,0,0
Duharte,David,CENTR,,30,17,11,2,,2,0,0,,0,0
Salazar,Johan,ANGEL,,15,12,2,1,,0,1,1,,0,0
Brito,Jose,HALCO,,14,5,8,1,,1,0,0,,0,0
Rosales,Armando,TITAN,,22,16,4,2,,0,0,0,,0,0
Toboso,Idonis,ANGEL,,18,4,12,2,,1,0,0,,0,0
Hernandez,Angel,ANGEL,,9,7,1,1,,0,0,0,,0,0
Indriago,Ronald,HALCO,,16,9,5,2,,0,2,0,,0,1
Riera,Gino,TITAN,,16,8,6,2,,0,0,0,,0,0
Martin,Julio,ANGEL,,8,2,5,1,,0,0,0,,0,0
Gutierrez,Victor,TITAN,,20,5,12,3,,1,0,0,,0,0
Marquez,Gustavo,HALCO,,13,6,5,2,,0,0,0,,0,0
Garcia,Albert,ANGEL,,29,14,10,5,,0,1,1,,0,0
Trujillo,Anderson,CENTR,,21,10,7,4,,0,0,0,,0,0
Garcia,Danny,HALCO,,20,9,7,4,,0,0,0,,0,0
Cruz,Alfonso,HALCO,,10,7,1,2,,0,0,0,,0,0
LLovera,Wilfredo,TITAN,,5,4,0,1,,0,0,0,,0,0
Darias,Rayco,ANGEL,,5,4,0,1,,0,0,0,,0,0
Mosquera,Yaniel,CENTR,,20,6,9,5,,0,0,0,,0,0
Imeno,Ictiandro,CENTR,,8,4,2,2,,0,0,0,,0,0
Tortoza,Jhonn,TITAN,,4,3,0,1,,0,1,0,,0,0
Ayala,Francisco,HALCO,,7,5,0,2,,0,0,0,,0,0
Quintero,Eugenio,TITAN,,24,8,9,7,,1,0,0,,0,0
Armenteros,Yassel,CENTR,,5,1,2,2,,0,0,0,,0,0
Caraballo,Manuel,ANGEL,,4,1,1,2,,0,0,0,,0,0
Marante,Diego,HALCO,,2,1,0,1,,0,0,0,,0,0
Martinez,Raul,HALCO,,2,1,0,1,,0,1,0,,0,0
Garcia,Jordany,HALCO,,3,1,0,2,,0,1,0,,0,0
De Sousa,Jorge,TITAN,,0,0,0,0,,0,0,0,,0,0
Moreno,Yuniel,HALCO,,0,0,0,0,,0,0,0,,0,0
Munoz,Alexander,CENTR,,0,0,0,0,,0,0,0,,0,0
Marquez,Juan,TITAN,,0,0,0,0,,0,1,0,,0,0
Rojas,Hernan,HALCO,,0,0,0,0,,0,0,0,,0,0
Galindo,Ronning,HALCO,,0,0,0,0,,0,0,0,,0,0
Hernandez,Leodanis,CENTR,,0,0,0,0,,0,0,0,,0,0
