Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
Mendez,Bryan,CARDE,,32,30,2,0,,0,0,0,,0,0
Avariano,Franklin,CARIB,,31,31,0,0,,3,0,0,,0,0
Marin,Erick,LAS-V,,31,7,24,0,,0,0,0,,0,0
Acosta,Jose,LAS-V,,30,30,0,0,,1,1,0,,0,0
Blanco,Alberto,CARIB,,25,12,13,0,,2,0,0,,0,0
Senges,Jose,CARIB,,20,19,1,0,,2,1,1,,0,0
Trujillo,Javier,SENAD,,19,18,1,0,,2,0,0,,0,0
Ferrera,Efren,SENAD,,18,17,1,0,,0,0,0,,0,0
Castro,Cristhofer,FAMIL,,18,17,1,0,,0,0,0,,0,0
Herrera,Alain,SENAD,,17,3,14,0,,1,0,0,,0,0
Mujica,Oscar,FAMIL,,17,8,9,0,,4,0,0,,0,0
Monsalve,Cristhian,SENAD,,17,12,5,0,,0,0,0,,0,0
Mosquera,Orlando,SENAD,,17,13,4,0,,1,1,0,,0,0
Walo,Marco,CARDE,,16,15,1,0,,1,0,1,,0,0
Requena,Humberto,FAMIL,,15,6,9,0,,1,0,0,,0,0
Leon,Jose,SENAD,,14,9,5,0,,1,0,0,,0,0
Vera,Julio,LAS-V,,14,3,11,0,,0,4,1,,0,0
Lemos,Luis,CARAC,,13,11,2,0,,0,5,2,,0,0
Trias,Enrique,SENAD,,11,3,8,0,,1,0,0,,0,0
Ortega,Lazaro,CARAC,,11,6,5,0,,1,0,0,,1,0
Franco,Kelvin,CARAC,,11,6,5,0,,1,0,1,,0,0
Nunez,Humberto,FAMIL,,11,10,1,0,,1,0,0,,0,0
Amaya,Manuel,SENAD,,11,10,1,0,,1,0,0,,0,0
Torres,Modesto,LAS-V,,10,9,1,0,,0,0,0,,0,0
Gonzalez,Eduardo,CARDE,,9,9,0,0,,0,0,0,,0,0
Perez,Domingo,FAMIL,,9,9,0,0,,0,0,0,,0,0
Lugo,Erickson,FAMIL,,8,2,6,0,,2,2,0,,0,0
Montes,Julio,CARAC,,8,6,2,0,,0,0,0,,0,0
Rodriguez,Yuri,LAS-V,,7,5,2,0,,1,3,0,,0,0
Navarro,Nicolas,FAMIL,,5,5,0,0,,1,0,0,,0,0
Dura,Yans,CARAC,,5,2,3,0,,0,0,1,,0,0
Perez,Franklin,SENAD,,5,0,5,0,,0,5,1,,0,0
Carlos Macias,Juan,CARIB,,5,3,2,0,,0,3,0,,0,0
Casares,Jonathan,CARDE,,4,1,3,0,,0,4,0,,0,0
Perez,Kelvin,CARDE,,4,3,1,0,,0,0,0,,0,0
Musett,Por,CARIB,,4,2,2,0,,0,3,2,,0,0
Leon,Kervin,CARDE,,3,3,0,0,,0,0,0,,0,0
Martin,Domingo,FAMIL,,2,2,0,0,,0,0,0,,0,0
Martinez,Daniel,CARAC,,2,0,2,0,,0,1,1,,0,0
Vera,Guido,CARDE,,1,1,0,0,,0,0,0,,0,0
Fernandez,Jonathan,LAS-V,,1,1,0,0,,0,0,0,,0,0
Marquez,Jilmer,CARDE,,1,0,1,0,,0,0,0,,0,0
Santana,Richard,CARDE,,34,27,6,1,,3,8,1,,2,1
Izaguirre,Leonardo,CARAC,,33,31,1,1,,4,0,0,,0,0
Diestro,Julio,CARAC,,30,12,17,1,,5,0,0,,0,0
Cruz,Leonardo,FAMIL,,30,23,6,1,,0,7,4,,3,0
Luis Martin,Jose,CARAC,,59,49,8,2,,7,0,0,,0,0
Miranda,Francisco,CARIB,,27,14,12,1,,3,0,0,,0,0
Mora,Robert,CARDE,,24,21,2,1,,0,1,0,,0,1
Carrero,Osmar,CARAC,,24,12,11,1,,0,0,0,,0,0
Garcia,Elieser,FAMIL,,45,42,1,2,,4,0,0,,0,0
Cuevas,Franchesco,CARDE,,22,20,1,1,,0,0,0,,0,0
Ortiz,Carlos,SENAD,,22,19,2,1,,0,0,0,,0,0
Fernandez,Yoatner,LAS-V,,21,12,8,1,,3,0,0,,0,0
Aponte,Jordan,SENAD,,20,17,2,1,,1,1,0,,0,0
Rivera,Yhobell,CARAC,,37,15,20,2,,8,0,0,,0,0
Diaz,Lisbany,CARDE,,18,7,10,1,,0,0,0,,0,0
Gonzalez,Miguel,LAS-V,,17,6,10,1,,2,0,0,,0,0
Diaz,Andy,LAS-V,,16,13,2,1,,0,0,0,,0,0
Liendo,Alfredo,CARIB,,16,6,9,1,,0,0,0,,0,0
Benavides,Yadier,LAS-V,,15,13,1,1,,1,0,0,,0,0
Gonzalez,Adrian,CARAC,,15,13,1,1,,1,1,0,,1,0
Bello,Jonathan,CARIB,,28,15,11,2,,0,0,0,,0,0
Leon,Isaac,LAS-V,,14,12,1,1,,2,4,0,,0,0
Cruz,Cristhian,LAS-V,,26,22,2,2,,2,0,0,,0,0
Santana,Juan,CARDE,,24,10,12,2,,0,0,0,,0,0
Querales,Andres,CARIB,,12,11,0,1,,0,0,0,,0,0
Garces,Ivan,CARDE,,12,7,4,1,,2,4,0,,0,0
Ismel Herrera,Mario,CARDE,,23,14,7,2,,3,1,0,,0,0
Noriega,Ricardo,CARIB,,23,15,6,2,,1,12,2,,5,0
Palacios,Harold,CARIB,,22,9,11,2,,0,0,0,,0,0
Hurtado,Wilson,FAMIL,,11,9,1,1,,0,2,1,,0,0
Morales,Oscar,SENAD,,29,9,17,3,,1,0,0,,0,0
Cruz,Rafael,FAMIL,,19,6,11,2,,2,0,0,,0,0
Castillo,Marcos,LAS-V,,36,21,11,4,,3,0,0,,0,0
Rodriguez,Alvaro,SENAD,,18,12,4,2,,0,1,0,,0,0
Miguel Lopez,Jesus,SENAD,,18,8,8,2,,0,0,0,,0,0
Pereira,Yuberth,FAMIL,,9,3,5,1,,0,3,3,,0,0
Rodriguez,Sergio,CARAC,,9,1,7,1,,0,5,3,,0,0
Benjamin Machin,J,SENAD,,17,13,2,2,,1,8,1,,0,0
Pena,Gary,CARAC,,16,7,7,2,,0,0,0,,0,0
Rodriguez,Pedro,CARDE,,8,5,2,1,,1,0,0,,0,0
Exposito,Roberto,FAMIL,,8,5,2,1,,0,0,1,,0,0
Hector,Joalber,LAS-V,,15,6,7,2,,2,4,0,,0,0
Castilla,Angel,CARIB,,15,12,1,2,,1,0,0,,0,0
Guilarte,Francisco,FAMIL,,22,9,10,3,,1,0,0,,0,0
Castilla,Miguel,CARIB,,21,12,6,3,,2,0,1,,0,0
Isturiz,Guillermo,SENAD,,7,3,3,1,,0,0,0,,0,0
Andres Lopez,Jesus,SENAD,,7,2,4,1,,0,0,0,,0,0
Escobar,Evar,CARDE,,20,9,8,3,,2,0,0,,0,0
Loyo,Junior,CARDE,,12,7,3,2,,2,0,0,,0,0
Mendez,Adrian,CARIB,,12,8,2,2,,0,7,2,,0,0
