Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
AGUILERA ZAYAS,Paris,RCH,31,51,50,1,0,1.000,0,0,0,,0,0
AHRENS,Vincent,NEP,29,272,253,18,1,0.996,0,17,9,65.4,3,0
ANGELA,Nelmerson,AMS,11,22,6,12,4,0.818,0,1,2,33.3,0,0
AUCOIN,Eddie,PIO,3,5,1,4,0,1.000,1,0,0,,0,0
AUSSEMS,Jesse,NEP,28,59,13,43,3,0.949,4,0,0,,0,0
BAKKER,Kevin,NEP,11,5,2,3,0,1.000,1,0,0,,0,0
BEERMAN,Jamie,DKI,20,110,51,55,4,0.964,16,0,0,,0,0
BEKKER,Lucas,UVV,33,100,43,52,5,0.950,11,0,0,,0,0
BELJAARDS,Duncan,PIO,18,107,84,18,5,0.953,7,24,13,64.9,4,0
BENTURA,Railison,TWI,36,91,24,61,6,0.934,4,0,0,,0,0
BERKEL,Nathan,RCH,24,45,38,5,2,0.956,2,0,0,,0,0
BERKENBOSCH,Kenny,AMS,32,56,51,3,2,0.964,4,0,0,,0,0
BLIJLEVEN,Mart,RCH,20,34,31,1,2,0.941,0,0,0,,0,0
BLOAT,Kilian,UVV,31,46,37,4,5,0.891,0,0,0,,0,0
BLOKKER,Finn,DKI,14,5,1,4,0,1.000,0,0,0,,0,0
BOERMANS,Jens,TWI,3,1,1,0,0,1.000,0,0,0,,0,0
BONEVACIA,Arthur,NEP,32,67,64,3,0,1.000,4,0,0,,0,0
BREEK,Donny,DKI,8,3,0,2,1,0.667,0,0,1,0.0,0,0
BRENK,Eric,HCA,7,24,3,20,1,0.958,3,0,0,,0,0
BRODSO,Tye,PIO,2,7,6,0,1,0.857,0,6,0,100.0,2,0
BROOKS,Denzel,HCA,33,64,21,38,5,0.922,3,0,0,,0,0
BULTHUIS,Parker,UVV,11,53,46,6,1,0.981,2,2,2,50.0,0,0
BUN,Luuk,TWI,34,12,11,1,0,1.000,0,0,0,,0,0
BURGER,Jordy,UVV,16,30,30,0,0,1.000,0,0,0,,0,0
BURGERSDIJK,Dennis,HCA,12,15,3,12,0,1.000,1,0,0,,0,0
BURLESON,Miles,PIO,3,2,2,0,0,1.000,0,0,0,,0,0
CALMES,Nigel,HCA,13,5,0,3,2,0.600,0,0,0,,0,0
CAROLINA,Rayshelon,NEP,32,52,51,0,1,0.981,0,0,0,,0,0
CLARA,Robyn,DKI,18,1,0,0,1,0.000,0,0,0,,0,0
CLEMENSIA,Taylor,QUI,33,109,104,3,2,0.982,3,0,0,,0,0
CLOTIDA,Jisjar,QUI,11,22,20,0,2,0.909,0,0,0,,0,0
COCU,Raf,TWI,16,4,2,2,0,1.000,0,0,0,,0,0
COLLINS,Darnel,NEP,16,30,29,1,0,1.000,1,0,0,,0,0
COLLINS,Darryl,NEP,26,28,28,0,0,1.000,0,0,0,,0,0
CORNELISSEN,Maxwell Marley,PIO,7,5,1,4,0,1.000,1,0,0,,0,0
CREMER,Jules,AMS,33,121,113,5,3,0.975,3,14,2,87.5,2,0
DE BLOK,Tom,NEP,10,11,3,7,1,0.909,0,0,1,0.0,0,0
DE BOER,Olivier,QUI,3,5,3,0,2,0.600,0,0,0,,0,0
DE CUBA,Quintin,AMS,29,46,44,2,0,1.000,7,0,0,,0,0
DE GRAAF,Levi,PIO,7,4,1,2,1,0.750,1,0,0,,0,0
DE GRAAUW,Gio,HCA,5,4,2,2,0,1.000,0,0,0,,0,0
DE GROOT,Aaron,NEP,17,2,2,0,0,1.000,0,0,0,,0,0
DE VREEDE,Bodhi,PIO,17,33,28,3,2,0.939,1,0,0,,0,0
DEKKER,Ruben,UVV,12,1,0,1,0,1.000,0,0,0,,0,0
DIAZ,Christian,NEP,30,59,55,3,1,0.983,0,0,0,,0,0
DIRKSEN,Kevin,NEP,25,32,32,0,0,1.000,0,0,0,,0,0
DITERS,Raff,PIO,27,62,23,31,8,0.871,3,0,0,,0,0
DOMETILIA,Jerson,QUI,15,52,18,30,4,0.923,4,0,0,,0,0
DRAIJER,Victor,HCA,31,73,71,2,0,1.000,4,0,0,,0,0
DUMITRESCU,Michael,PIO,17,17,15,1,1,0.941,0,0,0,,0,0
DUNLOP,Tijani,RCH,20,6,6,0,0,1.000,0,0,0,,0,0
ELFRINK,Jasper,DKI,13,11,3,5,3,0.727,1,1,0,100.0,0,0
ERNESTINA,Joshua,QUI,33,146,52,70,24,0.836,10,0,0,,0,0
ESKES,Bodie,DKI,13,3,3,0,0,1.000,0,0,0,,0,0
EUSTACIA,Sigmar,RCH,2,1,1,0,0,1.000,0,0,0,,0,0
FAHRNER,Sol,DKI,1,1,0,0,1,0.000,0,0,0,,0,0
FARLEY,Dylan,AMS,4,3,0,3,0,1.000,0,0,2,0.0,0,0
FINNEGAN,Aidan,DKI,18,55,50,5,0,1.000,3,2,0,100.0,0,0
FRANK,Dion,RCH,33,169,146,19,4,0.976,3,50,12,80.6,7,0
FRANKA,Amarensio,DKI,33,166,53,102,11,0.934,23,0,0,,0,0
FREDRIKZE,Tijn,NEP,10,1,0,1,0,1.000,0,0,0,,0,0
GARCIA,Terrence,TWI,29,225,206,19,0,1.000,20,0,0,,0,0
GARIO,Mervin,AMS,1,1,0,1,0,1.000,0,0,0,,0,0
GIJSBERTHA,Jaison,PIO,10,66,55,9,2,0.970,0,22,7,75.9,2,0
GOINS,Julian,HCA,20,139,125,9,5,0.964,0,10,9,52.6,1,2
GONESH,Riley,UVV,8,3,0,2,1,0.667,0,0,0,,0,0
GONZALEZ GARAY,Luis,QUI,8,31,12,15,4,0.871,1,1,0,100.0,1,0
GROEN,Mike,DKI,15,10,2,7,1,0.900,2,0,0,,0,0
GROß,Simon,TWI,13,13,4,8,1,0.923,1,0,1,0.0,0,0
GUZMAN,Aldrich,RCH,32,251,232,10,9,0.964,15,0,0,,0,0
HANSEN,Jurian,UVV,29,113,35,64,14,0.876,19,0,0,,0,0
HARCKSEN,Misja,TWI,11,17,6,10,1,0.941,0,2,0,100.0,0,0
HATMA,Enrique,QUI,30,146,123,15,8,0.945,1,55,9,85.9,6,0
HEEMSKERK,Terrance,PIO,33,141,70,57,14,0.901,15,7,1,87.5,2,0
HEILIGERS,Daniel,PIO,9,44,38,5,1,0.977,1,23,3,88.5,4,0
HELMS,Allard,UVV,7,4,1,3,0,1.000,0,0,0,,0,0
HELMS,Thijs,UVV,27,38,36,2,0,1.000,1,0,0,,0,0
HENRIQUE,Roelie,AMS,22,88,33,50,5,0.943,13,0,0,,0,0
HERKEMIJ,Cris,DKI,13,38,33,5,0,1.000,6,0,0,,0,0
HOFER,Nick,DKI,30,92,89,2,1,0.989,1,0,0,,0,0
HOOGENDOORN,Ryan,PIO,18,1,1,0,0,1.000,0,0,0,,0,0
HUIJER,Lars,HCA,12,24,3,21,0,1.000,2,0,0,,0,0
HUIJER,Swen,PIO,5,1,0,1,0,1.000,0,0,0,,0,0
HUNTINGTON,Ryan,NEP,19,3,1,2,0,1.000,0,0,0,,0,0
IRAUSQUIN,Edvin,RCH,27,47,36,8,3,0.936,2,0,0,,0,0
ISENIA,Aaron,QUI,36,114,96,12,6,0.947,4,2,1,66.7,0,0
JACOBS,Raul,RCH,29,128,47,74,7,0.945,10,0,0,,0,0
JAKOBUS,Jason,AMS,23,22,22,0,0,1.000,0,0,0,,0,0
JAKOBUS,Marvin,UVV,33,125,102,20,3,0.976,14,0,0,,0,0
JALVINGH,Rik,RCH,12,17,2,14,1,0.941,1,3,1,75.0,0,0
JAMANIKA,Sheadion,NEP,24,169,150,13,6,0.964,15,0,0,,0,0
JANSEN,Wesley,AMS,1,1,1,0,0,1.000,0,0,0,,0,0
KAMPHORST,Floris Jan,QUI,13,1,0,0,1,0.000,0,0,0,,0,0
KAREL,Sedley,HCA,16,3,1,2,0,1.000,1,0,0,,0,0
KEMP,Dwayne,NEP,32,121,47,66,8,0.934,16,0,0,,0,0
KEMP,Tyriq,NEP,18,61,18,38,5,0.918,0,0,0,,0,0
KEMP,Urving,AMS,34,32,31,0,1,0.969,0,0,0,,0,0
KEUR,Nick,HCA,18,8,1,7,0,1.000,0,0,0,,0,0
KOEIMAN,Chris,RCH,13,17,7,10,0,1.000,3,0,0,,0,0
KOEIMAN,Elton,QUI,3,5,0,5,0,1.000,0,0,0,,0,0
KOPS,Finn,TWI,6,2,0,0,2,0.000,0,0,0,,0,0
KORTSTAM,Raoell,UVV,4,3,1,2,0,1.000,0,0,0,,0,0
KRAGT,Naut,AMS,8,3,0,2,1,0.667,0,0,0,,0,0
KUIJPER,Donny,DKI,30,84,45,33,6,0.929,4,0,0,,0,0
KUIJPER,Sem,DKI,24,109,94,13,2,0.982,2,16,3,84.2,2,0
KUIPERS,Stefan,QUI,39,104,60,34,10,0.904,1,0,0,,0,0
KWAKERNAAK,Thomas,DKI,2,3,0,2,1,0.667,0,0,0,,0,0
LACHKAR,Yassir,AMS,11,3,1,1,1,0.667,0,0,0,,0,0
LANKFORD,Wyatt,TWI,12,14,4,8,2,0.857,0,2,1,66.7,0,0
LEGITO,Raydley,RCH,10,50,16,29,5,0.900,4,0,0,,0,0
LEVENSTONE,Jeffrey,UVV,11,1,0,1,0,1.000,1,0,0,,0,0
LIGUORI,Lars,HCA,2,1,0,1,0,1.000,0,0,0,,0,0
MADERA,Alex,AMS,33,106,38,66,2,0.981,16,0,0,,0,0
MARLIN,Malcolm,RCH,35,150,60,78,12,0.920,16,0,0,,0,0
MARLIN,Shurman,HCA,34,248,242,3,3,0.988,25,0,0,,0,0
MARTIE,Yurdion Franklin,AMS,23,146,132,14,0,1.000,2,12,8,60.0,1,0
MARTINA,Brendly,HCA,31,79,54,24,1,0.987,10,0,0,,0,0
MARTINA,T'sean,RCH,10,9,1,4,4,0.556,0,0,0,,0,0
MARTIS,Joel,RCH,13,8,3,3,2,0.750,0,2,0,100.0,0,0
MARTIS,Shairon,NEP,10,13,4,8,1,0.923,1,0,0,,0,0
MEIJER,Andreas,PIO,23,108,90,11,7,0.935,6,0,0,,0,0
MELFOR,Tilsaimy,RCH,29,97,47,44,6,0.938,9,0,0,,0,0
MERCADO REYES,Tyrell,PIO,20,38,36,1,1,0.974,1,0,0,,0,0
MEVISSEN,Vincent,PIO,23,84,24,56,4,0.952,5,0,0,,0,0
MOHAMED,Jayden,NEP,15,11,5,3,3,0.727,1,0,0,,0,0
MOLL,Pascal,RCH,12,3,1,2,0,1.000,0,0,0,,0,0
MONTENEGRO,Mauricio,NEP,1,1,0,1,0,1.000,0,0,0,,0,0
MULLER,Luca,QUI,14,17,7,5,5,0.706,0,0,0,,0,0
NAGEL,Tijmen,DKI,4,11,7,2,2,0.818,1,0,0,,0,0
NAHUIS,Tieme,RCH,9,16,7,5,4,0.750,0,0,0,,0,0
NAMMOKU,Yoshitaka,TWI,3,1,0,1,0,1.000,0,0,0,,0,0
NIJKAMP,Arjen,PIO,14,11,2,8,1,0.909,0,0,1,0.0,0,0
