Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ALBERTELLI,Federico,LDC,3,1,1,0,0,1.000,0,0,0,,0,0
ANDERSON,Bobby,LDC,10,25,22,3,0,1.000,1,2,0,100.0,0,0
ANDREI,Apostoaei,SHB,13,18,13,4,1,0.944,2,4,1,80.0,0,0
APOSTOL,Jesus,EXA,7,12,7,4,1,0.917,0,0,0,,0,0
AVILA,Elbis,SHB,9,3,2,1,0,1.000,0,2,0,100.0,0,0
BAEZ AYBAR,Nguyen,VET,2,3,1,0,2,0.333,0,0,0,,0,0
BANAGALE,Mike,LDM,5,1,1,0,0,1.000,0,0,0,,0,0
BARRETT,Joshua,LDM,8,17,16,1,0,1.000,1,0,0,,0,0
BEDARD,David,LDC,1,2,2,0,0,1.000,0,0,0,,0,0
BOBADILLA,Jose,BMB,15,25,17,7,1,0.960,0,0,0,,0,0
BOURGEOIS,Owen,BMB,9,20,16,3,1,0.950,2,0,0,,0,0
BROWN,Tim,LDM,3,8,0,8,0,1.000,0,0,0,,0,0
CALZADO,Aneury,VET,15,25,21,0,4,0.840,0,0,0,,0,0
CEDENO,Roger,BMB,16,54,34,15,5,0.907,2,12,1,92.3,5,0
CEDEÑO,Leo,LDC,13,56,49,5,2,0.964,1,6,1,85.7,3,0
CHARLES,Carlson,VET,10,32,27,1,4,0.875,1,1,0,100.0,0,0
CHESTERTON,Richard,EXA,18,106,105,1,0,1.000,7,0,0,,0,0
CHIRA,Angel,EXA,7,29,25,4,0,1.000,0,3,1,75.0,2,0
DEACON,Alex,SHB,25,34,11,21,2,0.941,2,2,0,100.0,0,0
DEAN,Louis,LDM,10,5,3,1,1,0.800,0,0,0,,0,0
DEERING,Ian,LDC,3,18,16,2,0,1.000,0,0,0,,0,0
DELZOPPO,Grant,LDM,4,15,15,0,0,1.000,0,7,0,100.0,3,0
DIAZ,Juan,EXA,16,59,10,45,4,0.932,4,0,0,,0,0
DIX,Jamie,LDM,12,22,13,7,2,0.909,0,0,0,,3,0
DLUHOS,Vladimir,BMB,2,3,3,0,0,1.000,0,0,0,,0,0
EDMONDS,Jordan,LDM,10,9,9,0,0,1.000,0,0,0,,0,0
ESCALONA,Giovanni,EXA,6,13,9,1,3,0.769,0,0,0,,0,0
FIGUEREO ALMONTE,Julio Cesar,LDC,19,58,19,34,5,0.914,2,0,0,,0,0
FIORENTINO,Michael,LDM,11,42,40,1,1,0.976,1,0,0,,0,0
FLAHERTY,Thomas,LDM,8,13,2,8,3,0.769,1,0,0,,0,0
FRENCH,Tim,SHB,16,11,7,2,2,0.818,0,1,0,100.0,0,0
FROMETA,Luis,SHB,10,25,24,0,1,0.960,0,0,0,,0,0
FURST,Matt,SHB,2,2,0,2,0,1.000,0,0,0,,0,0
GONDOBINTORO,Sean,LDM,4,28,24,4,0,1.000,0,14,0,100.0,2,0
GONZÁLEZ,Jorge Luis,VET,14,11,8,3,0,1.000,0,3,1,75.0,0,0
GUEVARA,Jonny,BMB,16,35,30,2,3,0.914,1,16,0,100.0,2,0
GUSTAFSON,Erik Javier,BMB,15,7,4,3,0,1.000,0,2,0,100.0,0,0
GÁLVEZ RODRÍGUEZ,Adonis jose,EXA,19,38,7,26,5,0.868,1,0,0,,0,0
HALES,Callum,BMB,2,1,0,0,1,0.000,0,0,0,,0,0
HASHIGUCHI,Masa,LDC,11,20,12,8,0,1.000,1,6,0,100.0,1,0
HAYWOOD,Junior,BMB,9,10,8,0,2,0.800,0,0,0,,0,0
HURTADO,Ambiorix,BMB,5,2,1,0,1,0.500,0,0,0,,0,0
HYDE,Ben,BMB,4,3,3,0,0,1.000,0,0,0,,0,0
ISHIHARA,Tasuku,LDC,12,37,22,12,3,0.919,0,1,0,100.0,0,0
JAKUTIS,Evaldas,VET,2,3,2,0,1,0.667,0,0,0,,0,0
JANULEVICIUS,Giedrius,VET,4,6,3,2,1,0.833,0,0,0,,0,0
JIMENEZ,Gian,VET,5,5,5,0,0,1.000,0,0,0,,0,0
JIMENEZ,Jes,VET,4,10,8,0,2,0.800,0,3,0,100.0,5,1
KATINAS,Vilmantas,VET,16,33,30,2,1,0.970,1,0,0,,0,0
KIDO,Kenta,LDC,14,45,9,30,6,0.867,1,1,0,100.0,0,0
KUSZEWSKI,Maxymus,LDM,2,1,1,0,0,1.000,0,0,0,,0,0
LAWLER,Dylan,BMB,20,67,25,32,10,0.851,1,0,0,,0,0
LAWN,Spencer,SHB,15,15,15,0,0,1.000,0,0,0,,0,0
LEE,Cameron,LDC,5,5,5,0,0,1.000,0,0,0,,0,0
LOPEZ,Jose,BMB,18,16,9,7,0,1.000,2,3,0,100.0,0,0
LORENZO,Arley,EXA,9,12,10,2,0,1.000,0,0,0,,0,0
MAMBRU FELIPE,Jeurys Lewin,LDC,8,2,2,0,0,1.000,0,0,0,,0,0
MARRIOTT,Josh,LDC,10,20,17,2,1,0.950,2,0,0,,0,0
MARTE BATISTA,Kendry,EXA,15,66,33,33,0,1.000,9,0,0,,0,0
MARTIN,Luke,SHB,18,37,32,3,2,0.946,1,0,0,,0,0
MARTINEZ,Franklin,EXA,14,66,60,4,2,0.970,0,16,0,100.0,6,1
MARTÍNEZ,Ramon,VET,3,3,2,1,0,1.000,0,2,0,100.0,1,0
MATOS CUEVAS,Yordi Alezader,VET,2,2,2,0,0,1.000,1,0,0,,0,0
MATOS,Josué,VET,2,6,2,2,2,0.667,0,1,0,100.0,0,0
MCLAUGHLIN,Ryan,LDM,13,23,20,3,0,1.000,1,2,0,100.0,0,0
MENCIA DE LA CRUZ,Elvin,VET,13,49,43,5,1,0.980,0,10,0,100.0,10,0
MESSER,Chris,LDM,10,7,7,0,0,1.000,0,0,0,,0,0
MINFORD,Rich,LDM,5,9,9,0,0,1.000,0,1,0,100.0,0,0
MORAN,Daniel,SHB,24,108,94,11,3,0.972,10,0,0,,0,0
MORAN,Matt,SHB,5,9,6,3,0,1.000,1,0,0,,0,0
MURATA,Kenichiro,LDC,10,4,4,0,0,1.000,0,0,0,,0,0
MYRMELL,Daniel,BMB,15,35,34,0,1,0.971,2,0,0,,0,0
NOVAS,Yonathan,EXA,24,26,15,9,2,0.923,2,1,0,100.0,0,0
OBANDO,German,EXA,7,4,2,2,0,1.000,0,8,0,100.0,0,0
ORTEGA,Juan Miguel,BMB,14,48,45,2,1,0.979,0,12,0,100.0,2,0
PAPINI,Mattia,VET,22,44,20,18,6,0.864,1,3,0,100.0,0,0
PAPPALARDO,Giovanni,EXA,8,8,1,7,0,1.000,2,1,0,100.0,0,0
PEREZ,Aneudy,EXA,18,18,17,1,0,1.000,0,0,0,,0,0
PEREZ,Angel,EXA,17,35,34,1,0,1.000,0,0,0,,0,0
PESTANA,Jesus,BMB,19,28,26,2,0,1.000,0,6,0,100.0,0,0
PESTANA,Marco,BMB,15,25,23,1,1,0.960,2,3,0,100.0,1,0
POWELL,Ty,EXA,1,1,0,1,0,1.000,0,0,0,,0,0
POWER,Brendan,LDM,15,50,20,29,1,0.980,4,0,0,,0,0
