Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ABETE,Nicolás,IRA,5,2,2,0,0,1.000,0,0,0,,0,0
ACHA,Sergio,INA,2,1,1,0,0,1.000,0,0,0,,0,0
AINETO,Cristian,ANT,19,42,39,3,0,1.000,4,0,0,,0,0
ALBES,Ander,NAV,17,28,25,1,2,0.929,1,0,0,,0,0
ALCALÁ,Diego,SBO,16,23,18,2,3,0.870,0,0,0,,0,0
ALCANTARA GARCÍA,Aldrin Alexander,BCN,5,6,4,2,0,1.000,0,0,0,,0,0
ALFONSO,Alex,AST,15,9,9,0,0,1.000,0,0,0,,0,0
ALVARADO,Carlos,INA,30,191,175,14,2,0.990,1,15,7,68.2,1,0
AMADOR,Jaime,SBO,21,48,46,2,0,1.000,1,0,0,,0,0
AMOZTEGUI,Xabier,IRA,1,10,9,0,1,0.900,0,0,0,,0,0
ARANES MENDEZ,Nicolas,NAV,3,2,1,0,1,0.500,0,0,0,,0,0
ARCE,Mikel,IRA,11,3,3,0,0,1.000,0,0,0,,0,0
ARISTU,Martín,IRA,11,7,6,1,0,1.000,0,0,0,,0,0
ARRESE,Pablo,IRA,14,19,12,6,1,0.947,3,0,0,,0,0
ARZA,David,NAV,15,82,36,43,3,0.963,10,0,0,,0,0
ARZA,Marcos,NAV,21,78,27,44,7,0.910,7,0,0,,0,0
AUCIELLO,Kreisber,INA,30,240,226,14,0,1.000,21,0,0,,0,0
BAENA,Manel,VIL,3,3,1,2,0,1.000,0,0,0,,0,0
BAETA,José,ANT,15,25,12,10,3,0.880,2,0,0,,0,0
BALBOA,Jorge,AST,14,19,4,14,1,0.947,0,1,3,25.0,0,0
BASTIDAS,Andrés,MIR,16,55,22,29,4,0.927,3,0,0,,0,0
BELLO,Samuel,ANT,3,1,1,0,0,1.000,0,0,0,,0,0
BERMÚDEZ,Samuel,BCN,28,151,101,47,3,0.980,8,26,6,81.3,3,0
BETANCOURT,Brhayan,BCN,1,4,0,4,0,1.000,0,0,0,,0,0
BLANCO,Miguel,SBO,27,108,55,49,4,0.963,10,0,0,,0,0
BORDANOBA,Joan,SBO,7,2,1,0,1,0.500,0,0,0,,0,0
BORGES,Joel,MAR,25,125,117,7,1,0.992,0,8,5,61.5,0,1
BRACHO,Yovel,ANT,7,13,12,1,0,1.000,3,0,0,,0,0
BRUN,Mauro,MIR,10,12,8,2,2,0.833,1,0,0,,0,0
BRUN,Tristán,MIR,21,27,16,8,3,0.889,1,0,0,,0,0
BURGUILLOS,José,VIL,10,5,5,0,0,1.000,2,0,0,,0,0
BÁDENAS,Lluis,BCN,29,64,54,8,2,0.969,4,1,0,100.0,0,0
CABALLERO,Iban,NAV,4,27,25,2,0,1.000,4,0,0,,0,0
CABALLERO,Yoel,INA,30,59,53,3,3,0.949,0,0,0,,0,0
CABELLO,José,SBO,26,219,189,25,5,0.977,9,11,4,73.3,2,0
CADENAS,Ferrán,VIL,10,4,3,1,0,1.000,0,0,0,,0,0
CALVO DOMEÑO,Mateo,IRA,4,14,5,7,2,0.857,3,0,0,,0,0
CALVO,Lucas,IRA,39,150,130,13,7,0.953,8,18,4,81.8,6,0
CARBONELL,Luis,TOR,9,54,45,9,0,1.000,0,15,6,71.4,1,0
CARDINALE,Carlos,IRA,24,114,33,77,4,0.965,12,0,0,,0,0
CARMONA,Christopher,NAV,10,16,4,9,3,0.813,1,0,0,,0,0
CASTAÑO,Daniel,VIL,11,9,2,5,2,0.778,2,0,0,,0,0
CASTAÑO,Joaquín,SBO,11,5,1,4,0,1.000,0,0,0,,0,0
CASTELL,Mario,SBO,25,78,18,54,6,0.923,6,0,0,,0,0
CASTILLO,Jesús,TOR,26,103,36,58,9,0.913,9,0,0,,0,0
CASTILLO,Yohar,VIL,1,3,1,2,0,1.000,0,0,0,,0,0
CATALÁN,Miguel,VIL,20,81,74,7,0,1.000,10,0,0,,0,0
CAYONES,Exicardo,AST,27,35,33,0,2,0.943,0,0,0,,0,0
CAÑO,Unai,NAV,11,39,14,22,3,0.923,2,0,0,,0,0
CENTENO,Luis,INA,18,60,24,34,2,0.967,8,0,0,,0,0
CHAMBERS,Allen,TOR,14,6,5,0,1,0.833,0,0,0,,0,0
CHUECA,Héctor,MIR,5,7,6,1,0,1.000,0,0,0,,0,0
CLAVIJO,Yoreibert,TOR,20,91,35,51,5,0.945,7,0,0,,0,0
COLÓN,Pedro,NAV,21,33,29,3,1,0.970,1,0,0,,0,0
COMPRÉS,Luís,TOR,26,198,185,9,4,0.980,8,2,0,100.0,1,0
CORDIDO,Cesar,TOR,13,110,96,12,2,0.982,0,11,7,61.1,4,0
CORREA,Leopoldo,INA,30,149,45,97,7,0.953,21,0,0,,0,0
CORTORREAL,Teudis,TOR,6,9,8,0,1,0.889,0,0,0,,0,0
COSTALES,Pablo,ANT,26,62,57,5,0,1.000,1,0,0,,0,0
CRUZ,Rafael,MAR,3,2,2,0,0,1.000,0,0,0,,0,0
CÉSPEDES,Yorking,TOR,22,36,33,1,2,0.944,2,0,0,,0,0
DE FREITAS,David,ANT,20,96,86,7,3,0.969,11,1,0,100.0,0,0
DECENA,Roibert,AST,26,26,26,0,0,1.000,0,0,0,,0,0
DELGADO GONZALEZ,Kevin Javier,TOR,7,59,52,4,3,0.949,0,16,4,80.0,4,0
DELGADO,Jonathan,IRA,24,11,7,3,1,0.909,0,3,0,100.0,0,0
DIAZ,Jose,MAR,13,10,1,9,0,1.000,0,0,0,,0,0
DOLZ,José,ANT,14,19,18,0,1,0.947,0,0,0,,0,0
DONNELS,Tanner,AST,28,126,119,6,1,0.992,8,0,0,,0,0
DOPAZO,Juan,AST,14,6,6,0,0,1.000,0,0,0,,0,0
DÍAZ,Arnaldo,ANT,14,4,1,2,1,0.750,0,0,0,,0,0
ESCOBAR,Yender,MIR,3,1,0,1,0,1.000,0,0,0,,0,0
ESCOLANO,Adrián,IRA,2,1,1,0,0,1.000,0,0,0,,0,0
ESCOLANO,Héctor,NAV,25,62,55,5,2,0.968,2,0,0,,0,0
