Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
BERGER,Aurélie,SER,6,30,28,2,0,1.000,0,10,0,100.0,1,0
BERNABEU,Alicia,BRU,2,1,0,0,1,0.000,0,0,0,,0,0
BONNET,Florianne,TOU,5,2,0,2,0,1.000,0,7,0,100.0,1,0
BRABANT,Coline,BRI,3,2,1,1,0,1.000,1,0,0,,0,0
CHASSEUR,Charlotte,SER,5,9,8,1,0,1.000,0,0,0,,0,0
CORDOBA-DIAZ,Sabrina,BRI,5,7,6,1,0,1.000,1,8,1,88.9,4,0
CUEVAS RUIZ,Lena,TOU,3,4,1,2,1,0.750,0,0,0,,0,0
DAENE,Christine,SER,6,9,6,2,1,0.889,0,0,0,,0,0
DE KEUKELEIRE,Naomi,TOU,7,16,9,4,3,0.813,0,12,0,100.0,5,0
DE MUNNYNCK,Ruth,BRU,3,12,12,0,0,1.000,0,0,0,,0,0
DECOTTIGNIES,Cassandra,TOU,5,1,1,0,0,1.000,0,0,0,,0,0
DECOURTY,Aurélie,MON,2,13,12,0,1,0.923,0,0,0,,0,0
DENOEL,Alex,SER,7,18,17,1,0,1.000,1,8,0,100.0,0,0
DESCHAMPS,Sylvie,TOU,2,1,1,0,0,1.000,0,0,0,,0,0
DIVE,Camille,BRI,5,12,11,1,0,1.000,1,4,0,100.0,2,0
DUFRANE,Ariane,BRU,6,17,11,3,3,0.824,0,9,0,100.0,2,0
DUPLOUY,Gwenaëlle,MON,8,28,13,13,2,0.929,0,13,0,100.0,7,0
DUPRIEZ,Julie,TOU,3,6,2,4,0,1.000,0,0,0,,0,0
DUPRIEZ,Louise,TOU,3,21,17,1,3,0.857,0,0,0,,0,0
DUQUESNOY,Naëlle,TOU,5,11,9,0,2,0.818,0,0,0,,0,0
ELOY,Epiphanie,MON,12,9,3,4,2,0.778,0,0,0,,0,0
FAUCON,Marilou,MON,9,28,11,16,1,0.964,1,1,0,100.0,0,0
FAUVILLE,Christelle,BRU,3,7,1,3,3,0.571,0,0,0,,0,0
FUKS,Jennifer,BRI,5,5,4,1,0,1.000,0,0,0,,0,0
GEERAERTS,Yanaika,HEI,7,4,0,2,2,0.500,0,0,0,,0,0
GHELEYNS,Marie,BRI,6,19,10,7,2,0.895,1,0,0,,0,0
GLEJSER,Eden,BRU,8,4,3,0,1,0.750,0,0,0,,0,0
GORIS,Jessy,HEI,5,1,1,0,0,1.000,0,0,0,,0,0
