Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ABATE,Brian,RON,20,63,31,29,3,0.952,9,0,0,,0,0
ACCORSI,Luca,ATL,21,82,27,48,7,0.915,8,0,0,,0,0
ACERBI,Edoardo,COL,12,6,1,4,1,0.833,0,0,1,0.0,0,0
ACOSTA MACUMA,Edgar Eduardo,REG,19,8,7,0,1,0.875,0,0,0,,0,0
ADELMI,Ivan,CAN,23,66,13,38,15,0.773,2,0,0,,0,0
ADORNI,Tommaso,CRO,24,34,33,0,1,0.971,0,0,0,,0,0
AGRETTI,Filippo,BOL,32,53,46,5,2,0.962,1,0,0,,0,0
AIELLO,Tommaso,RIM,11,2,0,2,0,1.000,0,0,0,,0,0
ALBERT,Shakir Achmed Girigorie,MAC,2,3,2,1,0,1.000,0,0,0,,0,0
ALDEGHERI,Mattia,VER,12,18,4,13,1,0.944,2,1,2,33.3,0,0
ALFIERI,Leonardo,COL,24,76,38,34,4,0.947,10,0,0,,0,0
ALFINITO MONTECCHI,Simone,REG,8,30,11,18,1,0.967,4,0,0,,0,0
ALFONSO MARTINEZ,RAIDER,ATL,12,17,6,11,0,1.000,2,0,0,,0,0
ALLEGRI,Alessandro,OLT,14,9,2,6,1,0.889,0,0,1,0.0,0,0
ALOMA HERRERA,Jorge Enrique,GRO,32,79,27,50,2,0.975,14,0,0,,0,0
ALVAREZ BELLO,Luis Honorio,RSM,31,236,219,16,1,0.996,6,7,7,50.0,3,0
AMBROSINO,Paolino Junior,NET,19,23,22,1,0,1.000,0,0,0,,0,0
AMBROSIONI,Lorenzo,MIL,18,63,27,30,6,0.905,7,0,0,,0,0
ANDREINI,Jacopo,PAU,2,2,2,0,0,1.000,0,0,0,,0,0
ANDRES TURINO,Danny,CAG,23,89,28,56,5,0.944,10,0,0,,0,0
ANDRETTA,Maurizio,BOL,10,2,0,2,0,1.000,0,0,0,,0,0
ANGIOI,Filippo,CAG,18,28,13,14,1,0.964,3,0,0,,0,0
ANGIOI,Gabriele,PAR,35,128,54,68,6,0.953,14,0,0,,0,0
ANGULO GAMEZ,Oscar David,RSM,32,86,36,48,2,0.977,11,0,0,,0,0
ANNUNZIATA NINO,Andres Antonio,NET,19,150,138,8,4,0.973,8,3,1,75.0,0,1
ANSELMI,Davide,VER,11,2,0,2,0,1.000,1,0,0,,0,0
