Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ADRIAANSZ-TUK,Karin,OGZ,34,135,119,12,4,0.970,2,11,9,55.0,6,0
ADRIAANSZ,Desiree,OGZ,36,22,17,0,5,0.773,0,0,0,,0,0
AGUILERA ZAYAS,Melany,AMS,4,4,4,0,0,1.000,0,0,0,,0,0
AMERSFOORT,Britt,EUR,9,30,28,1,1,0.967,2,0,0,,0,0
AMES,Esmee,SPA,26,11,1,10,0,1.000,0,0,0,,0,0
AXSON,Laura,EUR,20,49,18,26,5,0.898,0,0,1,0.0,0,0
BARTELS,Anna-be,SPA,35,2,1,1,0,1.000,0,0,0,,0,0
BEEKVELDT,Yindi,OLY,23,9,9,0,0,1.000,0,0,0,,0,0
BEERS,Brenda,OLY,31,153,142,7,4,0.974,0,3,2,60.0,3,0
BIERVLIET,Tamar,AMS,21,7,4,1,2,0.714,0,0,0,,0,0
BOERSMA,Tenley,SPA,22,147,134,12,1,0.993,1,22,5,81.5,6,0
BOMBA,Angelica,AMS,27,91,55,26,10,0.890,7,0,0,,0,0
BONORA,Kika,OLY,31,40,19,20,1,0.975,1,0,0,,0,0
BOONTJES,Anouk,OGZ,20,65,57,6,2,0.969,4,0,0,,0,0
BRANDSMA,Eline,ROE,2,1,0,1,0,1.000,0,0,0,,0,0
BRILL,Faye,EUR,17,16,15,0,1,0.938,0,0,0,,0,0
BRINK,Lisa,TTT,25,6,1,4,1,0.833,0,0,0,,0,0
BRINKS,Demi,AMS,30,4,3,1,0,1.000,0,0,0,,0,0
BUCCI,Jennifer,TTT,22,93,85,4,4,0.957,3,0,0,,0,0
BUSCHMAN,Judith,NEP,30,22,19,1,2,0.909,1,0,0,,0,0
CAMPBELL,Kailyn,ROE,31,110,41,64,5,0.955,8,0,0,,0,0
CHARLES,Damishah,NEP,27,78,17,56,5,0.936,6,0,0,,0,0
CLARIJS,Lizzie,AMS,36,106,42,53,11,0.896,4,0,0,,0,0
COERIEL,Qui-Lin,OGZ,26,6,3,2,1,0.833,0,0,0,,0,0
CROONEN,Madelief,ROE,2,3,3,0,0,1.000,0,1,0,100.0,0,0
CROUWEL,Marijn,OLY,15,61,47,12,2,0.967,0,3,2,60.0,1,0
DE BROUWER,Emma,ROE,26,6,5,1,0,1.000,0,0,0,,0,0
