Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ARGUINZONES OCANTO,Johiner Alfonso,DEU,2,2,2,0,0,1.000,0,0,0,,0,0
BALLARDINI,Lino,HOB,4,30,27,1,2,0.933,2,0,0,,0,0
BEECKMANS,Tom,GRE,1,4,1,2,1,0.750,0,0,0,,0,0
BONAFASIA,Lo,CHI,2,1,0,1,0,1.000,0,0,0,,0,0
BUERMS,Lieven,HOB,10,22,8,13,1,0.955,1,0,0,,0,0
CAPPAERT,Zeb,GRE,7,19,10,8,1,0.947,0,0,0,,0,0
CELIE,Kenny,DEU,12,19,9,9,1,0.947,1,0,0,,0,0
CHAIBUB CORONEL,Tony Alberto,DEU,7,22,21,0,1,0.955,1,0,0,,0,0
CLAES,Wesley,CHI,8,5,3,2,0,1.000,0,0,0,,0,0
CNOPS,Wout,DEU,2,1,0,0,1,0.000,0,0,0,,0,0
COPPENS,Tom,GRE,5,11,9,1,1,0.909,1,0,0,,0,0
DAELMAN,Jorne,GRE,5,11,3,5,3,0.727,0,0,0,,0,0
DE BRAUWER,Zion,HOB,2,6,5,0,1,0.833,0,0,0,,0,0
DE CLOEDT,Jelle,CHI,13,16,10,6,0,1.000,1,0,1,0.0,0,0
DE QUINT,Dennis,HOB,15,17,3,13,1,0.941,2,1,1,50.0,0,1
DE TELDER,Tony,DEU,3,6,6,0,0,1.000,0,0,0,,0,0
DE VRIENDT,Morris,DEU,11,22,21,1,0,1.000,1,0,1,0.0,3,0
DE VRIENDT,Nick,DEU,10,93,88,5,0,1.000,0,4,0,100.0,3,0
DEGROOTE,Ivan,HOB,10,32,18,13,1,0.969,1,4,0,100.0,3,0
GELDOF,Dean,GRE,18,14,5,6,3,0.786,0,2,0,100.0,0,0
GUERRA ARTEAGA,Juan Carlos,DEU,4,2,1,0,1,0.500,0,0,0,,0,0
JANSSEN,Drew,CHI,4,18,8,9,1,0.944,3,0,0,,0,0
JANSSEN,Tom,CHI,7,13,4,5,4,0.692,1,0,0,,0,0
JANSSENS,Wesley,HOB,9,33,11,20,2,0.939,1,0,0,,0,0
JASPE AQUILAR,Néstor Adolfo,CHI,5,9,9,0,0,1.000,0,0,0,,0,0
JAVIER,Enrique,CHI,12,14,4,6,4,0.714,0,0,0,,0,0
