Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ABBATTISTA,Diana,SBO,15,7,6,0,1,0.857,0,0,0,,0,0
ABRUÑEDO,Ibone,BCN,31,24,4,12,8,0.667,1,0,0,,0,0
AGUILAR PLÁ,Elisa,FEN,18,28,18,9,1,0.964,2,0,0,,0,0
AGUSTIN HERNANDEZ,Carla,BCN,7,1,1,0,0,1.000,0,0,0,,0,0
ALCAZAR GARCÍA,Carmen,ANT,16,18,16,0,2,0.889,1,0,0,,0,0
ALCONCHEL FERNÁNDEZ,Cristina,MIR,28,71,61,3,7,0.901,2,0,0,,0,0
ALCÁNTARA,Alejandrina,RIV,33,15,11,2,2,0.867,1,0,0,,0,0
ALEMAN GONZALEZ,Yenisleidys,CAP,7,11,6,5,0,1.000,1,0,0,,0,0
ALFONSO MARTEL,Alondra,CAP,10,5,3,1,1,0.800,0,0,0,,0,0
ALONSO,Beatriz,SBO,41,8,4,3,1,0.875,0,0,0,,0,0
ALVAREZ GALA,Leire,VIL,13,29,27,2,0,1.000,1,26,0,100.0,3,0
AMAR RAMÓN,Susana,MIR,23,10,4,5,1,0.900,1,0,0,,0,0
AMAR RAMÓN,Virginia,MIR,3,5,3,2,0,1.000,0,0,0,,0,0
ANDUEZA PEREZ,Carla,IRA,30,91,43,36,12,0.868,2,0,0,,0,0
ARAIZ PAGOLA,Irene,IRA,32,45,34,8,3,0.933,3,5,0,100.0,1,0
ARANES MENDEZ,Olivia,IRA,43,20,0,17,3,0.850,1,0,0,,0,0
ASTRAIN LIÑERO,Iranzu,IRA,30,94,77,12,5,0.947,1,37,7,84.1,8,0
AURE CARRASCON,Elisa,MIR,30,84,28,34,22,0.738,4,0,0,,0,0
AVILA CORRALES,Paula,VIL,10,4,3,0,1,0.750,0,0,0,,0,0
AZCONA PORTERO,Daniela,MIR,3,1,1,0,0,1.000,0,0,0,,0,0
BARANDIARÁN GARCÍA,Ane,RIV,20,8,1,7,0,1.000,0,0,0,,0,0
BARRERAS,Lidia,OBB,20,13,10,2,1,0.923,0,0,0,,0,0
BARRIOS KOKEFF,Sara,FEN,28,13,8,4,1,0.923,0,0,0,,0,0
BELASTEGUI JULIÁN,Iris,ANT,4,10,5,3,2,0.800,0,0,0,,0,0
BENITO MARIMON,Paula,ANT,28,163,132,27,4,0.975,2,31,21,59.6,1,0
BERNAL NAYLOR,Rebecca,CAM,20,43,38,1,4,0.907,2,0,0,,0,0
BLANCO,Lucía,DRI,1,1,1,0,0,1.000,0,0,0,,0,0
BLASCO JIMÉNEZ,Laura,RIV,12,2,0,2,0,1.000,0,0,0,,0,0
BODON ACEVEDO,Saioa,IRA,32,51,13,34,4,0.922,0,0,0,,0,0
BOLAÑOS RODRIGUEZ,Sarai del Carmen,CAP,19,7,4,2,1,0.857,0,0,0,,0,0
BRIZ VILLEGAS,Claudia,ANT,22,61,56,5,0,1.000,2,0,0,,0,0
BUFARDECI,KAYLA CHRISTINE,CAM,2,7,2,4,1,0.857,0,0,0,,0,0
CABRERA,Rebeca,DRI,46,39,12,24,3,0.923,2,0,0,,0,0
CAICOYA RODRIGUEZ,Carmen,RIV,40,56,11,42,3,0.946,4,0,0,,0,0
CAICOYA RODRIGUEZ,Maria,RIV,31,13,13,0,0,1.000,0,0,0,,0,0
CARMONA GARCÍA,Claudia Ximena,MIR,11,9,4,3,2,0.778,0,0,0,,0,0
CARRÓN DE BENITO,Andrea,RIV,1,4,4,0,0,1.000,0,0,0,,0,0
CASO ALVARENGA,Myrna Sofía,BCN,9,4,1,1,2,0.500,0,0,0,,0,0
CASTAÑO,Elsa,DRI,33,16,9,3,4,0.750,0,0,0,,0,0
CASTILLO LEAL,Angely del Valle,FEN,15,4,3,1,0,1.000,0,0,0,,0,0
CERDA BERMEJO,Ariadna,SBO,12,3,2,1,0,1.000,0,0,0,,0,0
CHERECHES,Beatriz,DRI,31,11,1,10,0,1.000,1,0,0,,0,0
CIAURRIZ AGUILAR,Isabel,IRA,31,97,86,3,8,0.918,6,0,0,,0,0
COLMENARES ARGUIANO,Elizabeth,RIV,21,37,36,1,0,1.000,0,0,0,,0,0
CONEJO,Victoria,OBB,2,4,1,2,1,0.750,0,0,0,,0,0
CONTIN HERNÁNDEZ,Irene,IRA,30,24,13,8,3,0.875,0,0,0,,0,0
CONTRERAS ATENZA,María,FEN,29,144,120,17,7,0.951,8,0,0,,0,0
CORTÉS SEOANE,Noemí,CAM,27,97,60,27,10,0.897,4,3,1,75.0,2,0
CÓRDOBA,Claudia,DRI,9,15,11,1,3,0.800,0,9,1,90.0,1,0
DE CASTRO,Emma,CAP,4,3,2,1,0,1.000,0,0,0,,0,0
DE LA PAZ PINTO,Verónica,ANT,50,32,13,17,2,0.938,3,0,1,0.0,0,0
DE TERRY RODRÍGUEZ,Victoria Eugenia,CAP,12,10,4,1,5,0.500,0,0,0,,0,0
DEL PINO ROJAS,Emma,VIL,21,87,80,6,1,0.989,4,0,0,,0,0
DEL PINO ROJAS,María,VIL,11,18,15,1,2,0.889,2,0,0,,0,0
DENIA MORENO,Yulán,FEN,43,116,40,64,12,0.897,6,0,0,,0,0
DIAZ GARABAN,Jocelin Alejandra,RIV,33,10,8,2,0,1.000,0,0,0,,0,0
DOMERO,Mariona,BCN,30,112,64,38,10,0.911,5,4,2,66.7,1,0
DÍAZ DORTA,Sofía,MIR,20,11,10,0,1,0.909,0,0,0,,0,0
DÍAZ PULGAR,Tábata,RIV,20,16,8,7,1,0.938,1,0,0,,0,0
ECHEVERRIA URIZ,Leyre,IRA,16,18,10,2,6,0.667,1,0,0,,0,0
ERKIZIA,Amane,OBB,26,36,10,17,9,0.750,0,0,0,,0,0
ESCALONA TERAN,Barbara Julieth,CAP,20,9,4,1,4,0.556,0,0,0,,0,0
ESCORIHUELA DEALBERT,Lucía,MIR,27,93,40,41,12,0.871,2,0,0,,0,0
ESPIN PORCAR,Ivette,ANT,40,26,16,7,3,0.885,0,0,0,,0,0
ESTEVEZ SIGILLO,Genesi Isabel,BCN,19,32,21,7,4,0.875,0,0,0,,0,0
ETXEBERRÍA,Elena,OBB,12,11,8,1,2,0.818,0,0,0,,0,0
ETXEBERRÍA,Igone,OBB,52,36,9,21,6,0.833,1,0,0,,0,0
EZPONDA BEUNZA,Nerea,IRA,31,73,61,5,7,0.904,1,0,0,,0,0
FARO,Aroa,OBB,13,23,11,10,2,0.913,1,0,0,,0,0
FERNÁNDEZ DOMÍNGUEZ,María De Lourdes,CAP,49,71,23,37,11,0.845,2,0,1,0.0,0,0
FERNÁNDEZ MOSQUEDA,Dayeni Irdari,VIL,23,58,15,33,10,0.828,1,0,0,,0,0
FERNÁNDEZ,Elena,DRI,9,20,13,6,1,0.950,4,0,0,,0,0
FERNÁNDEZ,Raquel,SBO,43,23,3,20,0,1.000,0,0,0,,0,0
FERREÑO MATEOS,Maya,CAM,29,47,20,21,6,0.872,0,9,1,90.0,2,0
