Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
Matsuoka,Shuma,WHITE,,20,17,3,0,,0,1,3,,0,0
Moreno,Ezequiel,WHITE,,19,15,4,0,,1,1,0,,0,0
Nesnal,Aaron,GREEN,,18,16,2,0,,0,2,0,,0,0
Topper,Charlie,AQUA,,15,12,3,0,,0,1,2,,1,0
Vailand,Robert,GREEN,,13,13,0,0,,0,1,0,,0,0
Cameron,Mason,RED,,11,10,1,0,,1,0,0,,0,0
Minks,Johan,GREEN,,11,8,3,0,,2,1,0,,0,0
Iliev,Albert,GREEN,,7,3,4,0,,2,0,0,,0,0
Hruby,Tomas,GREEN,,7,5,2,0,,0,0,0,,0,0
de Sant,Michelangelo,WHITE,,7,4,3,0,,0,0,0,,0,0
Pagani,Ettore,WHITE,,6,6,0,0,,1,0,0,,0,0
Obemdoerfer,Kilian,WHITE,,5,2,3,0,,0,0,0,,0,0
Schoumacher,Rafi,AQUA,,5,4,1,0,,0,0,1,,0,0
Mazzocchi,Marco,WHITE,,5,2,3,0,,1,0,0,,0,0
Zunno,Gabriele,WHITE,,4,2,2,0,,0,0,0,,0,0
Diaz,Jiaquin,AQUA,,4,2,2,0,,0,1,0,,0,0
Schwarcha,Matthes,RED,,4,3,1,0,,0,0,0,,0,0
Hopfensperger,Thomas,RED,,4,2,2,0,,0,0,0,,0,0
Strobel,Tim,GREEN,,4,1,3,0,,0,0,0,,0,0
Ilves,Johannes,AQUA,,4,3,1,0,,0,0,1,,0,0
Zvonar,Tomas,GREEN,,4,4,0,0,,0,0,0,,0,0
Kmiecik,Alex,AQUA,,4,0,4,0,,0,0,0,,0,0
Misak,Jakub,GREEN,,3,3,0,0,,0,0,0,,0,0
Galindo,Jhoan,AQUA,,3,0,3,0,,0,2,1,,0,0
Mercado,Robert,AQUA,,3,2,1,0,,0,0,0,,0,0
Ast,Quintin,RED,,3,2,1,0,,0,0,0,,0,0
Peters,Sytze,WHITE,,2,2,0,0,,0,0,0,,0,0
Lenhart,Henk,RED,,2,0,2,0,,0,0,1,,0,0
Corra,Lorenzo,WHITE,,2,0,2,0,,0,0,1,,0,0
Lucchini,Sebastiano,WHITE,,1,1,0,0,,0,0,0,,0,0
Williams,John,RED,,1,1,0,0,,0,0,0,,0,0
Pardavy,Richard,GREEN,,1,1,0,0,,0,0,0,,0,0
Linares,Camilo,AQUA,,1,1,0,0,,0,0,0,,0,0
Zegheru,Mihai,WHITE,,1,1,0,0,,0,0,2,,0,0
Morales,Felipe,RED,,32,27,4,1,,1,0,1,,0,0
Milburn,Liam,AQUA,,21,19,1,1,,0,2,0,,0,0
Schafer,Samuel,RED,,16,15,0,1,,0,0,0,,0,0
Liam hegen,Cooper,WHITE,,11,8,2,1,,0,2,0,,0,0
Calliste,Jerinyo,AQUA,,10,8,1,1,,0,2,0,,0,0
Major,Max,GREEN,,8,2,5,1,,2,0,0,,0,0
Hecko,Gabriel,GREEN,,5,3,1,1,,0,0,0,,0,0
Van Liempd,Rein,AQUA,,5,2,2,1,,0,0,0,,0,0
Blesing,Felix,RED,,5,2,2,1,,0,0,0,,0,0
de Paauw,Rudger,AQUA,,9,7,0,2,,0,2,0,,0,0
,MikulasBalog,GREEN,,3,1,1,1,,0,0,0,,0,0
Penke,Thore,RED,,4,1,1,2,,0,0,0,,0,0
Alessi,Ettore,WHITE,,2,0,1,1,,0,0,0,,0,0
Gilstrap,Truett,RED,,2,0,1,1,,0,0,0,,0,0
Rodriguez,Isaiah,WHITE,,1,0,0,1,,0,0,0,,0,0
Berton,Filip,GREEN,,1,0,0,1,,0,0,0,,0,0
Pozzobon,Matthias,WHITE,,1,0,0,1,,0,0,0,,0,0
Alexandra Bila,Mia,GREEN,,0,0,0,0,,0,0,0,,0,0
Benat,Jergus,GREEN,,0,0,0,0,,0,0,0,,0,0
Maroccio,Andrea,WHITE,,0,0,0,0,,0,0,0,,0,0
Karady,Matej,GREEN,,0,0,0,0,,0,0,0,,0,0
Egan,Carter,RED,,0,0,0,0,,0,0,0,,0,0
Rivera,Ruben,AQUA,,0,0,0,0,,0,0,0,,0,0
Silva,David,AQUA,,0,0,0,0,,0,0,0,,0,0
Schuttler,Marc,RED,,0,0,0,0,,0,0,0,,0,0
