Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
Benelli,Serse,ROYAL,,24,22,2,0,,0,4,2,,0,0
Beaujon,Nicolas,ORANG,,15,14,1,0,,1,0,1,,0,0
Rudolph,Ben,ORANG,,14,11,3,0,,0,4,1,,0,0
Henrik Rosenberg,Leo,BLACK,,12,10,2,0,,0,1,0,,0,0
Koppel,Karl,ORANG,,11,6,5,0,,0,1,0,,0,0
Boelke,Jonas,BLACK,,8,6,2,0,,0,0,1,,0,0
Kulkami,Alex,GOLD,,8,7,1,0,,0,0,0,,0,0
Zunno,Francesco,ROYAL,,8,8,0,0,,1,0,0,,0,0
de Cesaris,Tiziano,ROYAL,,7,3,4,0,,1,0,0,,0,0
Jean Rodriguez,Erik,GOLD,,7,3,4,0,,0,1,0,,0,0
Barragan,Andres,BLACK,,6,6,0,0,,0,0,1,,0,0
Gonzalez,Alejandro,GOLD,,6,6,0,0,,0,0,0,,0,0
Swart,Tito,ORANG,,5,3,2,0,,0,0,1,,0,0
Inkinen,Timo,GOLD,,4,4,0,0,,0,0,0,,0,0
Doskocil,Jan,GOLD,,4,3,1,0,,0,0,0,,0,0
Ciscato,Samuele,ROYAL,,4,4,0,0,,0,0,2,,0,0
Pidun,Santino,BLACK,,4,1,3,0,,0,0,0,,0,0
Sademe,Markus,ORANG,,4,4,0,0,,0,0,0,,0,0
Alfonso,Angel,ORANG,,4,3,1,0,,0,2,0,,0,0
Borgardt,Rafael,BLACK,,3,0,3,0,,0,0,0,,0,0
Fisher,Louis,GOLD,,3,0,3,0,,0,0,0,,0,0
Parisi,Andrea,ROYAL,,2,2,0,0,,0,0,0,,0,0
Guidotti,Riccardo,ROYAL,,2,2,0,0,,0,0,0,,0,0
Ferraro,Pietro,ROYAL,,2,0,2,0,,0,0,0,,0,0
De Poi,Nicolo,ROYAL,,2,2,0,0,,0,0,0,,0,0
Gonzalez,Marco,BLACK,,2,0,2,0,,0,0,1,,0,0
Stepanek,Dominik,GOLD,,1,0,1,0,,0,0,0,,0,0
Ruesing,Henri,BLACK,,1,1,0,0,,0,0,0,,0,0
Fernandez,Thomas,GOLD,,1,0,1,0,,0,1,2,,0,0
Holzhey,Moritz,BLACK,,1,0,1,0,,0,1,1,,0,0
Van der Wens,Krijn,GOLD,,38,33,4,1,,0,3,2,,1,0
Korkmaz,Tim,BLACK,,27,21,4,2,,0,3,2,,0,0
Gonzalez,Martin,ORANG,,11,5,5,1,,1,0,0,,0,0
Zuccon,Paolo,ROYAL,,10,9,0,1,,0,2,0,,0,0
Barbera,Sebastian,ROYAL,,8,5,2,1,,0,0,0,,0,0
Schumacher,Milos,BLACK,,6,5,0,1,,0,0,0,,0,0
Deguine,Matheo,BLACK,,10,5,3,2,,0,0,0,,0,0
Brauch,Mona,BLACK,,5,2,2,1,,0,0,0,,0,0
Figueredo,Josner,GOLD,,5,2,2,1,,0,1,0,,0,0
Franco Bimbatti,Gian,GOLD,,5,2,2,1,,0,0,0,,0,0
Jonathan Kampf,Ben,BLACK,,4,1,2,1,,0,0,1,,0,0
ten Dam,Jens,ORANG,,4,2,1,1,,0,1,0,,0,0
Chelladura,Valentine,GOLD,,4,2,1,1,,0,0,0,,0,0
Rojas,Diego,ORANG,,12,5,3,4,,1,0,0,,0,0
Meermeyer,Robin,BLACK,,6,2,2,2,,0,1,0,,0,0
Vastag,Adalberto,GOLD,,3,1,1,1,,0,0,0,,0,0
Salcedo,Maikel,GOLD,,2,0,1,1,,0,0,1,,0,0
Carrasco,Tomas,ORANG,,3,1,0,2,,0,0,0,,0,0
Schroder,Ford,BLACK,,1,0,0,1,,0,0,0,,0,0
Montes,Diego,ORANG,,1,0,0,1,,0,0,0,,0,0
Kortman,Julien,ORANG,,0,0,0,0,,0,0,0,,0,0
Macor,Daniele,ROYAL,,0,0,0,0,,0,0,0,,0,0
Karam,Noah,GOLD,,0,0,0,0,,0,0,0,,0,0
Sassi,Lorenzo,ROYAL,,0,0,0,0,,0,2,0,,0,0
Matos,Manuel,ORANG,,0,0,0,0,,0,0,0,,0,0
