Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
Korkmaz,Tim,BLACK,,19,17,2,0,,0,3,1,,0,1
Calliste,Jerinyo,AQUA,,17,14,3,0,,0,0,0,,0,0
Ciscato,Samuele,ROYAL,,17,17,0,0,,2,0,0,,0,0
Rudolph,Ben,ORANG,,14,12,2,0,,0,2,1,,0,0
Hruby,Tomas,GREEN,,12,3,9,0,,0,2,0,,0,0
Benelli,Serse,ROYAL,,12,12,0,0,,0,0,0,,0,0
Kulkami,Alex,GOLD,,11,11,0,0,,0,0,0,,0,0
Vastag,Adalberto,GOLD,,10,4,6,0,,0,0,0,,0,0
Jean Rodriguez,Erik,GOLD,,10,4,6,0,,0,0,2,,0,0
Galindo,Jhoan,AQUA,,10,6,4,0,,0,1,0,,0,0
Cameron,Mason,RED,,8,8,0,0,,0,0,0,,0,0
de Cesaris,Tiziano,ROYAL,,7,0,7,0,,1,0,0,,0,0
Moreno,Ezequiel,WHITE,,7,6,1,0,,0,0,0,,0,0
Blesing,Felix,RED,,6,2,4,0,,0,0,1,,0,0
Iliev,Albert,GREEN,,6,2,4,0,,0,0,0,,0,0
de Sant,Michelangelo,WHITE,,5,4,1,0,,0,0,0,,0,0
Brauch,Mona,BLACK,,5,2,3,0,,0,0,0,,0,0
Gonzalez,Alejandro,GOLD,,5,4,1,0,,0,0,0,,0,0
Barragan,Andres,BLACK,,5,5,0,0,,0,0,0,,0,0
de Paauw,Rutger,AQUA,,4,3,1,0,,0,0,0,,0,0
Van Liempd,Rein,AQUA,,4,2,2,0,,0,0,0,,0,0
Hopfensperger,Thomas,RED,,4,2,2,0,,1,0,0,,0,0
Topper,Charlie,AQUA,,4,3,1,0,,0,0,0,,0,0
Obemdoerfer,Kilian,WHITE,,3,1,2,0,,0,0,0,,0,0
Liam Hegen,Cooper,WHITE,,3,3,0,0,,0,0,0,,0,0
Parisi,Andrea,ROYAL,,3,1,2,0,,0,0,0,,0,0
Strobel,Tim,GREEN,,3,0,3,0,,0,0,0,,0,0
Pagani,Ettore,WHITE,,3,3,0,0,,0,0,0,,0,0
Guidotti,Riccardo,ROYAL,,3,1,2,0,,1,0,0,,0,0
Figueredo,Josner,GOLD,,3,2,1,0,,0,0,0,,0,0
Schumacher,Milos,BLACK,,3,2,1,0,,0,0,0,,0,0
Gonzalez,Martin,ORANG,,3,2,1,0,,0,0,0,,0,0
Schoumacher,Rafi,AQUA,,2,2,0,0,,0,0,0,,0,0
Chelladura,Valentine,GOLD,,2,2,0,0,,0,0,0,,0,0
Minks,Johan,GREEN,,2,2,0,0,,0,0,0,,0,0
De Poi,Nicolo,ROYAL,,2,1,1,0,,0,0,0,,0,0
Matsuoka,Shuma,WHITE,,2,0,2,0,,0,0,0,,0,0
Rojas,Diego,ORANG,,2,1,1,0,,0,0,0,,0,0
Stepanek,Dominik,GOLD,,2,2,0,0,,0,0,0,,0,0
Bila Alexandra,Mia,GREEN,,2,2,0,0,,0,0,0,,0,0
Carrasco,Tomas,ORANG,,2,1,1,0,,0,0,0,,0,0
Ten Dam,Jens,ORANG,,2,2,0,0,,0,0,0,,0,0
Ruesing,Henri,BLACK,,1,1,0,0,,0,0,0,,0,0
Zuccon,Paolo,ROYAL,,1,1,0,0,,0,0,0,,0,0
Boelke,Jonas,BLACK,,1,0,1,0,,0,0,0,,0,0
Meermeyer,Robin,BLACK,,1,1,0,0,,0,1,0,,0,0
Alessi,Ettore,WHITE,,1,1,0,0,,0,0,0,,0,0
Lenhart,Henk,RED,,1,1,0,0,,0,0,0,,0,0
Zunno,Francesco,ROYAL,,1,1,0,0,,0,0,0,,0,0
Linares,Camilo,AQUA,,1,0,1,0,,0,0,0,,0,0
Corra,Lorenzo,WHITE,,1,1,0,0,,0,0,0,,0,0
Pidun,Santino,BLACK,,1,0,1,0,,0,0,0,,0,0
Peters,Sytze,WHITE,,1,1,0,0,,0,0,0,,0,0
Zunno,Gabriele,WHITE,,1,1,0,0,,0,0,0,,0,0
Deguine,Matheo,BLACK,,1,1,0,0,,0,0,0,,0,0
Franco Bimbatti,Gian,GOLD,,1,0,1,0,,0,0,0,,0,0
Matos,Manuel,ORANG,,1,1,0,0,,0,0,0,,0,0
Beaujon,Nicolas,ORANG,,1,1,0,0,,0,0,0,,0,0
Schafer,Samuel,RED,,32,27,4,1,,0,0,1,,0,0
Van de Wens,Krijn,GOLD,,23,20,2,1,,0,0,2,,0,0
Nesnal,Aaron,GREEN,,16,15,0,1,,0,0,0,,0,0
Benak,Jergus,GREEN,,12,11,0,1,,0,0,0,,0,0
Diaz,Joaquin,AQUA,,12,7,4,1,,0,0,0,,0,0
Jonathan Kampf,Ben,BLACK,,12,5,6,1,,0,0,0,,0,0
Hecko,Gabriel,GREEN,,19,16,1,2,,0,2,0,,0,0
Henrik Rosenberg,Leo,BLACK,,7,4,2,1,,0,1,1,,0,0
Major,Max,GREEN,,5,2,2,1,,0,0,0,,0,0
Holzhey,Mortiz,BLACK,,5,3,1,1,,0,1,0,,0,0
Doskocil,Jan,GOLD,,9,7,0,2,,0,0,0,,0,0
Fisher,Louis,GOLD,,4,3,0,1,,0,0,0,,0,0
Morales,Felipe,RED,,3,2,0,1,,1,0,0,,0,0
Milburn,Liam,AQUA,,3,1,1,1,,0,1,0,,0,0
Ferraro,Pietro,ROYAL,,3,1,1,1,,1,0,0,,0,0
Koppel,Karl,ORANG,,5,1,2,2,,0,0,1,,0,0
Barbera,Sebastian,ROYAL,,5,1,2,2,,1,0,0,,0,0
Salcedo,Maikel,GOLD,,2,1,0,1,,0,0,0,,0,0
Borgardt,Rafael,BLACK,,2,1,0,1,,0,0,0,,0,0
Vailand,Robert,GREEN,,7,2,1,4,,0,0,0,,0,0
Ilves,Johannes,AQUA,,3,1,0,2,,0,0,0,,0,0
Inkinen,Timo,GOLD,,2,0,0,2,,0,0,0,,0,0
Sademe,Markus,ORANG,,1,0,0,1,,0,2,0,,0,0
Mazzocchi,Marco,WHITE,,1,0,0,1,,0,0,0,,0,0
Zvonar,Tomas,GREEN,,0,0,0,0,,0,0,0,,0,0
Zegheru,Mihai,WHITE,,0,0,0,0,,0,0,0,,0,0
Williams,John,RED,,0,0,0,0,,0,0,0,,0,0
Silva,David,AQUA,,0,0,0,0,,0,0,0,,0,0
Schwarcke,Matthes,RED,,0,0,0,0,,0,0,0,,0,0
Schuttler,Marc,RED,,0,0,0,0,,0,0,0,,0,0
Schroder,Ford,BLACK,,0,0,0,0,,0,0,0,,0,0
Sassi,Lorenzo,ROYAL,,0,0,0,0,,0,0,0,,0,0
Rodriguez,Isaiah,WHITE,,0,0,0,0,,0,0,0,,0,0
Rivera,Ruben,AQUA,,0,0,0,0,,0,0,0,,0,0
Pozzobon,Mathias,WHITE,,0,0,0,0,,0,0,0,,0,0
Penke,Thore,RED,,0,0,0,0,,0,0,0,,0,0
Pardavy,Richard,GREEN,,0,0,0,0,,0,0,0,,0,0
Montes,Diego,ORANG,,0,0,0,0,,0,0,0,,0,0
Misak,Jakub,GREEN,,0,0,0,0,,0,0,0,,0,0
Mercado,Robert,AQUA,,0,0,0,0,,0,0,0,,0,0
Maroccio,Andrea,WHITE,,0,0,0,0,,0,0,0,,0,0
Macor,Daniele,ROYAL,,0,0,0,0,,0,0,0,,0,0
Kortman,Julien,ORANG,,0,0,0,0,,0,0,0,,0,0
Kmieck,Alex,AQUA,,0,0,0,0,,0,0,0,,0,0
Karam,Noah,GOLD,,0,0,0,0,,0,0,0,,0,0
Karady,Matej,GREEN,,0,0,0,0,,0,0,0,,0,0
Gonzalez,Marco,BLACK,,0,0,0,0,,0,0,0,,0,0
Gilstrap,Truett,RED,,0,0,0,0,,0,0,0,,0,0
Galindo,Robart,AQUA,,0,0,0,0,,0,0,0,,0,0
Egan,Carter,RED,,0,0,0,0,,0,0,0,,0,0
Berton,Filip,GREEN,,0,0,0,0,,0,0,0,,0,0
Balog,Mikulas,GREEN,,0,0,0,0,,0,0,0,,0,0
Ast,Quintin,RED,,0,0,0,0,,0,0,0,,0,0
Alfonso,Angel,ORANG,,0,0,0,0,,0,0,0,,0,0
Lucchini,Sebastiano,WHITE,,0,0,0,0,,0,0,0,,0,0
