Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
Puertas,Marlon,AQUA,,18,16,2,0,,0,1,0,,0,0
Hellwig,Laszlo,ORANG,,15,14,1,0,,0,3,1,,1,0
Echavarria,Osdaniel,AQUA,,15,14,1,0,,1,2,1,,0,0
Guehring,Samuel,RED,,14,9,5,0,,0,1,2,,0,0
Zepeda,Oscar,GREEN,,14,11,3,0,,0,2,1,,0,0
Rojas,Angel,ROYAL,,11,10,1,0,,1,5,0,,0,0
,eda,RED,,11,9,2,0,,0,1,1,,0,0
Herman,David,ROYAL,,11,11,0,0,,1,0,0,,0,0
Benelli,Serse,GOLD,,10,8,2,0,,0,5,0,,0,0
Weiss,Fynn,RED,,10,9,1,0,,0,1,1,,0,0
Roman,Jorge,NAVY,,9,4,5,0,,0,0,1,,0,0
Parra,Carlos,ROYAL,,9,8,1,0,,0,1,0,,0,0
Magalotti,Federico,ORANG,,8,7,1,0,,1,1,0,,0,0
Vancura,Vilem,NAVY,,7,5,2,0,,0,2,2,,1,0
Fornasaris,Enea,GOLD,,7,5,2,0,,0,6,1,,0,0
de Nasare,Mickleyner,AQUA,,6,2,4,0,,2,0,0,,0,0
Fermin,Luis,RED,,6,1,5,0,,0,0,0,,0,0
Uhlmann,Jannik,RED,,6,4,2,0,,0,0,0,,0,0
Beljak,Marian,BLACK,,6,5,1,0,,0,0,0,,0,0
Walo,Sebastian,ORANG,,5,5,0,0,,0,1,0,,0,0
Osechas,Jose,ROYAL,,5,2,3,0,,0,0,0,,0,0
Barton,David,GREEN,,5,5,0,0,,0,0,0,,0,0
Okac,Filip,GREEN,,5,4,1,0,,0,1,0,,0,0
Moreno,Moises,ORANG,,5,3,2,0,,1,0,0,,0,0
Marusczyk,Oswin,BLACK,,5,2,3,0,,0,0,0,,0,0
Schewe,Jannes,RED,,5,4,1,0,,0,0,0,,0,0
de Cesaris,Tiziano,ROYAL,,4,4,0,0,,0,0,0,,0,0
Rudolph,Tom,GOLD,,4,2,2,0,,0,1,0,,0,0
Pleizier,Kenji,ORANG,,4,4,0,0,,0,2,0,,0,0
Bracci,Marco,AQUA,,4,2,2,0,,0,0,0,,0,0
Alting,Jens,GREEN,,4,2,2,0,,0,0,0,,0,0
Castillo,Adrian,AQUA,,3,1,2,0,,0,1,1,,0,0
Stroll,Johannes,GOLD,,3,2,1,0,,0,2,0,,0,0
Dusek,Petr,GREEN,,3,2,1,0,,0,1,0,,0,0
Vargas,Diego,NAVY,,3,3,0,0,,0,0,0,,0,0
Haffner,Robert,RED,,3,3,0,0,,0,0,0,,0,0
Chance,Javier,ORANG,,3,2,1,0,,0,0,0,,0,0
Cegiel,Nalu,BLACK,,3,3,0,0,,0,0,2,,0,0
Ziliani,Matteo,NAVY,,3,0,3,0,,0,2,0,,0,0
