Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ABDELOUAL,Laïla,AND,5,1,0,0,1,0.000,0,0,0,,0,0
ADAMS,Owen,CAN,27,11,6,5,0,1.000,0,28,1,96.6,0,0
AHLSTRÖM,Lex,CAN,19,9,3,6,0,1.000,0,0,0,,0,0
AKINSOLA,Olamide,BOR,7,3,1,2,0,1.000,0,0,0,,0,0
ALVAREZ ALARCON,Fabiana,BRI,13,25,14,4,7,0.720,0,0,0,,0,0
ANDRIES,Jasper,ZOT,11,8,4,3,1,0.875,2,0,0,,0,0
ARMIROTTO,Kaj,BOR,30,62,52,9,1,0.984,0,50,2,96.2,1,0
AVARELLO,Adrien,AND,8,12,6,4,2,0.833,1,0,0,,0,0
BAEYENS,Leon,BRA,5,8,3,3,2,0.750,1,0,0,,0,0
BAGUET,Louise,GRE,9,1,1,0,0,1.000,0,0,0,,0,0
BENEDET,Massimo,SER,14,32,28,4,0,1.000,2,18,0,100.0,0,0
BENJAMIN,Bauweraerts,BOR,16,6,2,1,3,0.500,0,0,0,,0,0
BERNARD,Clément,BRI,7,4,3,0,1,0.750,0,7,0,100.0,0,0
BERNARD,Clément,BRI,11,11,2,3,6,0.455,1,0,0,,0,0
BERNARD,Daniel,BIN,12,9,8,1,0,1.000,0,10,0,100.0,0,0
BEYENS,Jayden,HOB,10,11,2,4,5,0.545,0,0,0,,0,0
BODART,Tristan,AND,7,2,1,1,0,1.000,0,0,0,,0,0
BOECKMANS,Charlot,GRE,6,14,13,1,0,1.000,0,0,0,,0,0
BOECKMANS,Margot,GRE,15,95,80,9,6,0.937,0,77,6,92.8,4,0
BOGAERTS,Imke,MER,4,3,0,2,1,0.667,0,0,0,,0,0
BOGAERTS,Imke,MER,2,4,3,1,0,1.000,1,0,0,,0,0
BONAVENTURE,Barnabé,BRI,6,5,2,2,1,0.800,0,0,0,,0,0
BRODEOUX,Elias,OOS,14,65,58,3,4,0.938,0,37,1,97.4,6,0
BUYTAERT,Tyben,WIE,6,2,2,0,0,1.000,0,0,0,,0,0
CADIOU,Louis,BRU,19,27,20,6,1,0.963,2,17,0,100.0,3,0
CASARIN,Noé,SER,19,7,6,1,0,1.000,2,5,0,100.0,0,0
CASTELAIN,Ernest,WBA,7,1,1,0,0,1.000,0,0,0,,0,0
CATTEEUW,Elie,POP,9,2,2,0,0,1.000,0,0,0,,0,0
CHIELENS,Nestor,GEN,21,9,6,3,0,1.000,0,11,0,100.0,0,0
CHOU,Jun-Dao,HOB,17,29,20,9,0,1.000,0,6,0,100.0,0,0
CLEEREN,Ethan,BRI,8,5,1,1,3,0.400,0,0,0,,0,0
CLEMENT,Juan,WIE,7,1,1,0,0,1.000,0,0,0,,0,0
CLEMHOUT,Thibeau,OUD,4,2,2,0,0,1.000,0,0,0,,0,0
CLINCKART,Justin,NAM,11,13,10,3,0,1.000,1,5,0,100.0,0,0
CLOOSTERMANS,Yinai,HEI,14,22,21,1,0,1.000,1,0,0,,0,0
COECK,Lewis,CAN,2,1,1,0,0,1.000,0,0,0,,0,0
COGET,Loïc,POP,11,7,6,0,1,0.857,0,51,0,100.0,4,0
COURTOIS,Cosmo,BRU,6,1,0,1,0,1.000,0,0,0,,0,0
CROON,Nathan,BRI,18,21,12,4,5,0.762,1,10,0,100.0,3,0
CVILIC,Sacha,AND,5,1,1,0,0,1.000,0,0,0,,0,0
DAELMAN,Lyano,BRA,1,2,1,1,0,1.000,1,0,0,,0,0
DAEMS,Tibo,HOB,14,89,78,6,5,0.944,0,24,2,92.3,4,0
DE BOCK,Carlos,WBA,12,8,6,1,1,0.875,0,0,0,,0,0
DE BOCK,Vince,WBA,15,10,3,4,3,0.700,0,2,0,100.0,0,0
DE BRAUWER,Maxime,BRA,6,2,0,2,0,1.000,0,0,0,,0,0
DE CLERCQ,Ferre,OUD,30,34,23,8,3,0.912,1,16,1,94.1,0,0
DE COCK,Tine,OUD,8,6,2,3,1,0.833,0,0,0,,0,0
DE LAET,Benjamin,BRA,5,3,2,0,1,0.667,0,0,0,,0,0
DE LANDY,Josh-Arthur,BRI,11,8,5,1,2,0.750,0,24,0,100.0,13,0
DE LANGHE,Sander,OOS,25,20,8,8,4,0.800,1,11,1,91.7,0,0
DE LANNOY,Vince,BRA,12,9,7,1,1,0.889,0,0,0,,0,0
DE MAERE,Luca,WBA,15,18,18,0,0,1.000,0,0,0,,0,0
DE NEEF,Ilian,MER,10,10,6,3,1,0.900,2,0,0,,0,0
DE QUINT,Mil,BRA,12,20,6,12,2,0.900,0,3,0,100.0,1,0
DE RUYVER,Nathan,GEN,5,1,0,1,0,1.000,0,0,0,,0,0
DE SMET,Fay,WIE,7,18,15,3,0,1.000,0,16,0,100.0,3,0
DE SMET,Kobe,ZOT,24,16,6,3,7,0.563,1,7,0,100.0,0,0
DE SNIJDER,Gabriël,MER,13,14,7,4,3,0.786,1,35,0,100.0,1,0
DE VALCK,Jitse,MER,18,16,7,8,1,0.938,2,8,0,100.0,0,0
DE VISSCHER,Kjell,MER,17,5,1,4,0,1.000,0,4,1,80.0,0,0
DECLERCQ,Nono,OOS,13,1,0,0,1,0.000,0,0,0,,0,0
DELORY,Oscar,NAM,22,49,38,8,3,0.939,0,50,0,100.0,7,0
DELTOMBE,Tristan,BIN,5,1,1,0,0,1.000,0,0,0,,0,0
DEMIRI,Elisa,HOB,8,2,0,1,1,0.500,0,0,0,,0,0
DENYS,Lieze,POP,10,1,1,0,0,1.000,0,0,0,,0,0
DEPAGIE,Sarah,MSG,5,1,1,0,0,1.000,0,0,0,,0,0
