Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ADLER,Eric,USA,1,1,0,1,0,1.000,0,0,0,,0,0
ADOLFO,Micker,DOM,2,1,1,0,0,1.000,0,0,0,,0,0
ADRIANZA,Ehire,VEN,4,7,3,4,0,1.000,1,0,0,,0,0
AGRAZAL,Dario,PAN,1,1,0,0,1,0.000,0,0,0,,0,0
ALCÁNTARA,Arismendy,DOM,2,3,3,0,0,1.000,0,0,0,,0,0
ALVAREZ,Andres,MEX,4,17,4,13,0,1.000,3,0,0,,0,0
AMARISTA,Alexi,VEN,5,9,4,5,0,1.000,0,0,0,,0,0
ARCIA,Francisco,VEN,3,16,16,0,0,1.000,0,1,0,100.0,0,0
ARRUEBARRUENA,Erisbel,CUB,2,9,3,6,0,1.000,2,0,0,,0,0
BALDWIN,Drake,USA,3,21,21,0,0,1.000,0,0,0,,0,0
BARRERA,Tres,MEX,2,8,8,0,0,1.000,0,0,0,,1,0
BAZZANA,Travis,AUS,1,6,3,3,0,1.000,0,0,0,,0,0
BERMUDEZ,Jonathan,PUR,1,2,0,2,0,1.000,0,0,0,,0,0
BOJARSKI,Ulrich,AUS,1,3,3,0,0,1.000,0,0,0,,0,0
CAMARGO,Johan,PAN,3,7,1,6,0,1.000,0,0,0,,0,0
CASTILLO,Diego,VEN,5,9,2,6,1,0.889,1,0,0,,0,0
CASTILLO,Luis,PAN,4,4,4,0,0,1.000,0,0,0,,0,0
CEBALLOS,Sabin,PUR,4,15,5,10,0,1.000,2,0,0,,0,0
CENTENO,Juan,PUR,4,24,22,2,0,1.000,1,7,1,87.5,0,0
CESPEDES,Ricardo,DOM,2,5,4,0,1,0.800,0,0,0,,0,0
CHEN,Chen-Wei,TPE,2,2,2,0,0,1.000,0,0,0,,0,0
CHIANG,Kun-Yu,TPE,2,9,1,8,0,1.000,2,0,0,,0,0
CHOI,Ji Min,KOR,1,1,0,1,0,1.000,0,0,0,,0,0
CHOI,Wonjun,KOR,1,1,1,0,0,1.000,0,0,0,,0,0
CHU,Yu-Hsien,TPE,2,21,20,1,0,1.000,2,0,0,,0,0
CLEMENTINA,Hendrik,NED,5,31,30,1,0,1.000,0,2,1,66.7,0,0
CORTES,Carlos,PUR,4,4,4,0,0,1.000,0,0,0,,0,0
CRAWFORD,Justin,USA,4,6,6,0,0,1.000,0,0,0,,0,0
CROES,Dayson,NED,3,1,0,0,1,0.000,0,0,0,,0,0
CRUZ,Jesus,MEX,3,1,0,1,0,1.000,0,0,0,,0,0
CRUZ,Luis,PUR,3,2,0,2,0,1.000,0,0,1,0.0,0,0
DE BLOK,Tom,NED,1,1,1,0,0,1.000,0,0,0,,0,0
DE LEÓN,Michael,DOM,2,8,3,5,0,1.000,3,0,0,,0,0
DEVANNEY,Cam,USA,1,1,1,0,0,1.000,0,0,0,,0,0
DEVERS,José,DOM,2,8,3,5,0,1.000,3,0,0,,0,0
DIAZ,Randal,PUR,2,2,0,1,1,0.500,0,0,0,,0,0
DIDDER,Ray-Patrick,NED,5,14,13,1,0,1.000,1,0,0,,0,0
DRAKE,Yadir,CUB,2,4,4,0,0,1.000,0,0,0,,0,0
ELKO,Tim,USA,2,10,10,0,0,1.000,1,0,0,,0,0
EVANS,Phillip,MEX,4,15,3,12,0,1.000,2,0,0,,0,0
FELIX,Edrick,PUR,2,2,1,1,0,1.000,1,0,0,,0,0
FERNÁNDEZ,Pedro,DOM,1,1,0,1,0,1.000,0,0,0,,0,0
FLORENTINO,Randy,DOM,1,10,9,0,1,0.900,0,1,0,100.0,0,1
FLORES,Ramon,VEN,4,3,3,0,0,1.000,0,0,0,,0,0
FRANCO,Enderson,VEN,3,1,0,1,0,1.000,0,0,0,,0,0
GAITAN,Alonso,MEX,4,7,6,1,0,1.000,0,0,0,,0,0
GENDA,Sosuke,JPN,1,1,0,1,0,1.000,0,0,0,,0,0
GEORGE,Darryl,AUS,1,1,0,1,0,1.000,0,0,0,,0,0
GLENDINNING,Robbie,AUS,1,7,3,3,1,0.857,0,0,0,,0,0
GONZALES,Fernando,PAN,4,32,29,3,0,1.000,0,4,2,66.7,0,0
GONZÁLEZ,Pedro,DOM,2,3,3,0,0,1.000,0,0,0,,0,0
GREGORIUS,Didi,NED,5,16,3,12,1,0.938,1,0,0,,0,0
GUERRERO,Alberto,PAN,2,1,0,1,0,1.000,0,0,0,,0,0
GUIBERT,Yoelkis,CUB,2,3,2,0,1,0.667,0,0,0,,0,0
GUTIERREZ,Kelvin,DOM,2,8,4,3,1,0.875,1,0,0,,0,0
GUYER,Josh,AUS,1,1,0,1,0,1.000,0,0,0,,0,0
HELDER,Eugene,NED,2,6,6,0,0,1.000,0,0,0,,0,0
HERNANDEZ,Kenny,PAN,1,1,0,0,1,0.000,0,0,0,,0,0
HERNANDEZ,Luis,PUR,1,2,2,0,0,1.000,0,0,0,,0,0
HERNANDEZ,Pavel,CUB,1,1,0,1,0,1.000,0,0,0,,0,0
HINOJOSA,C.J.,MEX,2,4,0,4,0,1.000,0,0,0,,0,0
HONG,Changki,KOR,2,5,5,0,0,1.000,0,0,0,,0,0
INOUE,Haruto,JPN,1,1,0,1,0,1.000,0,0,1,0.0,0,0
JOHNSON,Termarr,USA,4,13,3,10,0,1.000,2,0,0,,0,0
KELLY,Kevin,NED,2,1,1,0,0,1.000,0,0,0,,0,0
KEMP,Dwayne,NED,5,6,6,0,0,1.000,0,0,0,,0,0
KENNEDY,Jon,AUS,1,1,0,1,0,1.000,0,0,0,,0,0
KIM,Doyeong,KOR,2,7,3,4,0,1.000,1,0,0,,0,0
KIM,Hyungjun,KOR,1,3,3,0,0,1.000,0,0,0,,0,0
KIM,Juwon,KOR,1,3,1,2,0,1.000,1,0,0,,0,0
KOZONO,Kaito,JPN,1,1,1,0,0,1.000,0,0,0,,0,0
KUREBAYASHI,Kotaro,JPN,1,3,0,3,0,1.000,0,0,0,,0,0
KURIHARA,Ryoya,JPN,1,3,1,2,0,1.000,0,0,0,,0,0
LAWRENCE,Casey,USA,1,1,0,1,0,1.000,0,0,0,,0,0
LEE,Juhyeong,KOR,1,1,1,0,0,1.000,0,0,0,,0,0
LI,Kai-Wei,TPE,2,11,3,8,0,1.000,2,0,0,,0,0
LIN,Chia-Cheng,TPE,2,21,19,2,0,1.000,0,2,0,100.0,0,0
LIN,Li,TPE,2,4,4,0,0,1.000,0,0,0,,0,0
LIN,Yu-Min,TPE,1,3,1,1,1,0.667,0,0,0,,0,0
MACIVER,Willie,USA,2,18,14,4,0,1.000,1,2,1,66.7,1,0
MAKI,Shugo,JPN,1,7,6,1,0,1.000,0,0,0,,0,0
MARTINEZ,Ariel,CUB,2,15,14,1,0,1.000,2,0,0,,0,0
MENDOZA,Abdiel,PAN,2,1,0,1,0,1.000,0,0,0,,0,0
MENENDEZ,Antonio,USA,1,1,0,1,0,1.000,0,0,0,,0,0
MIESES,Luís,DOM,1,3,2,1,0,1.000,0,0,0,,0,0
MIRANDA,Kevin,PAN,1,1,1,0,0,1.000,0,0,0,,0,0
MIRANDA,Luis,MEX,1,1,0,1,0,1.000,0,0,0,,0,0
MONCADA,Yoan,CUB,2,6,1,5,0,1.000,0,0,0,,0,0
MOON,Bogyeong,KOR,2,16,16,0,0,1.000,2,0,0,,0,0
MORISHITA,Shota,JPN,1,2,2,0,0,1.000,0,0,0,,0,0
MUJICA,Yadir,CUB,2,8,4,3,1,0.875,0,0,0,,0,0
MUÑOZ,Edgard,PAN,4,21,6,15,0,1.000,2,0,0,,0,0
NEUNBORN,Mitch,AUS,1,1,1,0,0,1.000,0,0,0,,0,0
NÚÑEZ,Rainer,DOM,2,14,13,1,0,1.000,4,0,0,,0,0
ORNELAS,Julian,MEX,4,10,9,1,0,1.000,0,0,0,,0,0
PAGAN,Ezequiel,PUR,4,9,9,0,0,1.000,0,0,0,,0,0
PALACIOS,Jermaine,VEN,5,11,4,7,0,1.000,0,0,0,,0,0
PAN,Chieh-Kai,TPE,2,4,1,3,0,1.000,0,0,0,,0,0
PARK,Dongwon,KOR,2,13,12,0,1,0.923,0,0,0,,0,0
PARK,Seonghan,KOR,1,4,0,4,0,1.000,0,0,0,,0,0
PERALTA,Wily,DOM,1,1,0,1,0,1.000,0,0,0,,0,0
