Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
ABURTO,Enmanuel,NCA,7,31,30,1,0,1.000,0,4,0,100.0,0,0
ACEVEDO PIÑEREZ,David Esteban,COL,2,1,0,1,0,1.000,0,0,0,,0,0
AIBA,Kanta,JPN,7,20,7,12,1,0.950,4,0,0,,0,0
ALBIR,Jared,NCA,3,2,0,1,1,0.500,0,0,0,,0,0
ANTONIA,Donovan,NED,8,28,9,16,3,0.893,2,0,0,,0,0
ARIMA,Ryo,JPN,5,31,31,0,0,1.000,0,0,0,,0,0
ARMAS ROMERO,Gustavo Armando,COL,5,5,5,0,0,1.000,0,0,0,,0,0
ARMSTRONG,Byron,AUS,6,3,1,1,1,0.667,1,0,0,,0,0
ARROYO PADILLA,Carlos Andres,COL,7,22,12,10,0,1.000,2,0,0,,0,0
BELTRAN MENDOZA,Nolan Andres,COL,8,16,10,6,0,1.000,2,0,0,,0,0
BENNETT,Godwin,NCA,9,2,1,0,1,0.500,0,0,0,,0,0
BLANCO MONTES,Santiago,COL,2,3,1,2,0,1.000,0,0,0,,0,0
BONACI MARÍN,Brainer Alfredo,VEN,8,21,5,15,1,0.952,1,0,0,,0,0
BORRERO BRICEÑO,Dario Andres,COL,8,40,36,4,0,1.000,4,0,0,,0,0
BRICKHILL,Tyron Rory,RSA,7,14,13,1,0,1.000,1,0,0,,0,0
BRITTON,Darren,NCA,8,4,4,0,0,1.000,0,0,0,,0,0
BROOKES,Jamie Liam,RSA,7,6,6,0,0,1.000,0,0,0,,0,0
BURKE,Chris,AUS,8,6,6,0,0,1.000,0,0,0,,0,0
BURNS,Jake,AUS,3,27,27,0,0,1.000,1,4,0,100.0,2,0
CAMPBELL,Keenan Luke,RSA,2,2,0,1,1,0.500,0,0,0,,0,0
CASIMIRI,Jiorgeny,NED,3,1,1,0,0,1.000,0,0,0,,0,0
CASTILLO BORJAS,Daniel Alejandro,VEN,7,24,3,20,1,0.958,5,0,0,,0,0
CASTILLO SALAS,Lewis José,VEN,8,7,7,0,0,1.000,0,0,0,,0,0
CASTRO,Edmerson,NCA,9,10,8,1,1,0.900,0,0,0,,0,0
