Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
BÖHLER,Hubert,HB,0,0,3.86,1,0,0,0,0,2.1,3,2,1,0,0,1,0,0,10,0.300,0,2,0,0,0,1,6
CAMPREGHER,Pascal,HB,0,0,9.82,2,0,0,0,0,3.2,4,4,4,7,2,0,0,0,14,0.286,1,0,0,1,0,3,6
CLAUSS,Jacob,GH,0,0,2.00,2,1,0,0,0,9.0,10,2,2,5,5,1,1,0,33,0.303,2,2,1,0,0,8,9
DUENAS,Omar,MS,0,1,5.01,4,4,0,0,0,23.1,17,15,13,7,16,1,0,3,87,0.195,3,7,0,1,1,28,25
FAULHABER,Julian,DD,0,1,9.00,1,1,0,0,0,4.0,6,5,4,3,5,1,0,0,19,0.316,0,0,0,0,0,1,6
GIARRAPUTO,Stefano,MS,2,0,4.50,4,1,1,0,0,14.0,11,11,7,13,12,2,0,1,52,0.212,6,0,0,1,1,17,11
GNEIST,Vitus,DD,0,0,9.00,1,0,0,0,0,2.0,1,3,2,2,1,0,0,1,7,0.143,0,0,0,0,0,1,2
HACKL,Mo,MS,1,0,3.27,2,2,0,0,0,11.0,10,5,4,6,7,3,0,0,43,0.233,2,3,0,0,0,12,12
HALPER,Lennard,VW,0,2,3.24,2,2,0,0,0,8.1,8,6,3,11,4,1,0,0,31,0.258,0,2,0,1,0,8,11
HERRERA GONZALEZ,Jose Antonio,BB,1,2,8.79,3,1,0,0,0,14.1,14,16,14,14,15,4,1,0,52,0.269,7,5,3,2,1,17,7
HICKS,Chance,MS,0,1,3.00,1,0,0,0,0,3.0,3,3,1,3,5,0,0,0,12,0.250,2,0,0,0,0,1,1
HOLMES JR,Timothy Allen,VW,2,0,1.50,3,3,0,0,0,18.0,13,6,3,8,27,0,0,0,71,0.183,6,0,0,0,0,14,14
JAHN,Daniel,BB,0,0,0.00,1,0,0,0,0,2.0,4,2,0,0,0,2,0,0,10,0.400,0,1,0,0,0,2,3
KIENBERGER,Alexander,DD,0,0,9.00,3,0,0,0,0,4.0,4,4,4,5,2,1,0,1,16,0.250,1,0,0,0,0,5,5
KUMADA,Ryo,IN,0,1,5.25,2,1,0,0,0,12.0,12,7,7,8,14,1,0,0,44,0.273,6,2,0,1,0,11,8
LETOUZÉ,Thierry,BB,0,0,5.23,3,3,0,0,0,10.1,10,7,6,11,12,4,0,1,40,0.250,2,2,0,0,0,9,8
LUGER,Maximilian,IN,1,0,1.69,2,0,1,0,0,5.1,3,1,1,4,5,0,0,0,18,0.167,1,1,0,0,0,4,6
MAIER,Levin,HB,0,0,10.80,2,0,0,0,0,1.2,1,2,2,0,1,0,0,0,6,0.167,0,2,1,1,0,2,3
MC GARRY,Eoghan,DD,3,0,2.25,3,2,0,0,0,16.0,15,5,4,6,14,1,0,0,62,0.242,2,1,1,0,1,19,15
MC KENZIE,Quinn,BB,0,0,6.75,2,2,0,0,0,6.2,4,6,5,8,4,1,0,0,25,0.160,3,5,1,0,0,10,5
MCKEE,Tyson John,GH,1,1,1.93,2,2,0,0,0,14.0,9,4,3,1,21,4,0,0,51,0.176,0,0,0,1,0,11,9
MONOT,Maurice,VW,0,1,2.70,1,0,0,0,0,3.1,2,1,1,0,1,0,0,1,12,0.167,1,3,0,0,0,3,6
MÜLLER,Maximilian,GH,0,0,20.25,1,0,0,0,0,1.1,3,11,3,7,0,1,0,0,9,0.333,2,0,0,0,0,2,1
NIEDERL,Nicolas,BB,0,2,2.25,3,0,0,0,0,8.0,7,4,2,7,5,0,0,0,30,0.233,0,2,0,0,2,7,10
PALMA FERNANDEZ,Kelvis Alexander,HB,1,1,4.02,3,2,0,0,0,15.2,14,13,7,9,28,5,0,0,65,0.215,2,1,0,0,0,12,6
RAUNIGGER,Jan,GH,0,1,13.50,1,1,0,0,0,2.0,3,3,3,5,3,0,0,0,9,0.333,1,0,0,0,0,1,2
REYES,Peter,VW,0,0,1.80,2,0,2,0,0,5.0,2,1,1,1,4,1,0,0,17,0.118,0,0,0,0,0,5,5
RUPP,Ryan,IN,1,0,4.30,2,2,0,0,0,14.2,19,8,7,4,18,4,0,1,60,0.317,0,0,0,2,2,15,10
SCHADLER,Nicholas,MS,2,0,2.13,4,0,1,0,0,12.2,13,4,3,6,5,1,0,0,47,0.277,0,4,0,1,1,21,9
SCHAFFER,Jakob,GH,0,1,14.54,2,0,0,0,0,4.1,7,7,7,6,7,0,0,0,20,0.350,1,2,0,0,0,3,3
SCHEICHER,Klaus,DD,0,0,2.25,2,1,1,0,0,8.0,6,2,2,2,8,0,0,1,30,0.200,0,0,0,0,0,12,3
SCHNETZER,Hannes,HB,0,0,9.00,3,0,0,0,0,2.0,2,2,2,3,1,0,0,0,8,0.250,0,0,0,0,0,1,4
SCHÜTZ,Lukas,BB,1,0,15.43,4,0,0,0,0,7.0,14,13,12,8,7,2,1,1,34,0.412,4,2,0,2,0,5,8
SIMONSEN,Jakob,MS,1,0,3.38,2,1,0,0,0,8.0,10,4,3,0,7,2,0,2,34,0.294,0,0,0,0,0,12,4
SQUIRES,Chris,IN,1,0,0.00,2,1,0,0,0,9.0,6,1,0,2,8,0,0,0,30,0.200,0,0,0,1,1,8,10
