Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ANTONAC,Yoan,MPT,0,0,0.00,2,0,0,0,0,2.0,1,0,0,0,1,0,0,0,6,0.167,0,1,0,0,0,1,2
ASTNER,Moritz,DD,0,0,54.00,1,0,0,0,0,0.1,2,2,2,3,0,1,0,0,3,0.667,0,0,1,0,0,0,1
BALBOA,Jorge,AST,0,1,11.37,2,2,0,0,0,6.1,9,8,8,1,6,3,0,0,25,0.360,1,2,0,0,1,8,3
BENEMACHER,Louis,MON,0,0,0.00,1,0,0,0,0,0.0,1,3,3,2,0,0,0,1,1,1.000,1,0,0,0,0,0,0
BOSANAC,Bartol,BOK,0,0,13.50,1,0,0,0,0,0.2,1,1,1,0,0,0,0,1,2,0.500,0,0,0,0,0,1,0
BRAUNER,Jacob,DD,0,0,18.00,1,0,0,0,0,1.0,3,2,2,1,0,1,0,0,6,0.500,0,0,0,0,0,0,3
BROSSIER,Paolo,MPT,0,0,36.00,1,0,0,0,0,1.0,2,4,4,4,0,1,0,0,4,0.500,3,1,0,0,0,1,1
CANELON,Kevin,MPT,1,0,2.70,2,1,0,0,0,6.2,4,2,2,2,6,0,0,2,24,0.167,1,0,0,0,0,3,11
DECENA,Roibert,AST,1,0,0.00,1,0,0,0,0,1.0,1,0,0,1,3,0,0,0,4,0.250,0,0,0,0,0,0,0
DELEAU,Corentin,MPT,0,1,9.53,3,1,0,0,0,5.2,11,6,6,3,0,2,0,0,25,0.440,0,0,0,0,0,6,8
DESRUMEAUX,Lucas,MON,0,0,11.25,2,0,0,0,0,4.0,5,5,5,6,3,0,0,1,17,0.294,1,2,0,0,0,5,4
DIAZ,Jose,MAR,1,0,1.50,1,1,0,1,0,6.0,3,1,1,0,8,1,0,0,22,0.136,2,1,0,0,0,6,5
DITTRICH,Felix,MS,0,0,18.00,1,0,0,0,0,1.0,2,2,2,0,1,0,0,2,5,0.400,0,0,0,0,0,2,0
DUENAS,Omar,MS,0,0,14.40,2,0,0,0,0,5.0,9,9,8,2,3,4,0,0,23,0.391,1,2,1,2,0,5,7
FRANCO,Yancarlo,MAR,0,0,0.00,2,0,0,0,0,2.0,2,0,0,1,2,0,0,0,7,0.286,0,0,0,0,0,3,0
GARCIA TRONCOSO,Carlos Eduardo,BOK,1,1,8.44,2,2,0,0,0,10.2,14,11,10,10,10,4,0,0,42,0.333,2,1,2,0,1,11,7
GERDEL NIETO,Anderson Denny,DEU,0,1,4.85,2,2,0,0,0,13.0,15,8,7,1,16,1,0,2,54,0.278,1,0,0,1,2,15,9
GIARRAPUTO,Stefano,MS,0,1,8.44,2,1,0,0,0,5.1,6,7,5,6,2,1,0,0,22,0.273,1,1,0,1,0,5,8
GNEIST,Vitus,DD,0,0,0.00,1,1,0,0,0,3.0,2,0,0,0,3,0,0,0,9,0.222,0,0,0,0,0,1,3
GOJKOVIĆ,Kruno,BOK,1,0,7.20,1,1,0,0,0,5.0,5,4,4,3,0,2,0,1,18,0.278,0,0,0,0,0,10,3
GOSSELIN,DANIEL PETER,MPT,0,1,15.75,2,1,0,0,0,4.0,5,8,7,6,3,1,0,1,18,0.278,3,0,0,0,0,3,6
GRISOT GARBACZ,Kiyoshi,MON,0,1,189.00,1,1,0,0,0,0.1,1,7,7,6,1,0,0,0,2,0.500,1,0,1,0,0,0,0
GUESMIA,Ahmed-Zakaria,MON,0,0,15.00,2,0,0,0,0,3.0,3,5,5,4,2,0,0,0,11,0.273,2,0,0,1,0,3,4
HACKL,Mo,MS,0,1,12.00,1,1,0,0,0,3.0,4,4,4,5,4,1,0,0,12,0.333,2,0,0,0,0,2,2
HERNANDEZ ESPINOSA,Ruben,MAR,1,0,0.00,1,0,0,0,0,1.0,0,0,0,1,2,0,0,0,3,0.000,0,0,0,0,0,1,0
HERNANDEZ SARAO,Eder,DEU,0,0,81.00,1,0,0,0,0,0.2,6,6,6,0,0,2,0,1,8,0.750,0,1,0,0,0,0,2
HERNÁNDEZ,Ricardo,AST,0,0,4.05,3,0,2,0,0,6.2,6,3,3,2,6,2,0,1,26,0.231,2,0,1,0,0,6,8
HONORA,Zael,AST,1,0,7.88,1,1,0,0,0,8.0,15,8,7,5,7,3,0,2,40,0.375,2,0,1,0,0,10,7
KARIN,Pavao,BOK,0,1,8.59,2,1,0,0,0,7.1,18,13,7,1,0,6,0,1,39,0.462,0,2,0,2,0,8,13
KHOURY,Nicolas,MPT,0,0,18.00,1,0,0,0,0,1.0,2,2,2,1,1,1,0,0,5,0.400,1,1,0,0,0,1,1
KIENBERGER,Alexander,DD,0,1,9.00,2,1,0,0,0,4.0,8,5,4,3,2,0,0,0,19,0.421,2,0,1,0,0,4,5
LARRINAGA OCAMPO,Jose Luis,DEU,0,1,40.50,1,1,0,0,0,2.0,8,9,9,2,3,2,0,2,14,0.571,0,0,2,0,0,2,1
LEABOURN,Henry,DD,0,0,108.00,1,0,0,0,0,0.1,1,4,4,4,0,0,0,0,2,0.500,1,0,0,0,0,1,0
LOPEZ TEQUEDOR,Yorfrank Manuel,MON,1,0,0.00,1,1,0,1,1,9.0,5,0,0,3,10,0,1,0,30,0.167,1,0,1,0,0,9,6
MASTRE ARCIA,Robinson José,MON,0,1,5.19,1,1,0,1,0,8.2,8,5,5,7,5,1,1,0,35,0.229,0,0,0,0,0,12,10
MC GARRY,Eoghan,DD,0,1,12.46,2,1,0,0,0,4.1,6,6,6,6,2,1,1,0,15,0.400,0,1,0,1,2,2,8
MITROVIĆ,Ivan,BOK,0,0,0.00,1,0,0,0,0,0.1,1,0,0,1,0,1,0,0,2,0.500,0,0,0,0,0,1,0
MONBEIG,Maximim,MON,0,0,162.00,1,0,0,0,0,0.1,2,6,6,3,0,1,0,0,3,0.667,0,1,0,0,0,0,1
