Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
BRUCE,Alexander Addison,BAR,1,0,0.00,2,0,0,0,0,3.1,3,1,0,0,1,0,0,0,13,0.231,0,1,0,0,1,2,7
BRÜDERLI,Tim,BAR,0,0,13.50,2,0,0,0,0,2.0,4,3,3,2,2,1,0,0,10,0.400,1,0,2,0,0,4,0
BUNDI,Fabio Nico,BAR,0,0,6.00,1,1,0,0,0,3.0,2,3,2,1,3,0,1,0,10,0.200,0,1,0,0,1,3,3
BÄR,Friedrich,BAR,0,1,7.20,1,0,0,0,0,5.0,6,5,4,4,0,0,0,0,19,0.316,2,1,0,1,1,5,10
BÖRJES,Sam,RAT,0,0,3.86,2,1,0,0,0,7.0,6,4,3,5,10,1,0,0,24,0.250,1,2,0,0,2,6,4
CUEVAS,Jamie,MBI,0,0,9.00,2,1,0,0,0,10.0,16,10,10,4,2,1,2,1,45,0.356,0,0,0,2,0,14,14
DESMEDT,Kevin,HOB,1,0,0.00,2,1,1,0,0,9.0,4,0,0,1,6,1,0,0,32,0.125,0,0,0,0,0,9,11
FARRELL,Leo,MBI,0,1,18.00,1,0,0,0,0,1.0,0,2,2,2,1,0,0,0,4,0.000,0,1,0,0,0,0,2
FLAHERTY,Thomas,LDM,0,0,4.50,2,1,0,0,0,6.0,7,4,3,4,11,1,0,0,25,0.280,1,0,0,0,0,4,2
HENDRICKX,Zane,HOB,0,0,0.00,2,0,0,0,0,2.0,0,0,0,0,3,0,0,0,7,0.000,0,0,0,0,0,2,1
HIMMELSBACH,Fynn Principato,BAR,0,1,1.93,2,0,0,0,0,4.2,4,4,1,5,2,0,0,0,18,0.222,2,1,1,0,0,5,5
JERFSTEN,Olle,RAT,0,0,14.40,2,0,0,0,0,5.0,12,8,8,1,2,2,0,0,25,0.480,1,0,2,0,0,7,4
JOHNSON,Benjamin,RAT,1,1,3.38,2,1,0,0,0,8.0,7,3,3,1,7,1,0,0,30,0.233,1,2,0,0,0,6,9
JOHNSON,Jan-Mikael,RAT,0,0,0.00,1,0,0,0,0,1.0,1,0,0,0,1,0,0,0,4,0.250,0,0,0,0,0,0,2
JOHNSON,Joel,RAT,1,0,1.00,1,1,0,1,0,9.0,4,2,1,5,8,0,0,0,29,0.138,0,3,2,0,0,6,9
KELLY,James Ian,MBI,1,0,0.00,1,1,0,0,0,6.0,5,0,0,2,10,0,0,0,23,0.217,1,0,0,0,0,4,4
LAWSON,Tosh,LDM,0,0,0.00,1,0,0,0,0,6.0,6,0,0,2,6,1,0,0,24,0.250,0,0,0,0,0,6,6
LUTZ,Tiago,BAR,0,0,5.40,1,0,0,0,0,1.2,3,1,1,3,1,0,0,0,7,0.429,0,0,0,0,0,2,1
MARQVARDSEN,Povl Erik,RAT,0,0,2.25,2,1,0,0,0,4.0,2,1,1,3,4,0,0,0,13,0.154,0,0,0,0,1,5,2
MCLAUGHLIN,Ryan,LDM,0,0,1.29,1,1,0,0,0,7.0,7,2,1,1,6,1,0,0,29,0.241,1,0,0,0,0,5,9
MESSER,Chris,LDM,0,1,6.43,2,1,1,0,0,7.0,8,6,5,5,10,0,0,0,29,0.276,3,0,1,0,1,5,5
MINFORD,Rich,LDM,1,1,3.86,2,0,0,0,0,4.2,5,3,2,2,4,1,0,0,17,0.294,0,2,0,0,2,7,2
MITCHELL,Patrick,MBI,0,1,4.50,2,1,1,0,0,6.0,4,4,3,7,3,0,0,0,20,0.200,0,0,0,1,1,3,10
MONTAG,Benjamin,BAR,0,0,1.50,2,0,0,0,0,6.0,2,2,1,3,1,1,0,0,18,0.111,0,1,1,0,0,5,9
RIZZI,Lucas,HOB,1,0,3.86,1,1,0,1,0,7.0,9,3,3,1,6,0,0,0,26,0.346,0,1,0,0,0,3,8
SAVOLDELLI,Cee-Jay Eduard,BAR,0,1,10.80,2,2,0,0,0,3.1,7,10,4,5,1,1,0,0,17,0.412,6,0,0,0,3,5,4
SOLLECITO,Pietro,LDM,0,0,27.00,1,0,0,0,0,1.0,5,3,3,0,0,0,0,0,7,0.714,1,1,0,0,0,1,1
UNUNGER,Pontus,RAT,1,1,10.50,2,1,0,0,0,6.0,10,8,7,3,4,0,0,2,29,0.345,0,1,0,0,0,8,5
VAN LANDUYT,Ruben,HOB,1,0,3.00,2,1,0,0,0,6.0,3,2,2,4,4,0,0,0,20,0.150,0,1,0,0,0,6,7
VAN NUFFEL,Ben,HOB,2,0,0.75,2,2,0,0,0,12.0,8,3,1,2,12,2,0,1,44,0.182,0,1,0,0,0,12,11
VAN NUFFEL,Sam,HOB,0,0,0.00,2,0,0,0,0,3.0,3,0,0,0,3,0,0,0,12,0.250,1,0,0,0,0,4,2
VERSPREET,Brendan,HOB,0,0,3.00,3,0,0,0,0,3.0,1,2,1,2,2,1,0,0,10,0.100,1,1,0,0,1,4,3
VOM SCHEIDT,Mitchell,LDM,0,1,9.00,1,1,0,0,0,3.0,7,6,3,2,4,3,0,0,16,0.438,0,0,0,1,0,3,2
VONDERSCHMITT,Kevin Patrick,BAR,0,0,5.40,1,1,0,0,0,5.0,5,3,3,3,4,1,0,0,18,0.278,0,0,0,1,0,3,7
WOODBURNE,Daniel John,MBI,0,1,13.97,3,1,0,1,0,9.2,19,15,15,4,5,3,0,0,39,0.487,4,4,0,5,2,8,14
