Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
Bermudez,Jose,WILDF,10,0,,10,10,0,9,1,59.2,113,74,67,18,3,31,12,6,284,,10,4,0,,,,
Hidalgo,Alexander,LEONE,0,2,,4,2,0,1,0,18.2,44,34,29,12,3,14,1,1,95,,9,2,1,,,,
Afonso,Carlos,LEONE,2,4,,7,6,0,3,0,21.2,53,43,42,10,4,9,4,2,108,,3,5,0,,,,
Nicolas,Denichel,WILDF,0,0,,1,0,1,0,0,1.1,1,0,0,0,0,0,1,0,5,,0,0,0,,,,
Jorrin,Yoandry,WILDF,0,0,,1,0,0,0,0,0.0,0,1,0,1,0,0,0,0,1,,0,1,0,,,,
Lucena,Jose,MARIN,0,1,,1,1,0,1,0,7.0,19,18,13,3,0,3,6,4,39,,4,2,0,,,,
Rueda,Jose,MARIN,1,1,,2,2,0,2,0,9.0,22,18,18,5,1,4,3,4,48,,5,0,0,,,,
Goicoechea,Jose,MARIN,0,1,,2,1,0,1,0,5.2,9,12,12,7,0,1,1,0,24,,6,2,0,,,,
Gomez,Emilio,MARIN,0,2,,2,2,0,1,0,9.1,30,25,23,12,4,8,8,0,52,,0,0,0,,,,
Caraballo,Manuel,MARIN,1,1,,2,2,0,2,0,10.0,26,26,26,12,5,5,0,4,54,,3,2,1,,,,
Rodriguez,Arnaldo,LEONE,0,1,,1,1,0,0,0,2.0,3,7,7,4,0,0,0,1,9,,2,1,0,,,,
Perez,Eliezer,WILDF,0,1,,1,1,0,0,0,3.0,21,18,18,3,1,2,1,2,28,,1,0,0,,,,
Ozoria,Reinaldo,LEONE,0,0,,2,0,0,0,0,3.0,16,18,18,4,0,3,0,2,25,,0,0,0,,,,
Godoy,Gelson,LEONE,0,0,,1,0,0,0,0,0.2,4,5,4,3,0,1,0,0,7,,2,0,0,,,,
