Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
Carlos Macias,Juan,CARIB,2,1,,3,1,0,1,0,15.0,18,13,7,3,6,3,1,0,66,,3,2,0,,,,
Garces,Ivan,CARDE,3,2,,6,4,0,4,2,31.2,36,20,17,8,30,9,2,0,129,,9,3,0,,,,
Perez,Franklin,SENAD,4,1,,7,6,0,5,0,37.0,57,27,23,5,3,8,2,0,161,,1,3,0,,,,
Vera,Julio,LAS-V,1,1,,5,2,0,2,0,19.1,28,21,18,8,7,11,1,0,90,,4,6,0,,,,
Casares,Jonathan,CARDE,3,0,,4,4,0,2,0,20.1,33,22,20,10,4,10,1,1,92,,2,4,0,,,,
Rodriguez,Sergio,CARAC,3,4,,7,5,0,3,0,38.0,57,45,40,32,12,19,3,4,153,,13,5,1,,,,
Martinez,Daniel,CARAC,1,1,,5,3,0,2,0,16.2,30,25,19,3,4,7,1,2,84,,2,2,0,,,,
Lugo,Erickson,FAMIL,3,1,,6,3,0,2,0,23.2,33,34,27,17,14,11,4,3,104,,4,5,0,,,,
Hector,Joalber,LAS-V,2,4,,6,6,0,3,0,28.2,55,48,45,34,3,18,5,4,135,,6,4,0,,,,
Pereira,Yuberth,FAMIL,0,3,,3,1,0,0,0,9.0,16,18,15,14,2,4,0,0,39,,4,4,0,,,,
Musett,Por,CARIB,0,4,,5,4,0,4,0,24.0,48,49,44,40,3,14,4,3,114,,10,1,0,,,,
Exposito,Roberto,FAMIL,0,2,,6,3,0,0,0,10.2,23,36,33,26,2,5,1,3,51,,5,7,0,,,,
Cruz,Leonardo,FAMIL,0,0,,2,1,0,0,0,2.2,0,0,0,3,0,0,0,0,8,,2,0,0,,,,
Walo,Marco,CARDE,1,0,,1,0,0,0,0,1.2,1,3,0,1,0,0,0,0,7,,0,0,0,,,,
Anaya,Gerardo,LAS-V,0,0,,1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1,,0,0,0,,,,
Amaya,Manuel,SENAD,0,0,,1,0,0,0,0,0.1,1,0,0,1,0,0,0,0,2,,2,0,0,,,,
Senges,Jose,CARIB,0,0,,1,0,0,0,0,5.0,6,3,2,3,0,2,0,0,20,,0,0,0,,,,
Ismel Herrera,Mario,CARDE,0,0,,1,1,0,0,0,3.1,2,9,2,6,1,0,0,0,14,,0,2,0,,,,
Trujillo,Javier,SENAD,1,0,,1,1,0,1,0,4.0,9,6,6,1,3,1,1,1,21,,2,0,0,,,,
Aponte,Jordan,SENAD,1,0,,1,1,0,1,0,5.0,4,9,8,7,3,0,0,0,19,,3,3,0,,,,
Rodriguez,Alvaro,SENAD,1,1,,2,1,0,0,0,5.1,7,11,10,8,3,2,1,0,24,,4,3,0,,,,
Gonzalez,Miguel,LAS-V,0,0,,1,1,0,0,0,2.2,6,6,6,3,0,2,1,3,14,,0,1,0,,,,
Castilla,Miguel,CARIB,0,1,,1,1,0,0,0,2.0,5,8,7,6,0,1,2,1,10,,0,1,0,,,,
Fernandez,Yoatner,LAS-V,1,0,,1,0,0,0,0,1.0,3,4,4,4,1,1,0,0,4,,2,0,0,,,,
Hurtado,Wilson,FAMIL,0,0,,2,1,0,0,0,2.0,4,10,10,10,0,1,0,1,9,,1,1,0,,,,
Liendo,Alfredo,CARIB,0,0,,1,1,0,0,0,1.0,0,5,5,7,0,0,0,0,3,,2,2,0,,,,
Leon,Kay,CARAC,0,0,,1,1,0,0,0,1.0,4,5,5,3,0,0,0,0,7,,0,0,0,,,,
Mendez,Adrian,CARIB,0,1,,2,2,0,0,0,2.1,5,14,14,16,2,1,0,0,11,,6,0,0,,,,
Mosquera,Orlando,SENAD,0,0,,1,0,0,0,0,0.1,1,6,2,2,0,1,0,0,4,,5,1,0,,,,
