Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ANDRIES,Thibo,BOR,0,0,31.50,2,0,0,0,0,2.0,5,7,7,8,1,1,0,0,9,0.556,0,1,0,0,0,2,1
ANTOINE,Louis,BRU,0,0,14.46,3,1,0,0,0,9.1,5,15,15,15,15,0,0,0,32,0.156,5,5,0,1,0,9,4
BODART,Nathan,AND,0,1,72.00,1,1,0,0,0,1.0,6,15,8,8,2,2,0,0,10,0.600,5,1,0,0,0,1,0
BODART,Nathan,AND,0,0,40.50,1,0,0,0,0,0.2,1,3,3,2,2,1,0,0,3,0.333,0,1,0,0,0,0,0
BUSH,Will,BIN,1,0,3.75,2,1,0,1,0,12.0,12,6,5,2,24,0,0,0,49,0.245,4,1,0,0,0,8,3
CHATEL,Alexandre,MSG,1,1,22.50,3,2,0,0,0,6.0,5,17,15,20,4,2,1,0,20,0.250,2,1,0,0,0,5,5
COLART,Victor,BIN,1,1,9.00,2,2,0,0,0,8.0,4,11,8,14,12,0,1,0,32,0.125,4,2,0,0,0,7,6
COSSE,Florian,NAM,2,1,9.00,4,3,0,0,0,14.0,22,17,14,6,14,3,0,0,60,0.367,1,2,0,1,0,7,17
D'OLIVEIRA CARDO,Augustin,TOU,0,0,67.50,1,0,0,0,0,0.2,4,5,5,3,1,1,0,0,6,0.667,0,0,0,0,0,1,0
DE CLOEDT,Jelle,BOR,0,0,18.00,1,0,0,0,0,1.0,0,2,2,3,3,0,0,0,3,0.000,0,0,0,0,0,0,0
DE RYCK,Laureis,GRE,1,1,10.89,3,3,0,1,0,19.0,21,26,23,9,20,8,0,0,81,0.259,1,2,7,0,0,26,9
DELVENNE,David,AND,1,0,9.00,3,1,0,0,0,8.0,10,9,8,4,13,2,0,0,36,0.278,1,3,0,0,0,4,5
DELVENNE,Matthew,AND,0,0,81.00,2,0,0,0,0,2.1,6,22,21,16,3,3,0,0,13,0.462,1,5,0,0,0,0,2
DEPAEPE,Andrea,BRU,0,2,16.20,3,2,0,0,0,10.0,16,18,18,11,18,4,1,0,43,0.372,2,3,1,0,0,5,4
DRYL,Eryk,GRE,0,0,13.50,1,0,0,0,0,2.0,4,3,3,2,4,1,0,0,9,0.444,0,1,0,0,0,1,0
DUPONT,Aubin,AND,0,1,24.30,2,1,0,0,0,3.1,8,12,9,5,4,2,0,0,19,0.421,1,1,0,0,0,3,1
DUPONT,Aubin,AND,1,0,3.00,1,1,0,0,0,6.0,5,5,2,0,8,0,0,0,24,0.208,0,2,0,0,0,3,3
FOUREZ,Youri,TOU,0,0,70.20,4,0,0,0,0,1.2,13,13,13,3,1,2,0,0,19,0.684,0,2,0,0,0,0,4
GEUQUET,Ludovic,NAM,0,0,20.25,1,0,0,0,0,1.1,5,3,3,1,1,2,0,0,9,0.556,2,1,0,0,0,2,1
HELSEN,Lowie,BOR,2,0,4.50,2,2,0,0,0,10.0,6,5,5,9,16,3,0,0,31,0.194,1,1,0,0,0,6,3
JOOS,Jorben,WBA,1,0,2.08,3,0,0,0,0,8.2,6,4,2,3,10,0,0,0,30,0.200,1,0,0,0,0,9,4
KIELEMOES,Bavo,ZOT,0,0,7.20,1,0,0,0,0,5.0,8,5,4,0,4,1,0,0,22,0.364,0,1,0,0,0,7,1
KOLB,Lior,MSG,0,0,10.80,2,0,0,0,0,1.2,2,2,2,2,1,0,0,0,5,0.400,0,2,1,0,0,2,0
LAMOTTE,Adrien,NAM,1,0,0.00,1,1,0,0,0,2.0,1,0,0,1,2,0,0,0,5,0.200,0,0,1,0,0,0,2
LAMOTTE,Yanni,NAM,1,0,22.95,3,1,0,0,0,6.2,9,20,17,9,9,4,0,0,33,0.273,7,4,1,0,0,4,7
LEGRAND,Michel,NAM,0,0,4.22,3,0,0,0,0,10.2,13,5,5,4,9,4,0,0,41,0.317,0,1,0,0,0,6,11
LEMAN,Mathieu,TOU,0,2,31.91,2,2,0,0,0,7.1,24,27,26,10,13,2,0,0,45,0.533,2,3,0,0,1,2,5
LISSENS,Ferre,ZOT,1,0,30.00,2,1,0,0,0,3.0,7,10,10,10,6,3,0,0,15,0.467,3,0,0,1,0,0,2
MARION,Vincent,MSG,0,0,18.00,1,0,0,0,0,1.0,2,3,2,0,0,0,0,0,8,0.250,0,0,0,0,0,0,3
MOERMAN,Thomas,ZOT,0,0,0.00,1,0,0,0,0,1.0,0,0,0,2,1,0,0,0,3,0.000,0,0,0,0,0,1,1
NOTTEBAERT,Kilian,LIE,0,1,15.75,1,1,0,0,0,4.0,4,8,7,7,4,2,1,0,15,0.267,1,1,0,1,0,4,1
OCKERMAN,Jente,ZOT,1,0,12.46,3,1,0,0,0,4.1,4,10,6,10,3,0,0,0,18,0.222,1,1,0,1,0,5,5
OVERMEIRE,Merijn,WBA,0,0,7.88,4,0,0,0,0,8.0,6,7,7,12,9,0,1,0,29,0.207,2,1,0,0,0,7,5
POLFLIET,Xian,WBA,2,0,13.50,4,4,0,0,0,11.1,17,19,17,10,11,5,0,1,48,0.354,1,2,0,0,1,9,10
POTTER,Barney,LEU,0,0,4.50,1,1,0,0,0,6.0,3,3,3,5,5,0,0,0,19,0.158,1,0,0,0,1,5,7
POUILLON,Maxence,AND,0,0,15.00,1,0,0,0,0,3.0,12,10,5,1,6,0,3,0,24,0.500,3,0,0,0,0,0,3
POUILLON,Maxence,AND,1,0,7.36,2,1,0,0,0,3.2,3,6,3,5,2,1,0,0,14,0.214,1,0,0,1,0,3,2
PYPAERT,Julien,TOU,0,3,25.12,4,3,0,0,0,14.1,28,45,40,27,12,9,1,0,70,0.400,4,5,0,0,0,11,14
ROTTHIER,Yens,BEV,0,2,9.95,4,3,0,1,0,19.0,21,24,21,25,25,2,0,0,76,0.276,6,3,0,1,0,14,15
TRIBOLET,Bruno,NAM,1,0,49.50,2,1,0,0,0,2.0,2,11,11,9,2,0,0,0,7,0.286,5,2,0,1,0,3,1
TRUITT,James,BIN,0,0,4.50,1,0,0,0,0,2.0,2,1,1,3,2,0,0,0,7,0.286,0,2,0,0,0,0,3
TSIOBBEL,Sam,ZOT,0,0,1.13,2,0,0,0,0,8.0,5,4,1,3,15,1,0,0,30,0.167,0,1,0,0,0,4,1
VALARD,Henry,MSG,1,1,9.22,4,2,0,0,0,13.2,21,22,14,14,15,1,1,0,65,0.323,6,4,0,0,0,12,10
VAN ACKER,Tuur,ZOT,0,1,10.57,3,2,0,0,0,7.2,14,14,9,7,9,3,0,0,35,0.400,7,0,0,0,2,5,7
VAN BALLAERT,Kobe,BEV,0,0,47.25,1,0,0,0,0,1.1,2,7,7,6,1,1,0,0,6,0.333,1,0,0,0,0,1,2
VAN DER HERTEN,Thomas,BEV,0,1,22.09,2,1,0,0,0,3.2,8,9,9,3,2,4,0,0,18,0.444,1,1,0,0,0,8,0
