Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ANGELA,Nelmerson,AMS,1,1,2.35,5,5,0,0,0,30.2,26,14,8,15,22,7,0,0,115,0.226,0,2,2,1,1,37,27
AUCOIN,Eddie,PIO,1,2,2.00,3,3,0,0,0,18.0,17,7,4,4,12,2,1,0,71,0.239,0,1,0,0,1,23,15
BAKKER,Kevin,NEP,0,0,0.00,1,0,0,0,0,1.0,1,0,0,0,1,1,0,0,4,0.250,0,0,0,0,0,2,0
BERKEL,Nathan,RCH,0,0,40.50,1,0,0,0,0,1.1,6,6,6,2,1,2,0,1,9,0.667,2,0,0,1,0,1,2
BLOKKER,Finn,DKI,0,0,2.89,5,0,0,0,0,9.1,13,7,3,2,2,2,0,0,41,0.317,0,0,0,0,2,17,8
BOERMANS,Jens,TWI,0,0,108.00,1,0,0,0,0,0.1,1,5,4,3,0,0,0,0,2,0.500,0,1,0,0,0,1,0
BREEK,Donny,DKI,0,2,11.17,4,4,0,0,0,9.2,5,13,12,23,8,1,0,0,31,0.161,3,4,0,0,1,7,10
BURGERSDIJK,Dennis,HCA,2,0,0.54,5,2,0,0,0,16.2,10,3,1,2,14,0,0,0,57,0.175,0,2,0,1,1,16,18
CALMES,Nigel,HCA,0,1,6.75,3,1,0,0,0,4.0,5,4,3,3,3,1,0,0,17,0.294,0,0,0,0,0,5,4
CLARA,Robyn,DKI,1,1,6.30,8,0,3,0,0,10.0,11,9,7,5,6,2,0,1,39,0.282,4,1,0,2,3,14,10
COCU,Raf,TWI,0,1,6.55,9,0,3,0,0,11.0,13,12,8,14,12,2,0,0,46,0.283,4,2,0,0,0,14,5
CORNELISSEN,Maxwell Marley,PIO,0,1,6.75,2,0,0,0,0,2.2,3,4,2,5,2,0,0,0,8,0.375,2,0,0,1,2,2,3
DE BLOK,Tom,NEP,3,0,0.90,5,5,0,0,0,30.0,24,6,3,5,27,3,0,0,110,0.218,2,1,0,0,2,32,24
DE GRAAF,Levi,PIO,0,0,0.00,2,0,0,0,0,3.2,3,2,0,3,1,1,0,0,13,0.231,0,0,0,1,0,3,5
DE GROOT,Aaron,NEP,1,0,1.00,8,0,3,0,0,9.0,4,2,1,0,10,1,0,0,33,0.121,0,1,0,0,1,10,7
DEKKER,Ruben,UVV,0,1,11.37,6,0,3,0,0,6.1,11,8,8,6,5,1,0,0,31,0.355,0,1,0,0,0,4,10
DIABY,Nathan,HCA,0,0,19.06,3,1,0,0,0,5.2,11,12,12,5,2,1,0,3,24,0.458,0,0,0,1,0,5,7
DITERS,Raff,PIO,0,0,13.50,1,0,0,0,0,0.2,2,1,1,2,1,0,0,0,4,0.500,0,0,0,0,0,1,0
ELFRINK,Jasper,DKI,2,1,2.06,7,6,0,0,0,35.0,24,12,8,15,31,4,0,1,124,0.194,1,0,1,2,0,29,41
FRANK,Dion,RCH,0,0,5.40,1,0,0,0,0,1.2,1,2,1,2,1,0,0,0,6,0.167,0,0,0,0,0,1,3
FREDRIKZE,Tijn,NEP,0,0,10.29,6,0,1,0,0,7.0,11,8,8,8,10,1,0,1,31,0.355,2,1,0,0,0,7,3
GHIJSEN,Koen,HCA,0,0,0.00,1,0,0,0,0,1.1,2,0,0,2,0,0,0,0,6,0.333,0,0,0,0,0,2,2
GONESH,Riley,UVV,1,0,3.86,3,0,0,0,0,4.2,6,5,2,7,2,2,0,0,20,0.300,0,0,0,0,1,8,4
GROEN,Mike,DKI,2,0,1.96,5,1,0,0,0,18.1,20,10,4,7,19,1,0,0,69,0.290,3,2,1,3,3,13,21
GROß,Simon,TWI,1,4,3.69,7,6,0,0,0,31.2,26,18,13,20,38,6,0,0,118,0.220,3,2,3,0,0,30,22
HARCKSEN,Misja,TWI,2,2,2.93,5,5,0,0,0,30.2,30,13,10,12,23,8,1,0,118,0.254,2,3,1,1,2,43,23
HELMS,Allard,UVV,0,2,4.35,5,4,0,0,0,20.2,20,13,10,15,16,2,1,1,78,0.256,3,2,0,0,2,18,23
HOOGENDOORN,Ryan,PIO,1,1,13.50,11,0,0,0,0,16.0,20,24,24,19,13,1,0,0,61,0.328,6,7,2,2,1,12,19
HUIJER,Lars,HCA,4,1,1.15,6,6,0,0,0,39.0,20,8,5,13,51,4,0,0,131,0.153,0,3,0,0,3,47,13
HUIJER,Swen,PIO,0,0,14.73,2,0,0,0,0,3.2,7,7,6,3,3,0,1,0,17,0.412,1,3,0,0,0,1,6
HUNTINGTON,Ryan,NEP,2,0,0.64,8,0,1,0,0,14.0,10,1,1,4,19,1,0,0,50,0.200,0,0,0,0,0,11,10
IRAUSQUIN,Edvin,RCH,0,2,10.20,5,4,0,0,0,15.0,19,19,17,15,11,3,1,2,59,0.322,2,2,2,4,1,10,22
ISENIA,Aaron,QUI,0,4,6.17,6,4,0,0,0,23.1,32,30,16,21,20,5,1,0,100,0.320,1,6,1,2,1,30,18
JALVINGH,Rik,RCH,1,2,4.75,7,6,0,0,0,30.1,34,24,16,19,12,7,1,1,123,0.276,2,3,2,1,0,43,31
JANSEN,Wesley,AMS,0,0,0.00,1,0,0,0,0,1.0,1,0,0,0,2,1,0,0,4,0.250,0,0,0,0,0,1,0
KAMPHORST,Floris Jan,QUI,0,0,13.03,6,1,0,0,0,9.2,21,26,14,14,4,6,1,1,51,0.412,2,3,0,1,0,8,15
KAREL,Sedley,HCA,1,2,14.34,7,2,0,0,0,10.2,22,18,17,13,11,4,1,1,49,0.449,4,1,0,1,0,13,4
