Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ANDERSON,Bobby,LDC,0,0,10.50,1,0,0,0,0,2.0,3,3,3,1,1,1,0,1,10,0.300,0,0,0,0,0,4,1
ANDREI,Apostoaei,SHB,0,0,14.00,1,0,0,0,0,4.0,8,10,8,4,4,0,0,0,21,0.381,1,1,2,0,0,5,1
AVILA,Elbis,SHB,0,0,1.24,1,1,0,0,0,5.2,1,1,1,3,2,0,0,0,18,0.056,0,0,1,0,0,7,6
BARRETT,Joshua,LDM,0,0,7.88,2,0,0,0,0,2.2,5,4,3,1,1,0,0,0,11,0.455,0,5,0,0,0,2,2
BOURGEOIS,Owen Charles,BMB,0,0,7.00,1,0,0,0,0,2.0,4,2,2,1,3,0,0,0,9,0.444,0,0,1,0,0,1,1
CEDENO,Roger,BMB,0,0,9.00,1,0,0,0,0,2.1,6,3,3,2,1,0,0,0,11,0.545,1,2,0,0,0,4,0
DEACON,Alex,SHB,1,1,1.68,2,1,0,0,0,8.1,3,4,2,3,10,1,0,0,29,0.103,0,1,0,0,0,5,7
DEAN,Louis,LDM,0,0,7.00,1,0,0,0,0,2.0,4,2,2,0,1,1,0,0,9,0.444,0,0,0,0,0,0,4
FLAHERTY,Thomas,LDM,0,1,2.00,2,1,0,0,0,7.0,4,2,2,4,13,0,0,1,25,0.160,0,0,0,0,0,5,3
GONZÁLEZ,Jorge Luis,VET,0,1,14.70,1,1,0,0,0,3.1,7,12,7,8,4,1,0,0,19,0.368,1,0,0,0,0,1,5
GUSTAFSON,Erik Javier,BMB,0,2,9.88,4,3,0,0,0,11.1,15,17,16,15,7,1,0,1,47,0.319,2,0,2,0,0,12,13
GÁLVEZ RODRÍGUEZ,Adonis jose,EXA,0,0,0.00,2,0,0,0,0,4.0,1,1,0,2,5,0,0,0,13,0.077,0,0,0,0,0,4,2
HASHIGUCHI,Masa,LDC,2,1,1.00,3,3,0,2,1,21.0,7,5,3,4,24,0,0,0,73,0.096,3,1,0,0,0,23,15
LAWLER,Dylan,BMB,0,0,63.00,1,0,0,0,0,0.1,3,4,3,0,1,1,0,1,5,0.600,0,0,0,0,0,0,0
LOPEZ,Jose,BMB,0,1,8.17,1,1,0,1,0,6.0,15,9,7,0,1,2,0,0,34,0.441,0,1,1,0,0,6,11
MCLAUGHLIN,Ryan,LDM,2,0,0.00,3,2,0,1,1,13.0,4,1,0,0,16,1,0,0,45,0.089,0,0,0,1,0,10,14
MESSER,Chris,LDM,1,0,0.00,2,2,0,0,0,6.0,3,0,0,0,13,0,0,0,21,0.143,1,1,0,0,0,1,4
MINFORD,Rich,LDM,2,0,1.40,2,1,0,1,1,5.0,1,1,1,2,8,0,0,0,16,0.063,1,3,0,0,0,4,3
MORAN,Daniel,SHB,0,0,5.25,1,0,0,0,0,1.1,2,1,1,1,1,0,0,0,5,0.400,0,1,0,1,0,2,1
MYRMELL,Daniel,BMB,0,0,2.33,1,0,0,0,0,3.0,3,1,1,1,2,1,0,0,12,0.250,1,0,0,0,0,3,4
NOVAS,Yonathan,EXA,1,0,0.00,2,2,0,1,1,10.0,3,1,0,3,8,0,0,0,34,0.088,0,0,1,0,0,11,10
OBANDO,German,EXA,2,0,4.67,3,1,0,1,0,12.0,19,9,8,2,6,3,0,0,58,0.328,0,4,0,0,0,18,12
PAPINI,Mattia,VET,0,0,30.00,2,0,0,0,0,2.1,6,10,10,9,0,2,0,0,11,0.545,2,1,0,0,0,2,3
PAPPALARDO,Giovanni,EXA,4,0,1.83,4,4,0,3,1,23.0,22,6,6,5,15,5,0,1,88,0.250,0,0,0,0,0,30,19
PIMENTEL,Jose,EXA,0,1,11.67,1,1,0,0,0,3.0,5,7,5,3,0,1,0,0,15,0.333,2,0,1,0,0,7,1
RANDALL,Kyle,LDC,0,0,1.75,1,1,0,0,0,4.0,4,1,1,1,4,0,0,0,14,0.286,0,0,0,0,0,3,2
RATKEVICIUS,Viktoras,VET,1,0,5.83,1,1,0,0,0,6.0,7,5,5,5,10,2,0,0,25,0.280,4,0,1,0,0,4,4
RODRIGUEZ,Jonathan,SHB,1,0,5.73,1,1,0,0,0,3.2,5,3,3,0,2,0,0,1,14,0.357,0,2,0,0,0,3,4
SANTANA,Aleudy,VET,1,0,2.63,1,1,0,1,0,8.0,6,4,3,5,4,1,0,0,32,0.188,0,1,0,0,0,6,15
SASS,Ray,SHB,0,0,0.00,2,0,1,0,0,2.0,0,0,0,1,5,0,0,0,6,0.000,1,0,0,0,0,1,0
