Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ACHA,Sergio,INA,0,0,0.00,2,0,0,0,0,2.0,3,1,0,0,0,0,0,0,10,0.300,0,0,0,0,0,2,4
AINETO,Cristian,ANT,0,1,48.60,2,1,0,0,0,1.2,9,10,9,3,1,0,0,2,15,0.600,1,0,0,0,0,0,4
APOSTOL,Deninson,TOR,0,0,15.43,5,0,0,0,0,7.0,13,14,12,10,6,2,0,1,35,0.371,4,1,0,0,0,3,12
ARRESE,Pablo,IRA,0,0,0.00,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,3,0.000,0,0,0,0,0,1,2
BAENA,Manel,VIL,1,0,0.00,3,1,0,1,1,11.2,3,0,0,3,14,0,0,0,37,0.081,0,0,0,0,0,11,9
BAETA,José,ANT,0,0,27.00,1,0,0,0,0,0.2,1,2,2,2,0,0,0,0,3,0.333,1,1,0,0,0,2,0
BALBOA,Jorge,AST,4,1,2.70,6,6,0,0,0,30.0,24,9,9,13,25,7,0,0,104,0.231,6,4,0,1,0,26,29
BORDANOBA,Joan,SBO,0,0,10.13,2,0,0,0,0,2.2,4,3,3,2,2,1,0,0,10,0.400,2,0,0,1,0,0,5
BRUN,Mauro,MIR,0,0,9.00,4,0,0,0,0,3.0,5,7,3,6,3,1,0,0,16,0.313,1,0,0,0,0,3,2
BRUN,Tristán,MIR,0,3,8.35,7,7,0,0,0,32.1,48,42,30,23,20,2,2,3,151,0.318,3,0,1,1,2,34,42
BÁDENAS,Lluis,BCN,0,0,0.00,1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1,0.000,0,0,0,0,0,0,1
CADENAS,Ferrán,VIL,0,0,0.00,2,0,0,0,0,2.2,0,0,0,3,2,0,0,0,8,0.000,0,1,0,0,0,3,3
CALVO,Lucas,IRA,0,0,10.80,6,0,0,0,0,13.1,20,22,16,16,7,5,0,3,62,0.323,5,2,0,2,0,18,16
CASTAÑO,Daniel,VIL,0,0,16.20,2,0,0,0,0,3.1,5,6,6,4,0,1,0,0,14,0.357,0,2,0,0,1,5,5
