Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ARDAEN,Fien,STA,0,1,13.26,2,1,0,1,0,6.1,17,14,12,6,0,2,3,0,34,0.500,2,0,0,1,1,13,5
BANCHELLI,Claudia,BRU,3,7,3.87,10,10,0,9,1,54.1,64,49,30,26,48,8,2,3,232,0.276,18,1,0,0,7,83,26
BOERMANS,Lynn,ANT,0,0,14.00,2,0,0,0,0,1.0,4,3,2,2,0,2,1,0,6,0.667,0,0,0,1,0,0,3
BRINK,Lisa,HOB,3,0,4.02,3,2,0,2,0,15.2,17,13,9,10,17,2,1,0,64,0.266,7,3,0,0,2,17,13
DE BAERE,Chloë,ANT,1,4,7.14,12,5,0,1,0,32.1,56,40,33,11,12,9,3,0,151,0.371,9,3,0,0,4,50,28
DE GRAEVE,Sara,BEV,13,13,3.93,28,21,1,19,1,151.1,176,117,85,46,126,35,6,3,657,0.268,23,6,0,6,8,147,172
DE NIJS,Evi,STA,2,2,6.74,4,3,0,2,0,17.2,19,22,17,26,15,3,2,0,72,0.264,8,2,0,0,1,19,15
DE PERMENTIER,Nina,HOB,11,8,3.64,23,20,1,17,3,115.1,134,75,60,44,96,14,13,1,473,0.283,19,3,1,4,9,111,121
DE VREE,Femke,HOB,2,1,5.57,6,2,0,0,0,16.1,22,15,13,18,3,2,0,1,67,0.328,12,2,0,1,0,24,17
EMMEN,Kim,HOB,11,2,2.91,16,13,0,9,2,74.2,64,43,31,31,66,7,8,3,288,0.222,12,1,0,1,6,77,72
FARIGLIANO,Sophie,BRU,6,4,2.77,11,10,0,10,0,73.1,47,38,29,27,103,7,4,1,268,0.175,15,1,0,0,3,77,32
FELIX,Lesley,HOB,0,1,0.00,1,0,0,0,0,0.0,0,3,3,3,0,0,0,0,0,0.000,1,0,0,0,0,0,0
FIESACK,Jentel,MER,1,1,7.64,4,1,0,0,0,7.1,15,9,8,3,2,0,0,0,39,0.385,1,0,0,0,0,7,12
GABRIËLS,Joke,ANT,0,0,0.00,1,0,0,0,0,4.0,0,0,0,3,3,0,0,0,12,0.000,0,1,0,0,0,3,6
GELDOF,Kate,ANT,8,8,2.99,23,14,0,10,1,105.1,106,72,45,31,123,14,5,3,423,0.251,16,12,0,2,12,80,107
HAJJI,Hinde,BRU,0,0,0.00,1,0,0,0,0,0.1,0,0,0,2,1,0,0,0,1,0.000,0,0,0,0,0,0,0
HERINCKX,Maaike,MER,6,8,8.52,22,20,0,6,0,95.1,165,142,116,83,24,27,13,9,449,0.367,18,6,0,4,13,121,130
HEUTEN,Julie,ANT,2,11,10.12,15,11,0,0,0,36.2,65,66,53,33,23,5,0,1,176,0.369,8,3,0,2,3,39,39
HUTCHISON,Amie,BEV,2,1,2.21,3,2,0,2,0,19.0,13,8,6,4,16,1,1,1,75,0.173,0,1,0,0,0,21,21
HUYGHE,Lara,BRU,0,1,6.79,4,1,0,0,0,11.1,16,11,11,8,1,3,1,2,50,0.320,1,3,0,1,0,11,21
JANSSENS,Maiti,ANT,1,0,6.65,8,1,0,1,0,20.0,32,23,19,12,8,0,1,2,85,0.376,5,1,0,2,4,24,22
LEMMENS,Silke,ANT,0,2,12.83,6,3,0,1,0,12.0,27,23,22,9,4,3,1,4,59,0.458,4,1,0,2,1,17,12
NEERINCKX,Marijke,MER,16,7,3.77,32,18,1,16,3,137.1,184,102,74,23,35,22,13,4,620,0.297,6,2,0,1,8,208,154
PAUCKSTADT,Sybill,BRU,0,6,10.59,12,7,0,4,0,38.1,76,76,58,40,20,9,2,3,190,0.400,3,1,0,5,3,38,52
PEETERS,Chloé,MER,0,1,168.00,1,1,0,0,0,0.1,5,8,8,3,0,1,1,0,6,0.833,1,0,0,0,0,1,0
ROEF,Koby,BEV,0,0,0.00,1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1,0.000,0,2,0,0,0,0,1
ROEF,Lauren,BEV,0,7,13.50,9,7,0,1,0,23.1,46,57,45,26,10,3,3,2,118,0.390,8,6,0,3,0,32,26
ROEF,Rubin,BEV,1,2,6.18,14,8,0,2,0,56.2,92,71,50,23,17,17,6,3,261,0.352,4,2,0,4,5,55,87
ROTTHIER,Yana,BEV,0,0,210.00,1,0,0,0,0,0.1,7,10,10,3,0,0,1,0,8,0.875,1,1,0,0,0,0,1
SMETS,Inez,ANT,0,3,12.48,7,5,0,2,0,23.0,49,49,41,21,7,9,2,5,123,0.398,3,0,0,1,3,31,30
SYNIAWSKY,Evi,HOB,0,0,17.50,2,0,1,0,0,2.0,7,13,5,6,0,3,1,0,15,0.467,3,1,0,0,1,4,2
SYNIAWSKY,Line,ANT,0,1,14.44,4,1,0,0,0,5.1,13,11,11,8,2,0,1,1,27,0.481,1,0,0,1,0,5,7
TOLMIE,Jessica,STA,9,0,0.91,10,8,0,7,4,54.0,30,10,7,9,105,4,0,0,195,0.154,0,0,0,0,0,18,36
UYTENDAAL,Lizzy,STA,9,1,2.08,15,8,0,8,2,60.2,57,30,18,22,42,4,1,1,239,0.238,6,2,0,0,6,81,54
VAN DEN BERGH,Lynn,STA,1,0,0.00,1,0,0,0,0,5.0,2,0,0,2,4,0,0,0,16,0.125,0,0,0,0,0,10,0
VAN DEN BRANDE,Lynn,STA,8,3,7.15,15,12,0,5,1,60.2,70,72,62,72,38,6,5,3,251,0.279,22,11,0,2,3,98,37
VAN DER MEIREN,Sarah,HOB,0,2,12.22,5,4,0,0,0,18.1,34,44,32,27,3,5,5,0,87,0.391,12,7,0,2,2,21,25
VAN DOORSLAER,Griet,STA,0,0,0.00,5,4,0,0,0,0.0,1,1,1,0,0,0,0,1,1,1.000,0,0,0,0,0,0,0
VAN HOFWEGEN,Femke,BEV,0,1,10.50,1,0,0,0,0,1.1,7,6,2,0,0,1,1,0,11,0.636,1,0,0,0,0,1,3
VAN RAEMDONCK,Lisa,STA,2,1,5.55,5,0,0,0,0,17.2,23,21,14,13,4,1,3,0,79,0.291,5,2,0,1,2,23,22
VAN WAUWE,Sofie,BRU,2,10,9.96,12,10,0,5,0,52.0,105,115,74,53,18,16,11,10,273,0.385,9,2,1,1,1,70,66
VANDERLICK,Louise,ANT,0,0,1.62,1,1,0,0,0,4.1,6,1,1,1,5,0,0,0,17,0.353,0,0,0,0,0,3,2
VERSLOOT,Eva,STA,0,0,31.50,2,2,0,0,0,0.2,1,3,3,4,0,1,0,0,3,0.333,2,0,0,0,0,2,0
VLIEGHE,Laura,HOB,0,0,21.00,1,0,0,0,0,0.2,0,2,2,4,0,0,0,0,2,0.000,0,0,0,0,0,2,0
