Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
BONNET,Florianne,TOU,0,2,18.38,2,2,0,1,0,5.1,6,14,14,18,1,0,0,0,16,0.375,5,4,0,0,0,4,5
DE KEUKELEIRE,Naomi,TOU,0,1,30.33,1,1,0,1,0,3.0,4,13,13,14,1,1,0,0,10,0.400,0,1,0,0,0,3,2
DENOEL,Alex,SER,0,1,8.17,3,3,0,2,0,12.0,13,16,14,19,17,0,0,0,49,0.265,2,4,0,0,0,10,7
DUPRIEZ,Julie,TOU,0,0,0.00,1,0,0,0,0,0.0,0,3,2,1,0,0,0,0,1,0.000,3,1,0,0,0,0,0
ELOY,Epiphanie,MON,3,1,5.60,5,5,0,5,0,30.0,47,26,24,5,11,2,4,1,139,0.338,1,0,0,0,0,41,30
FAUCON,Marilou,MON,0,1,9.69,4,2,0,2,0,13.0,16,18,18,13,6,3,1,0,55,0.291,5,5,0,0,0,20,9
GHELEYNS,Marie,BRI,1,0,8.40,1,1,0,1,0,5.0,7,6,6,3,5,0,1,0,21,0.333,0,1,0,0,1,8,2
HAEPERS,Raven,HEI,0,2,10.98,4,3,0,2,0,14.2,27,25,23,21,10,6,0,0,67,0.403,7,2,0,0,0,23,6
HAJJI,Hinde,BRU,0,0,21.00,1,0,0,0,0,1.0,3,4,3,2,1,0,0,0,7,0.429,1,0,0,0,0,1,1
HUYGHE,Lara,BRU,1,4,13.70,5,5,0,3,0,23.0,57,61,45,14,11,8,1,4,143,0.399,6,3,0,0,0,34,24
KENNES,Jutta,HEI,0,2,73.50,2,2,0,0,0,2.0,6,21,21,17,2,0,0,0,10,0.600,4,1,0,0,0,1,1
LALOUX,Mélanie,TOU,1,1,9.65,3,2,0,2,0,12.1,32,22,17,12,3,4,0,0,67,0.478,3,0,0,0,0,15,13
MARENGO ESCOBAR,Lorena,TOU,1,1,7.45,4,3,0,2,0,10.1,16,16,11,12,9,0,1,0,52,0.308,6,0,0,0,0,12,7
MASSE,Alexa,BRI,2,0,5.00,3,2,0,1,0,14.0,19,12,10,4,4,1,1,0,56,0.339,1,0,0,0,0,17,13
MERLIN,Alice,MON,1,2,11.08,3,3,0,1,0,12.0,16,23,19,11,7,3,0,0,54,0.296,9,2,0,1,0,15,12
MORE,Christelle,SER,4,0,5.00,6,5,0,5,0,28.0,33,21,20,9,26,2,2,1,119,0.277,5,4,0,1,0,31,24
MUMENTHALER,Adeline,BRI,0,1,9.33,1,1,0,0,0,3.0,8,4,4,3,0,2,0,0,15,0.533,0,0,0,0,0,3,4
PAUCKSTADT,Sybill,BRU,3,1,7.00,4,4,0,4,0,18.0,28,23,18,5,11,4,0,3,91,0.308,2,0,0,0,0,18,25
PIAZZI,Linda,BRI,0,0,4.67,1,0,0,0,0,3.0,3,3,2,1,1,0,0,0,12,0.250,0,0,0,0,0,3,3
STRADI,Alice,BRU,0,0,56.00,1,0,0,0,0,1.0,3,8,8,5,0,0,0,1,6,0.500,2,1,0,0,0,0,2
TARANTCHENKO,Ekaterina,SER,0,0,21.00,1,1,0,0,0,3.0,12,9,9,0,1,6,0,0,21,0.571,1,0,0,0,0,6,2
VAN DER VEKEN,Tine,HEI,2,3,9.45,8,5,0,5,0,33.1,61,65,45,32,36,6,1,1,165,0.370,6,12,0,0,1,41,15
VAN HIRTUM,Justine,BRI,3,0,3.50,3,3,0,2,0,12.0,15,7,6,7,9,1,1,0,54,0.278,1,0,0,0,0,13,12
VAN WAUWE,Sofie,BRU,1,0,4.20,1,1,0,1,0,5.0,5,4,3,1,5,1,0,0,22,0.227,1,0,0,0,0,7,3
