Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ACERBI,Edoardo,COL,1,2,3.53,14,1,4,0,0,35.2,36,21,14,16,31,5,2,1,139,0.259,1,2,0,1,1,31,37
ACEVEDO SANCHEZ,Luis Angel,ROV,0,1,15.75,2,1,0,0,0,4.0,7,10,7,6,3,2,0,1,20,0.350,1,1,2,0,0,4,5
ACOSTA CARMONA,JOHNAIKEL STEVEN,RON,1,0,0.00,2,2,0,0,0,11.1,6,0,0,3,8,1,0,0,37,0.162,0,0,0,0,1,14,8
ADELMI,Ivan,CAN,0,0,0.00,1,0,0,0,0,1.0,1,0,0,0,1,1,0,0,4,0.250,0,0,0,0,0,2,0
AGOSTO,Andrea,TOR,0,0,27.00,1,0,0,0,0,1.0,4,3,3,0,1,1,1,0,7,0.571,0,0,0,0,0,1,1
AIELLO,Tommaso,RIM,4,3,4.30,12,12,0,0,0,58.2,63,33,28,35,44,14,2,2,231,0.273,5,11,0,2,2,50,72
ALCALA' SAENZ,DIEGO ENRIQUE,TOR,0,1,0.00,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,1.000,0,0,0,0,0,0,0
ALDEGHERI,Mattia,VER,7,1,2.22,14,14,0,1,1,81.0,47,26,20,48,110,9,0,2,276,0.170,17,3,1,1,1,72,40
ALFONSO MARTINEZ,RAIDER,ATL,2,7,4.39,13,13,0,1,1,82.0,84,43,40,30,70,13,3,5,323,0.260,15,10,0,2,6,84,85
ALLEGRI,Alessandro,OLT,2,0,3.42,14,0,2,0,0,26.1,30,13,10,8,21,10,0,1,104,0.288,1,6,0,0,1,24,26
ALOMA HERRERA,Jorge Enrique,GRO,0,0,4.50,2,0,0,0,0,2.0,2,1,1,0,2,0,1,1,9,0.222,0,0,0,0,0,1,3
ALVAREZ ARRIECHE,Daniel Eduardo,GRO,0,0,15.43,2,0,0,0,0,2.1,3,4,4,1,3,0,0,0,10,0.300,0,0,0,0,0,2,2
AMORE,Gabriele,SET,0,0,5.79,2,0,0,0,0,4.2,8,6,3,4,7,0,0,0,23,0.348,0,0,0,0,0,3,4
ANDRES TURINO,Danny,CAG,0,1,16.20,2,0,0,0,0,1.2,1,3,3,4,1,0,0,0,6,0.167,1,2,0,0,0,1,3
ANDRETTA,Maurizio,BOL,1,1,2.57,11,0,2,0,0,21.0,19,8,6,6,19,5,1,1,75,0.253,0,0,1,1,2,24,14
ANGIOI,Filippo,CAG,0,0,0.00,1,0,0,0,0,1.0,0,0,0,1,1,0,0,0,2,0.000,0,0,0,1,0,1,1
ANGIOI,Gabriele,PAR,0,1,2.45,3,0,0,0,0,3.2,1,2,1,4,3,0,0,0,11,0.091,1,0,0,1,0,6,2
ANSELMI,Davide,VER,0,5,7.32,11,0,1,0,0,19.2,21,27,16,22,20,4,1,0,78,0.269,3,8,0,0,1,18,15
