Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
AMES,Esmee,SPA,4,6,3.59,13,8,0,2,1,41.0,50,26,21,16,39,7,3,0,170,0.294,1,0,0,0,4,37,42
BARTELS,Anna-be,SPA,0,0,2.18,15,0,1,0,0,25.2,21,10,8,12,16,3,1,0,99,0.212,1,1,1,1,2,31,28
BONORA,Kika,OLY,0,0,0.00,1,0,0,0,0,0.1,1,0,0,0,0,0,1,0,2,0.500,0,0,0,0,0,1,0
BRANDSMA,Eline,ROE,0,0,0.00,1,0,0,0,0,1.1,0,0,0,4,0,0,0,0,4,0.000,2,0,0,0,0,1,3
BRINK,Lisa,TTT,3,3,8.03,11,6,0,2,1,22.2,26,41,26,26,14,5,4,4,91,0.286,6,4,0,4,6,21,33
BRINKS,Demi,AMS,0,3,7.54,13,5,1,0,0,26.0,46,35,28,15,13,8,1,2,123,0.374,10,2,1,2,1,21,42
CLARIJS,Lizzie,AMS,2,3,3.71,6,1,0,1,0,28.1,44,34,15,4,17,4,3,2,137,0.321,1,0,1,1,0,49,20
COERIEL,Qui-Lin,OGZ,0,0,15.75,4,0,0,0,0,2.2,5,6,6,8,0,0,0,0,11,0.455,3,0,0,1,1,4,3
DE GROENE,Jody,EUR,0,8,9.19,17,8,0,1,0,32.0,77,66,42,29,6,12,2,2,173,0.445,10,1,0,3,2,38,48
DE JONG,Willemijn,NEP,0,1,6.00,2,1,0,0,0,4.2,4,4,4,5,1,0,1,0,17,0.235,0,0,0,0,0,5,7
DOLINSKI,Kate,AMS,0,1,7.00,1,0,0,0,0,3.0,7,6,3,0,1,1,0,1,17,0.412,0,0,0,0,0,5,2
DUBOIS,Ellie,ROE,2,1,3.19,8,2,0,0,0,26.1,26,14,12,13,14,5,0,0,97,0.268,2,2,0,2,4,35,27
DUNLOP,Nyasha,EUR,0,2,40.83,8,2,0,0,0,6.0,32,35,35,10,1,7,0,4,49,0.653,2,0,0,2,0,8,8
EMMEN,Kim,ROE,1,1,2.85,19,1,0,0,0,27.0,25,17,11,17,21,4,0,0,106,0.236,5,1,0,0,2,41,17
