Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ADRIAENSEN,Jayden,TBS,0,1,4.20,2,1,0,1,0,3.1,6,4,2,1,4,0,1,1,17,0.353,3,1,0,0,0,5,1
BARBIER,Jasper,CHI,0,1,32.45,1,1,0,1,0,3.2,10,17,17,12,6,3,1,1,20,0.500,2,3,0,0,0,2,1
BETTIO,Kerim,GRE,0,0,14.00,1,0,0,0,0,1.0,0,2,2,3,1,0,0,0,3,0.000,1,0,0,0,0,2,0
CLAES,Wesley,CHI,2,0,8.08,3,2,0,2,0,13.0,23,20,15,5,10,3,2,1,68,0.338,0,0,0,0,0,21,6
DE CLOEDT,Jelle,CHI,4,3,11.32,8,8,0,6,0,34.0,46,64,55,65,41,5,2,5,142,0.324,18,12,0,1,0,32,20
DE RYCK,Ben,BRU,3,4,10.39,12,6,0,4,1,32.1,67,48,48,13,28,11,5,6,156,0.429,2,2,0,2,0,36,26
DE VOCHT,Robin,ANT,0,0,14.00,1,0,0,0,0,1.0,4,7,2,2,0,0,0,1,8,0.500,1,0,0,0,0,2,1
GELDOF,Dean,GRE,0,0,0.00,1,0,0,0,0,1.0,0,0,0,0,2,0,0,0,3,0.000,0,0,0,0,0,1,0
GODEFROI,Christophe,BRU,0,0,0.00,1,1,0,0,0,2.0,1,0,0,0,2,0,0,0,6,0.167,0,1,0,0,0,2,1
GUERRA ARTEAGA,Juan Carlos,DEU,5,1,4.97,6,6,0,4,0,31.0,44,24,22,6,27,8,2,4,133,0.331,4,5,0,1,0,31,30
HABRAKEN,Steff,TBS,3,2,11.48,10,5,0,3,0,25.0,50,47,41,26,19,7,5,2,120,0.417,2,6,0,0,0,26,20
HEIVERS,Daan,HEI,1,3,42.00,6,5,0,0,0,9.2,21,60,58,60,2,4,1,0,43,0.488,12,1,0,5,0,13,11
LANSSENS,Steve,ANT,0,1,27.83,10,1,0,0,0,13.1,32,59,53,41,12,5,2,2,76,0.421,15,6,0,1,0,13,13
MACKEN,Serge,BRU,1,1,6.56,7,2,0,0,0,16.0,29,18,15,6,23,6,1,1,78,0.372,1,1,0,0,0,12,10
MEURS,Andreas,HEI,0,3,23.63,4,3,0,3,0,13.1,34,47,45,30,7,8,3,2,70,0.486,5,7,0,2,0,12,17
MOSTAERT,Nando,DEU,1,0,5.25,2,1,0,0,0,4.0,6,3,3,1,4,0,0,0,17,0.353,2,1,0,0,0,3,4
ORTIZ BUENO,Gean Michel,HEI,0,0,21.00,2,0,0,0,0,3.2,12,14,11,7,2,2,0,1,22,0.545,3,3,0,0,0,4,3
ROYMANS,Steff,DEU,0,0,35.00,1,0,0,0,0,1.0,3,5,5,4,0,1,0,0,6,0.500,0,0,0,0,0,2,1
SMITS,Pieter,DEU,3,0,2.50,6,3,0,2,1,14.0,7,6,5,4,21,1,0,1,53,0.132,0,1,0,0,0,15,4
VAN AELST,Jeff,HEI,0,5,14.33,6,5,0,1,0,21.0,36,49,43,42,20,2,5,1,93,0.387,15,5,0,0,0,32,2
VAN BAEL,Johan,HEI,0,1,15.75,3,0,0,0,0,4.0,11,11,9,7,0,1,0,1,21,0.524,0,0,0,1,0,5,4
VAN DER LINDEN,Don,GRE,0,0,7.00,1,0,0,0,0,1.0,2,1,1,0,1,0,0,0,5,0.400,0,0,0,0,0,2,0
VAN DER VEKEN,Tine,HEI,0,0,8.40,1,0,0,0,0,5.0,8,7,6,3,3,3,1,0,24,0.333,2,3,0,0,0,8,4
VAN DER VORST,David,CHI,0,3,14.00,3,3,0,3,0,10.0,16,22,20,14,10,4,2,3,42,0.381,4,2,0,0,0,10,4
VAN DER WEEHE,Danny,TBS,0,1,10.50,2,1,0,0,0,4.0,8,7,6,2,5,0,0,1,21,0.381,0,0,0,0,0,2,4
VAN GENECHTEN,Joseph,GRE,14,1,1.18,15,14,0,10,4,65.0,41,15,11,13,108,4,1,1,241,0.170,3,2,0,0,0,45,41
VAN OPDORP,Kevin,ANT,2,11,26.12,15,14,0,3,0,39.2,138,165,148,61,12,28,13,14,253,0.545,30,11,0,6,0,42,54
VAN WAUWE,Sofie,BRU,3,3,11.52,6,6,0,1,0,20.2,41,34,34,15,14,12,3,5,97,0.423,3,3,0,0,0,25,14
VEGA MAYAN,Frank Ernesto,HEI,0,1,23.33,3,1,0,1,0,6.0,14,20,20,17,3,3,1,0,28,0.500,0,1,0,0,0,7,4
VERHEYDEN,Djamy,DEU,0,0,7.00,1,0,0,0,0,6.0,5,6,6,10,2,0,1,0,21,0.238,0,1,0,0,0,7,7
VINCK,Matthieu,GRE,0,0,11.67,2,0,0,0,0,3.0,5,6,5,7,3,1,0,0,15,0.333,2,0,0,0,0,5,1
VOET,Cédric,BRU,0,0,10.50,1,0,0,0,0,2.0,4,4,3,3,0,0,1,1,10,0.400,1,0,0,0,0,3,2
WUYTS,Nick,TBS,4,1,4.75,5,5,0,2,0,17.2,28,12,12,7,16,6,0,1,77,0.364,0,1,0,0,0,19,12
