Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ALBANGCO,Mary Flor,CAP,1,3,19.50,9,4,0,2,0,14.0,33,45,39,25,8,7,3,0,81,0.407,14,0,1,0,1,15,18
ALCAZAR,Carmen,ANT,0,1,14.00,2,1,0,0,0,3.0,9,11,6,3,0,3,0,0,20,0.450,0,0,0,1,0,9,1
ALONSO,Beatriz,SBO,9,0,0.73,15,6,1,6,4,48.0,13,8,5,16,78,1,0,1,157,0.083,5,1,0,0,4,29,33
AMAR,Susana,MIR,0,8,13.57,10,9,0,5,0,37.2,88,95,73,33,26,26,8,4,201,0.438,24,7,1,5,2,35,43
AVILA,Paula,VIL,0,0,18.53,4,0,0,0,0,5.2,17,16,15,10,1,3,1,0,32,0.531,2,1,0,1,0,4,10
BARANDIARAN,Ane,RIV,6,0,1.46,6,6,0,4,3,24.0,17,6,5,8,26,1,0,1,84,0.202,1,1,0,0,3,30,12
BRIZ,Claudia,ANT,0,1,42.00,1,1,0,0,0,1.0,2,8,6,5,0,0,0,0,5,0.400,1,2,1,0,0,2,0
CABRERA,Rebeca,DRI,12,6,6.23,22,13,0,4,1,75.1,106,85,67,36,43,21,10,2,330,0.321,15,7,0,5,8,83,93
CAICOYA,Carmen,RIV,6,0,1.20,7,7,0,4,3,23.1,15,4,4,15,26,0,0,0,81,0.185,1,1,0,0,1,25,14
CASTILLA,Amanda,BCN,0,3,15.35,6,4,0,0,0,8.2,19,21,19,12,3,5,2,0,41,0.463,11,1,0,0,3,15,6
CERDA,Ari,SBO,1,0,7.74,3,1,1,0,0,6.1,10,7,7,2,11,1,0,0,29,0.345,1,1,0,1,0,4,4
CHERECHES,Beatriz,DRI,3,0,2.02,11,1,0,0,0,17.1,17,11,5,13,6,2,0,0,66,0.258,7,1,0,1,1,20,23
DE LA PAZ,Verónica,ANT,1,3,2.74,10,3,0,1,0,38.1,51,36,15,29,32,2,0,1,165,0.309,9,3,0,2,5,44,34
DE TERRY,Victoria,CAP,0,0,98.00,4,0,0,0,0,1.0,1,14,14,21,2,0,0,0,4,0.250,8,1,0,0,0,0,1
DEL PINO,Emma,VIL,3,7,14.97,14,10,0,2,0,31.1,59,89,67,63,20,17,2,3,149,0.396,39,0,0,3,2,33,33
DEL PINO,María,VIL,0,0,26.73,3,0,0,0,0,3.2,12,14,14,11,0,2,1,0,21,0.571,4,1,0,1,0,5,5
ESPÍN,Ivette,ANT,0,1,11.67,3,1,0,0,0,3.0,10,9,5,4,1,1,0,0,19,0.526,4,1,0,0,0,5,1
ETXEBERRÍA,Igone,OBB,7,4,2.00,12,11,0,7,1,63.0,51,33,18,35,70,3,8,1,238,0.214,15,2,0,2,4,46,65
