Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ABADIA,Nahia,NAV,0,1,0.00,1,0,0,0,0,0.0,2,3,3,3,0,1,0,0,2,1.000,0,0,0,0,0,0,0
ALCAZAR,Carmen,FEN,4,5,5.94,13,8,0,2,2,33.0,39,37,28,37,10,8,5,0,132,0.295,9,5,2,2,2,41,39
ALONSO,Claudia,IRA,3,3,4.81,12,7,3,3,0,43.2,50,38,30,26,41,2,5,1,168,0.298,9,6,0,1,7,46,33
ARANES,Olivia,ANT,0,3,12.39,13,6,0,0,0,20.1,54,47,36,15,11,11,4,1,111,0.486,5,1,0,2,2,19,23
BARANDIARAN,Ane,RIV,7,0,2.60,8,7,0,4,3,29.2,27,14,11,9,28,3,1,0,113,0.239,6,0,0,0,1,36,19
BARRIOS,Sara,VIL,3,4,7.20,13,11,0,4,1,47.2,81,55,49,18,19,11,5,1,210,0.386,15,15,2,1,9,52,61
BLANCO,Lucía,DRI,1,0,9.00,4,0,0,0,0,4.2,5,6,6,4,2,1,0,1,17,0.294,2,5,0,1,1,6,6
BOUSBA,Assil,FEN,0,0,4.38,3,0,0,0,0,8.0,14,6,5,5,0,2,0,1,37,0.378,0,0,0,0,1,15,8
BRIZ,Claudia,CAP,0,1,14.88,7,1,0,0,0,8.0,22,18,17,8,0,3,0,0,41,0.537,10,0,0,0,1,17,2
CAICOYA,Carmen,RIV,8,0,0.00,10,9,0,8,8,39.1,11,2,0,3,58,2,0,0,131,0.084,0,1,0,0,0,29,27
CARPIO,Helena,IRA,1,0,17.77,3,0,0,0,0,4.1,12,11,11,7,5,1,2,2,24,0.500,3,1,0,0,0,4,3
CHERECHES,Noelia,ANT,8,3,3.13,18,12,1,4,0,67.0,64,45,30,40,65,9,3,1,258,0.248,14,7,1,1,4,59,67
CIAURRIZ,Isabel,IRA,1,0,18.20,3,2,0,0,0,5.0,7,13,13,13,0,2,0,0,21,0.333,4,1,0,0,0,5,9
CONTIN,Irene,IRA,2,2,4.20,9,5,0,0,0,26.2,31,17,16,10,11,10,1,0,110,0.282,3,1,0,0,1,28,38
DE LA PAZ,Verónica,SBO,3,0,7.00,10,2,0,0,0,26.0,42,31,26,15,20,8,3,0,116,0.362,7,1,0,1,1,27,27
DENIA,Yulan,FEN,0,0,3.00,1,0,1,0,0,2.1,0,2,1,4,1,0,0,0,8,0.000,0,0,0,0,0,6,0
DONOSO VAQUERO,Carol,ANT,0,0,7.00,4,1,0,0,0,4.0,10,7,4,0,4,2,1,1,23,0.435,0,0,1,0,0,5,3
DONOSO,Sara,ANT,0,1,84.00,1,1,0,0,0,0.2,8,8,8,0,0,0,1,0,10,0.800,2,0,0,0,0,2,0
ECHEVERRIA,Marta,IRA,0,0,0.00,1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1,0.000,1,0,0,0,0,1,0
ESCOBAR,Emilie,CAP,0,2,9.19,7,3,0,0,0,16.0,31,32,21,13,15,2,2,0,81,0.383,10,3,0,0,0,15,15
ESPÍN,Ivette,ANT,0,1,12.60,3,0,0,0,0,6.2,17,16,12,4,4,2,3,0,36,0.472,2,1,0,1,1,6,7
ETXEBERRÍA,Igone,OBB,12,5,2.53,20,15,0,10,4,85.2,77,43,31,36,131,10,7,1,326,0.236,13,1,0,2,7,58,61
EXPÓSITO,Sara,CAM,0,3,42.00,5,3,0,0,0,5.0,15,33,30,10,2,3,2,0,30,0.500,16,11,0,0,2,3,10
FARO,Aroa,OBB,1,1,9.00,3,2,0,1,1,7.0,10,14,9,9,3,2,0,2,34,0.294,5,4,0,0,0,11,7
FERNÁNDEZ,María,CAP,2,2,15.17,5,3,0,0,0,12.0,28,28,26,16,9,6,2,1,62,0.452,8,2,0,1,2,13,11
FERNÁNDEZ,Raquel,SBO,4,6,4.92,17,16,0,3,2,48.1,55,51,34,28,42,8,2,2,198,0.278,15,2,0,2,6,68,30
FLORES,Noelia,ANT,3,3,2.37,13,5,0,1,1,47.1,42,28,16,18,35,5,2,1,181,0.232,0,3,1,3,5,36,69
GARATEA,Sandra,IRA,0,0,4.42,4,0,0,0,0,6.1,5,4,4,5,3,1,0,0,22,0.227,1,3,0,1,0,5,9
GARCÍA,Julia,VIL,0,0,15.00,1,1,0,0,0,2.1,3,5,5,4,1,0,0,0,9,0.333,4,0,0,0,1,5,1
GONG,Zibei,ANT,0,0,7.00,1,0,0,0,0,1.0,2,1,1,0,1,0,1,0,5,0.400,0,1,0,0,0,0,2
GONZÁLEZ,Ana,IRA,4,5,2.57,11,8,1,5,2,46.1,30,21,17,39,78,3,2,2,171,0.175,13,2,0,0,1,39,18
GONZÁLEZ,Eva,FEN,3,1,5.30,8,4,0,1,0,33.0,38,38,25,42,13,7,1,2,132,0.288,4,9,0,0,3,42,38
HELD,Hannah,IRA,1,2,3.77,4,3,0,2,0,13.0,11,8,7,14,29,0,2,0,49,0.224,0,0,0,0,0,8,1
HERRERA,Alba,DRI,5,3,5.18,16,8,0,4,0,48.2,62,54,36,33,32,6,5,1,199,0.312,17,14,1,3,8,39,68
IMAZ,Clara,IRA,0,1,25.67,3,0,0,0,0,3.0,8,11,11,8,1,1,1,0,17,0.471,4,1,0,0,1,3,5
IZQUIERDO,Andrea,SBO,7,4,2.71,12,6,1,5,2,62.0,66,33,24,10,73,16,2,1,246,0.268,4,1,0,0,7,45,61
LABANDEIRA,Olatz,NAV,0,5,18.99,14,6,0,3,0,24.1,73,93,66,37,11,13,9,7,151,0.483,22,15,0,2,1,28,30
LEÓN IBAÑEZ,Alexandra,ANT,0,0,0.00,1,0,0,0,0,0.1,0,1,0,2,0,0,0,0,1,0.000,1,0,0,0,0,1,0
LOIDI,Sara,OBB,0,0,7.88,2,0,0,0,0,2.2,5,6,3,8,1,0,0,0,11,0.455,4,0,0,1,0,4,2
LUNA,Glorilen,CAP,7,10,5.80,23,17,0,11,1,102.2,153,140,85,56,71,13,14,4,464,0.330,44,13,0,6,12,127,92
MATA,Zeltzin,NAV,0,8,11.16,15,7,0,2,0,42.2,104,92,68,34,18,26,13,6,221,0.471,21,8,0,6,10,56,47
MELERO,Marta,ANT,1,5,4.94,8,3,0,0,0,17.0,24,19,12,6,6,5,3,2,72,0.333,3,2,0,1,4,27,14
MIEZA,Helena,DRI,0,1,14.37,2,2,0,0,0,6.1,9,13,13,8,3,2,0,3,27,0.333,2,0,1,1,1,10,6
MORENTE,Alba,DRI,7,11,5.69,22,18,1,10,1,94.2,148,107,77,27,42,26,9,3,428,0.346,10,13,1,6,10,102,129
MOYA,Georgina,VIL,1,0,1.75,2,1,0,0,0,4.0,2,2,1,7,0,1,0,0,12,0.167,0,0,0,0,1,5,5
MUTILVA,Ane,NAV,0,11,9.69,14,11,0,4,0,52.0,89,92,72,40,39,14,10,3,243,0.366,18,15,0,9,2,37,71
MUÑIO,Meritxell,NAV,0,0,0.00,1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1,0.000,0,0,0,0,0,1,0
NIELSEN,Mathilde,FEN,9,6,2.19,20,16,0,13,6,89.1,68,34,28,31,102,20,8,2,322,0.211,3,1,0,2,10,71,83
OTAZU,Irene,OBB,0,0,14.70,4,1,0,0,0,3.1,6,12,7,6,2,0,1,2,19,0.316,5,0,0,1,1,3,6
OTERO,Laura,CAM,5,15,4.82,26,19,0,13,1,117.2,158,105,81,44,100,26,15,7,506,0.312,27,7,1,5,18,145,98
RAMOS,Valentina,VIL,12,7,3.13,24,15,0,13,1,109.2,134,72,49,23,58,17,3,4,448,0.299,8,17,0,4,13,121,134
RAMÍREZ,Anyibell,RIV,13,0,0.00,15,12,0,12,12,59.0,12,0,0,3,129,3,0,0,189,0.063,0,0,0,1,2,21,26
RUTTE,Jelyna,IRA,0,1,11.45,1,0,0,0,0,3.2,8,6,6,4,2,2,2,0,17,0.471,1,1,0,0,0,5,2
SANTESTEBAN,Nerea,IRA,0,0,7.00,1,0,0,0,0,4.0,4,6,4,6,3,2,0,0,17,0.235,1,0,0,1,0,6,3
SEBASTIAN CRUET,Julia,SBO,1,2,4.91,6,3,0,1,0,15.2,23,15,11,5,11,4,1,1,68,0.338,5,1,0,2,2,24,11
SIMON,Enora,OBB,7,2,4.16,13,10,0,6,1,65.2,82,56,39,30,68,7,4,0,274,0.299,13,1,0,5,9,53,67
TOET,Esmee,IRA,0,0,8.17,1,1,0,0,0,6.0,9,7,7,2,5,2,0,1,26,0.346,1,1,0,1,0,9,4
TRIO,Cristina,CAM,0,0,11.67,4,1,0,0,0,9.0,16,20,15,13,4,2,4,0,39,0.410,8,6,0,0,1,11,8
UNZUÉ GOÑI,Naiara,NAV,0,1,15.27,3,2,0,0,0,7.1,14,21,16,14,2,2,2,1,37,0.378,10,3,0,2,0,8,11
VILLANUEVA,Andrea,SBO,1,0,5.42,5,1,0,1,0,10.1,17,8,8,6,6,5,2,1,47,0.362,4,0,0,0,1,10,14
YANES,Melisa,CAP,0,0,0.00,1,0,0,0,0,0.0,1,1,1,2,0,0,0,0,1,1.000,0,0,0,0,0,0,0
