Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
Blesing,Felix,RED,1,0,,2,1,0,0,0,5.0,1,0,0,2,9,0,0,0,17,,0,1,0,,,,
Egan,Carter,RED,1,0,,2,0,0,0,0,4.0,0,0,0,5,8,0,0,0,13,,1,0,0,,,,
Morales,Felipe,RED,0,0,,1,1,0,0,0,3.0,1,0,0,4,8,0,0,0,10,,2,0,0,,,,
Galindo,Jhoan,AQUA,0,0,,2,1,0,0,0,3.2,3,2,1,4,6,1,0,1,14,,1,0,0,,,,
Berton,Filip,GREEN,1,0,,2,0,0,0,0,3.1,5,2,1,8,3,0,0,0,14,,3,0,0,,,,
Lenhart,Henk,RED,0,0,,1,1,0,0,0,3.0,4,1,1,1,4,2,0,0,10,,1,0,0,,,,
Matsuoka,Shuma,WHITE,0,1,,1,1,0,0,0,3.0,5,1,1,0,6,1,0,1,14,,0,0,0,,,,
Schwarcha,Matthes,RED,1,0,,2,0,0,0,0,3.0,1,2,2,8,6,1,0,0,9,,1,0,0,,,,
Hecko,Gabriel,GREEN,0,1,,1,1,0,0,0,2.2,5,3,3,1,4,0,0,2,13,,0,0,0,,,,
Liam hegen,Cooper,WHITE,0,0,,3,1,0,0,0,5.0,6,6,6,5,8,3,0,1,21,,2,0,0,,,,
Obemdoerfer,Kilian,WHITE,0,0,,2,0,0,0,0,3.0,7,4,4,2,4,2,0,0,16,,0,0,0,,,,
Mercado,Robert,AQUA,0,1,,2,0,0,0,0,3.1,6,7,7,7,6,1,0,2,15,,5,0,0,,,,
Zvonar,Tomas,GREEN,0,0,,2,0,0,0,0,3.0,3,7,7,6,4,0,0,1,11,,1,1,0,,,,
Calliste,Jerinyo,AQUA,0,1,,2,1,0,0,0,3.0,6,10,7,5,8,2,0,0,16,,7,0,0,,,,
Moreno,Ezequiel,WHITE,0,0,,2,0,0,0,0,3.0,6,7,7,3,2,2,0,1,15,,0,0,0,,,,
Minks,Johan,GREEN,0,0,,2,0,0,0,0,3.2,6,10,9,8,3,1,0,2,14,,1,1,0,,,,
Diaz,Jiaquin,AQUA,0,0,,2,0,0,0,0,4.0,6,10,10,9,6,2,1,1,17,,8,0,0,,,,
Major,Max,GREEN,0,0,,2,2,0,0,0,2.0,1,1,0,2,4,0,0,0,8,,0,0,0,,,,
Corra,Lorenzo,WHITE,0,0,,1,0,0,0,0,2.0,2,0,0,1,2,1,0,0,7,,0,1,0,,,,
Schuttler,Marc,RED,0,0,,1,0,0,0,0,1.0,2,1,0,1,1,0,0,0,5,,0,0,0,,,,
Schafer,Samuel,RED,0,0,,1,0,0,0,0,1.0,0,1,0,1,1,0,0,0,5,,1,0,0,,,,
Cameron,Mason,RED,0,0,,1,0,0,0,0,1.0,0,0,0,1,2,0,0,0,3,,0,0,0,,,,
Hruby,Tomas,GREEN,0,0,,1,0,1,0,0,1.0,0,0,0,0,2,0,0,0,3,,0,0,0,,,,
Nesnal,Aaron,GREEN,0,0,,1,0,1,0,0,0.2,0,0,0,0,0,0,0,0,2,,0,0,0,,,,
Strobel,Tim,GREEN,0,0,,1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1,,0,0,0,,,,
Zegheru,Mihai,WHITE,0,0,,1,1,0,0,0,1.2,1,1,1,5,1,0,0,0,3,,2,1,0,,,,
Topper,Charlie,AQUA,0,0,,1,0,0,0,0,1.1,1,1,1,4,1,0,0,0,4,,2,0,0,,,,
de Sant,Michelangelo,WHITE,1,1,,2,0,0,0,0,2.1,2,3,2,2,3,1,0,0,9,,0,0,0,,,,
Vailand,Robert,GREEN,1,0,,1,0,0,0,0,2.0,3,2,2,1,3,1,0,0,9,,1,0,0,,,,
Milburn,Liam,AQUA,0,0,,2,0,0,0,0,2.0,1,2,2,5,4,1,0,0,7,,4,0,0,,,,
Alexandra Bila,Mia,GREEN,0,0,,1,0,0,0,0,1.1,0,2,2,4,3,0,0,0,4,,0,0,0,,,,
Rivera,Ruben,AQUA,0,0,,1,0,0,0,0,0.2,1,1,1,0,1,0,0,1,3,,0,0,0,,,,
Ilves,Johannes,AQUA,0,1,,1,1,0,0,0,1.0,3,5,5,5,0,0,0,2,3,,4,0,0,,,,
Linares,Camilo,AQUA,0,0,,2,0,0,0,0,1.0,4,6,6,0,2,3,0,1,7,,2,2,0,,,,
